"Filename","Frame","Time..HMS.","Period","Period.time..HMS.","Length..mm.","Precision..mm.","RMS..mm.","Range..mm.","Direction..deg.","Horz..Dir...deg.","Vert..Dir...deg.","Mid.X..mm.","Mid.Y..mm.","Mid.Z..mm.","OpCode","TapeReader","Depth","Comment","Year","Dive","Transect.Number","Dive.Type","X","X.1","X.2","X.3","Family","Genus","Species","Code","Number","Stage","Activity","Check.ID","Comment.1","Event.Time.HH.MM.SS"
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",5808,"12:54:37.60",NA,NA,3739.636,788.105,3.417,11052.126,23.398,83.91,19.01,-2948.662,3251.006,-10143.266,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"greenling","lingcod",130,130,1,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",5808,"12:54:37.60",NA,NA,1699.565,448.48,2.496,8545.098,21.494,76.035,17.819,1374.057,2813.348,-7950.833,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"greenling","lingcod",130,130,2,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",5808,"12:54:37.60",NA,NA,967.118,198.738,1.426,6825.679,24.977,41.121,12.245,2062.266,2013.458,-6187.321,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"greenling","lingcod",130,130,3,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",6603,"12:55:04.10",NA,NA,541.829,54.422,3.049,8293.878,22.432,2.903,11.495,-576.011,3111.939,-7666.319,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"rockfish","yelloweye",145,145,4,"AD","Fish moving slowly into frame",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",6662,"12:55:06.06",NA,NA,1073.438,149.746,1.22,6389.088,26.841,35.711,19.535,1773.468,2275.305,-5700.723,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"greenling","lingcod",130,130,5,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",7485,"12:55:33.49",NA,NA,NA,49.927,0.831,4854.473,18.306,NA,NA,-15.19,1506.238,-4614.859,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"rockfish","quillback",147,147,6,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",7679,"12:55:39.96",NA,NA,NA,97.889,1.177,6398.639,24.623,NA,NA,-1760.051,1979.078,-5824.779,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"rockfish","quillback",147,147,7,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",8663,"12:56:12.76",NA,NA,NA,67.707,0.744,5391.642,27.37,NA,NA,1076.018,2213.831,-4796.973,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"rockfish","quillback",147,147,8,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",9335,"12:56:35.16",NA,NA,NA,29.059,0.128,3528.664,28.672,NA,NA,-1501.775,769.265,-3099.092,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"rockfish","quillback",147,147,9,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",10157,"12:57:02.56",NA,NA,NA,44.583,0.774,4380.086,28.207,NA,NA,-1877.55,856.807,-3863.398,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,10,"","",NA,"",NA
"SL_2020_SSEO_Dive_1_12-51-24.040.avi",10240,"12:57:05.33",NA,NA,NA,33.178,0.215,4029.586,10.446,NA,NA,146.808,699.811,-3965.637,1,"KelliiWood",85,"N/A",2020,1,34,"Line",NA,NA,NA,NA,"rockfish","rosethorn",150,150,11,"","",NA,"",NA
