Filename,Frame,Time (HMS),Seconds,Period,Period.time.HMS,Image.row,Image.col,OpCode,TapeReader,Depth,Comment,Year,DIVE_NO,Transect.No,Family,Genus,Species,Code,Number,Stage,Activity,Start.End,Comment,Event.Time.HH.MM.SS
SL_2020_SSEO_Dive_1_12-51-24.040.avi,429,12:51:38,46298,NA,NA,572,832,QC,Erica Ebert,95,NA,2020,1,34,Good,Good Going Forward,GGF,GGF,1,NA,NA,START,start,NA
SL_2020_SSEO_Dive_1_12-51-24.040.avi,1759,12:52:23,46343,NA,NA,568,830,QC,Erica Ebert,95,NA,2020,1,34,Bad,poor visibility,BPV,BPV,1,NA,NA,,,NA
SL_2020_SSEO_Dive_1_12-51-24.040.avi,2094,12:52:34,46354,NA,NA,570,832,QC,Erica Ebert,95,NA,2020,1,34,Good,Good Going Forward,GGF,GGF,1,NA,NA,,,NA
SL_2020_SSEO_Dive_1_12-51-24.040.avi,72538,13:31:42,48702,NA,NA,604,862,QC,Erica Ebert,95,NA,2020,1,34,Good,Good Going Forward,GGF,GGF,1,NA,NA,END,end,NA
SL_2020_SSEO_Dive_10_09-55-58.000.avi,291,10:04:41,36281,NA,NA,619,877,QC,Erica Ebert,60,NA,2020,10,28,Good,Good Going Forward,GGF,GGF,1,NA,NA,START,start,NA
SL_2020_SSEO_Dive_10_09-55-58.000.avi,33591,10:23:11,37391,NA,NA,576,847,QC,Erica Ebert,60,NA,2020,10,28,Bad,going over drop-off,BDO,BDO,1,NA,NA,,,NA
SL_2020_SSEO_Dive_10_09-55-58.000.avi,33934,10:23:22,37402,NA,NA,572,841,QC,Erica Ebert,60,NA,2020,10,28,Good,Good Going Forward,GGF,GGF,1,NA,NA,,,NA
SL_2020_SSEO_Dive_10_09-55-58.000.avi,36768,10:24:57,37497,NA,NA,538,787,QC,Erica Ebert,60,NA,2020,10,28,Bad,poor visibility,BPV,BPV,1,NA,NA,,,NA
SL_2020_SSEO_Dive_10_09-55-58.000.avi,37172,10:25:10,37510,NA,NA,566,830,QC,Erica Ebert,60,NA,2020,10,28,Good,Good Going Forward,GGF,GGF,1,NA,NA,,,NA
SL_2020_SSEO_Dive_10_09-55-58.000.avi,67684,10:42:07,38527,NA,NA,581,843,QC,Erica Ebert,60,NA,2020,10,28,Good,Good Going Forward,GGF,GGF,1,NA,NA,END,end,NA
