"","Year","Discards.mt"
"93",1980,28.5611347970453
"94",1981,35.4063871559021
"95",1982,32.3919671765806
"96",1983,44.1948347501549
"97",1984,55.0068001571627
"98",1985,57.8673068075825
"99",1986,96.0267454263211
"100",1987,75.2860241183677
"101",1988,109.379728457909
"102",1989,53.9283494867
"103",1990,79.6088930422833
"104",1991,54.7434055452617
"105",1992,13.1550730454834
"106",1993,1
"107",1994,1
"108",1995,44.9617335229499
"109",1996,107.571560579916
"110",1997,76.700033036545
"111",2023,1
"112",2022,50.5169789599728
"113",2021,49.5252053910372
"114",2020,1
"115",2019,1
"116",2018,1.21306760174235
"117",2017,1
"118",2016,49.8352467549545
"119",2015,1
"120",2014,1
"121",2013,1
"122",2012,1
"123",2011,1
"124",2010,61.5653899845103
"125",2009,1
"126",2008,1
"127",2007,27.1624585511073
"128",2006,1
"129",2005,1
"130",2004,40.8661532601371
"131",2003,1
"132",2002,1
"133",2001,1
"134",2000,1
"135",1999,11.7110451531729
"136",1998,55.1651064791219
