"","Year","Stlkey","Vessel.code","Station","Setno.x","IPHC.Reg.Area","IPHC.Stat.Area","IPHC.Charter.Region","Purpose.Code","Date","Eff","Ineffcde","BeginLat","BeginLon","BeginDepth..fm.","EndLat","EndLon","EndDepth..fm.","MidLat.fished","MidLon.fished","AvgDepth.fm","Lat...Grid.target","Lon...Grid.target","O32.Pacific.halibut.count","U32.Pacific.halibut.count","O32.Pacific.halibut.weight","U32.Pacific.halibut.weight","No..skates.set","No..skates.hauled","Avg.no..hook.skate","Effective.skates.hauled","Soak.time..min..","Profiler.Lat","Profiler.Lon","Profiler.Bottom.Depth..m.","Temp.C","Max.Pressure..db.","pH","Salinity.PSU","Sigma.t","Oxygen_ml","Oxygen_umol","Oxygen_sat","Year.y","Setno.y","IPHC.Species.Code","Scientific.Name","Species.Name","SampleType","HooksFished","HooksRetrieved","HooksObserved","YE.obs","SEdist","In.Out","depth_bin","YE.exp"
"8487",1998,19980218,"BDP",4037,55,"3A",190,"Fairweather","Standard Grid","24-Jun-98","Y","",58.8337,-138.4335,41,58.8335,-138.3713,38,58.8337,-138.4023,39,58.833,-138.4,27,3,1360,26,8,8,83,6.67,"419",NA,NA,NA,"",NA,NA,"","","","","",1998,55,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","664",664,160,4,"EYKT","SEO","50",4.15
"8488",1998,19980219,"BDP",4036,56,"3A",190,"Fairweather","Standard Grid","24-Jun-98","Y","",58.8333,-138.1168,34,58.8333,-138.0503,21,58.8333,-138.0835,27,58.833,-138.083,2,4,66,32,8,8,83,6.67,"522",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","50",NA
"8489",1998,19980220,"BDP",4043,57,"3A",190,"Fairweather","Standard Grid","24-Jun-98","Y","",59.0005,-138.3675,33,59.0002,-138.433,33,59.0003,-138.4003,33,59,-138.4,7,8,183,50,8,8,82,6.59,"623",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","50",NA
"8491",1998,19980222,"BDP",4044,59,"3A",190,"Fairweather","Standard Grid","25-Jun-98","Y","",59.0002,-138.75,89,59.0002,-138.686,84,59.0002,-138.718,85,59,-138.717,3,1,136,10,8,8,84,6.75,"517",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8492",1998,19980223,"BDP",4038,60,"3A",190,"Fairweather","Standard Grid","25-Jun-98","Y","",58.8333,-138.7667,64,58.8335,-138.7048,64,58.8333,-138.7357,64,58.833,-138.733,71,60,1055,520,8,8,83,6.67,"618",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8504",1998,19980235,"BDP",4013,72,"3A",185,"Fairweather","Standard Grid","29-Jun-98","Y","",58.3338,-137.1338,91,58.3338,-137.2002,98,58.3338,-137.167,92,58.333,-137.167,1,1,15,11,8,8,84,6.75,"423",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8505",1998,19980236,"BDP",4007,73,"3A",185,"Fairweather","Standard Grid","29-Jun-98","Y","",58.1667,-137.1503,68,58.1667,-137.2143,68,58.1667,-137.1823,66,58.167,-137.183,36,12,1668,100,8,8,85,6.83,"515",NA,NA,NA,"",NA,NA,"","","","","",1998,73,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","680",680,160,4,"EYKT","SEO","100",4.25
"8506",1998,19980237,"BDP",4006,74,"3A",185,"Fairweather","Standard Grid","29-Jun-98","Y","",58.1672,-136.949,103,58.1665,-136.884,100,58.1668,-136.9165,106,58.167,-136.917,96,17,2545,127,8,8,85,6.83,"614",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEO","SEO","150",NA
"8507",1998,19980238,"BDP",4015,75,"3A",185,"Fairweather","Standard Grid","4-Jul-98","Y","",58.3337,-137.833,92,58.3332,-137.77,96,58.3335,-137.8015,93,58.333,-137.8,3,0,140,0,8,8,84,6.75,"426",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8508",1998,19980239,"BDP",4014,76,"3A",185,"Fairweather","Standard Grid","4-Jul-98","Y","",58.3333,-137.4508,100,58.3337,-137.5152,101,58.3335,-137.483,100,58.333,-137.483,1,0,51,0,8,8,85,6.83,"506",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8509",1998,19980240,"BDP",4021,77,"3A",185,"Fairweather","Standard Grid","4-Jul-98","Y","",58.5,-137.4343,20,58.4998,-137.4988,57,58.5,-137.4665,38,58.5,-137.467,1,0,17,0,8,8,85,6.83,"609",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","50",NA
"8510",1998,19980241,"BDP",4022,78,"3A",185,"Fairweather","Standard Grid","4-Jul-98","Y","",58.5002,-137.7505,87,58.5002,-137.8167,83,58.5002,-137.7837,84,58.5,-137.783,1,0,16,0,8,8,84,6.75,"714",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8511",1998,19980242,"BDP",4023,79,"3A",190,"Fairweather","Standard Grid","5-Jul-98","Y","",58.5,-138.1515,70,58.5003,-138.0847,75,58.5002,-138.118,72,58.5,-138.117,15,6,610,50,8,8,85,6.83,"508",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8512",1998,19980243,"BDP",4029,80,"3A",190,"Fairweather","Standard Grid","5-Jul-98","Y","",58.6672,-138.0683,54,58.6667,-138.1315,48,58.667,-138.0998,49,58.667,-138.1,17,7,911,56,8,8,85,6.83,"598",NA,NA,NA,"",NA,NA,"","","","","",1998,80,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","680",680,160,4,"EYKT","SEO","50",4.25
"8513",1998,19980244,"BDP",4030,81,"3A",190,"Fairweather","Standard Grid","5-Jul-98","Y","",58.6672,-138.384,74,58.6667,-138.4462,71,58.667,-138.4152,71,58.667,-138.417,11,3,228,24,8,8,85,6.83,"699",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8514",1998,19980245,"BDP",4024,82,"3A",190,"Fairweather","Standard Grid","5-Jul-98","Y","",58.5005,-138.4003,63,58.5008,-138.4608,63,58.5007,-138.4307,63,58.5,-138.433,62,72,1763,559,8,8,84,6.75,"715",NA,NA,NA,"",NA,NA,"","","","","",1998,82,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,5,"EYKT","SEO","100",4.2
"8515",1998,19980246,"BDP",4025,83,"3A",190,"Fairweather","Standard Grid","6-Jul-98","Y","",58.5,-138.7822,50,58.5,-138.717,48,58.5,-138.7495,51,58.5,-138.75,43,22,1378,172,8,8,84,6.75,"433",NA,NA,NA,"",NA,NA,"","","","","",1998,83,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,15,"EYKT","SEO","100",4.2
"8516",1998,19980247,"BDP",4031,84,"3A",190,"Fairweather","Standard Grid","6-Jul-98","Y","",58.6668,-138.7007,55,58.6667,-138.7665,53,58.6667,-138.7337,53,58.667,-138.733,57,27,2713,183,8,8,85,6.83,"544",NA,NA,NA,"",NA,NA,"","","","","",1998,84,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","680",680,160,3,"EYKT","SEO","100",4.25
"8521",1998,19980252,"BDP",4018,89,"3A",190,"Fairweather","Standard Grid","7-Jul-98","Y","",58.3338,-138.6672,68,58.3332,-138.7347,52,58.3335,-138.7008,62,58.333,-138.767,53,83,1951,606,8,7,85,5.55,"792",NA,NA,NA,"",NA,NA,"","","","","",1998,89,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","680",552,140,23,"EYKT","SEO","100",3.94285714285714
"8522",1998,19980253,"BDP",4012,90,"3A",190,"Fairweather","Standard Grid","7-Jul-98","Y","",58.167,-138.7337,91,58.1667,-138.797,113,58.1668,-138.7653,99,58.167,-138.767,115,87,3688,764,8,8,84,6.75,"923",NA,NA,NA,"",NA,NA,"","","","","",1998,90,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,140,21,"EYKT","SEO","100",4.8
"8523",1998,19980254,"BDP",4011,91,"3A",185,"Fairweather","Standard Grid","8-Jul-98","Y","",58.1662,-138.4845,89,58.1667,-138.4175,85,58.1663,-138.451,87,58.167,-138.45,39,26,1473,208,8,8,83,6.67,"483",NA,NA,NA,"",NA,NA,"","","","","",1998,91,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","664",664,160,14,"EYKT","SEO","100",4.15
"8524",1998,19980255,"BDP",4017,92,"3A",190,"Fairweather","Standard Grid","7-Jul-98","Y","",58.3338,-138.4007,71,58.334,-138.4678,69,58.334,-138.4342,70,58.333,-138.433,55,51,972,421,8,8,84,6.75,"554",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8525",1998,19980256,"BDP",4016,93,"3A",185,"Fairweather","Standard Grid","7-Jul-98","Y","",58.3335,-138.0833,69,58.3333,-138.147,71,58.3333,-138.1152,69,58.333,-138.117,37,54,809,410,8,8,84,6.75,"613",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8526",1998,19980257,"BDP",4010,94,"3A",185,"Fairweather","Standard Grid","9-Jul-98","Y","",58.1668,-138.1675,95,58.167,-138.1087,78,58.167,-138.1382,80,58.167,-138.133,96,124,1937,988,8,8,84,6.75,"482",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8527",1998,19980258,"BDP",4009,95,"3A",185,"Fairweather","Standard Grid","9-Jul-98","Y","",58.1672,-137.7842,81,58.1668,-137.8513,83,58.167,-137.8177,82,58.167,-137.817,10,2,596,18,8,8,84,6.75,"572",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8528",1998,19980259,"BDP",4008,96,"3A",185,"Fairweather","Standard Grid","9-Jul-98","Y","",58.1668,-137.5338,80,58.1667,-137.4697,73,58.1667,-137.5018,76,58.167,-137.5,22,31,1260,244,8,8,84,6.75,"652",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8529",1998,19980261,"BDP",4001,98,"3A",185,"Fairweather","Standard Grid","15-Jul-98","Y","",57.8333,-137.25,125,57.8333,-137.1883,201,57.8333,-137.2192,163,57.833,-137.217,31,1,832,8,8,8,83,6.59,"571",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","200",NA
"8530",1998,19980262,"BDP",4002,99,"3A",185,"Fairweather","Standard Grid","15-Jul-98","Y","",58,-136.868,215,58.0002,-136.9335,231,58,-136.9008,225,58,-136.9,3,0,124,0,8,8,82,6.59,"683",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"NSEO","SEO","250",NA
"8531",1998,19980290,"BDP",4005,127,"3A",185,"Fairweather","Standard Grid","28-Jul-98","Y","",58,-137.8667,102,58.0002,-137.8028,98,58,-137.8348,99,58,-137.833,40,27,1506,216,8,8,83,6.67,"473",NA,NA,NA,"",NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,140,0,"EYKT","SEO","100",NA
"8532",1998,19980291,"BDP",4004,128,"3A",185,"Fairweather","Standard Grid","28-Jul-98","Y","",58,-137.55,88,58.0005,-137.4867,88,58.0002,-137.5183,89,58,-137.517,61,41,2162,333,8,8,84,6.75,"628",NA,NA,NA,"",NA,NA,"","","","","",1998,128,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","672",672,160,30,"EYKT","SEO","100",4.2
"8533",1998,19980292,"BDP",4003,129,"3A",185,"Fairweather","Standard Grid","28-Jul-98","Y","",58.0007,-137.2328,90,58,-137.1728,146,58.0003,-137.2028,108,58,-137.2,33,11,749,83,8,8,85,6.83,"711",NA,NA,NA,"",NA,NA,"","","","","",1998,129,89,"Sebastes ruberrimus","Yelloweye Rockfish","20Hook","680",680,160,4,"EYKT","SEO","150",4.25
