"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90","Bio.CSEO.mt","Bio.EYKT.mt","Bio.NSEO.mt","Bio.SSEO.mt","Bio.CSEO.cv","Bio.EYKT.cv","Bio.NSEO.cv","Bio.SSEO.cv","Bio.CSEO.lo90","Bio.EYKT.lo90","Bio.NSEO.lo90","Bio.SSEO.lo90"
"1",1995,27951905.7728689,12467790598382.3,15267750.6242889,6938319.4618197,1181987.93944316,4563847.74731707,8510032879085.22,1934576572576.25,158392350582.694,1864788796138.12,19366963773408.8,0.157441546293808,27951.9057728689,20558.5764447469,35345.2351009909,15267.7506242889,6938.3194618197,1181.98793944316,4563.84774731707,0.191069145439098,0.200465051487836,0.336708481959679,0.299215218071263,10366.8612358279,4601.6233073231,513.372526605106,2269.68561306844
"2",1996,27348827.5528936,12616209964421.5,15170375.5885,6943230.49879656,1181987.93944316,4053233.52615385,8935225166645.04,2118398329844.26,158214689775.089,1404371778157.16,19515383139448.1,0.161528748491674,27348.8275528936,19927.2227821733,34770.4323236139,15170.3755885,6943.23049879656,1181.98793944316,4053.23352615385,0.197040915821843,0.209624591664441,0.336519594414678,0.292374451767182,10148.5452936435,4498.03777711746,513.747608109277,2062.32948359661
"3",1997,20414514.4006025,6894154916803.73,8149427.06990888,7257238.27676768,1181987.93944316,3825861.11448276,1322754642450.67,4144873041373.88,158069470949.988,1268457762029.19,13793328091830.3,0.181926296854378,20414.5144006025,14175.1002288727,26653.9285723322,8149.42706990888,7257.23827676768,1181.98793944316,3825.86111448276,0.141127799404058,0.280533179387421,0.336365120139707,0.294380341561208,6217.24107915831,3836.93278281342,514.054353815627,1933.7471677155
"4",1998,20972576.8485315,7830899149766.54,8268081.66565878,7736076.46033097,1181987.93944316,3786430.78309859,1497319311123.87,4927112067989.46,158377582232.702,1248090188420.51,14730072324793.1,0.182999812682172,20972.5768485315,14524.774422162,27420.379274901,8268.08166565878,7736.07646033097,1181.98793944316,3786.43078309859,0.147996844350722,0.286929675223789,0.33669278440672,0.295048195137323,6212.34967346816,4006.96381779877,513.40369785981,1909.56910790832
"5",1999,22016025.3608539,4793655913953.2,8607610.9156621,4628882.54477306,1181987.93944316,7597543.96097561,1598232413527.69,697660651293.741,157924292459.477,2339838556672.29,11692829088979.7,0.155317676151158,22016.0253608539,16271.3024936708,27760.748228037,8607.6109156621,4628.88254477306,1181.98793944316,7597.54396097561,0.146871435462765,0.180445457455813,0.336210617825339,0.201335206696026,6483.73446823382,3225.64435322771,514.361155200921,5027.72678025013
"6",2000,22837001.7308168,5601925392499.44,8595523.86396396,4337794.47876923,1181987.93944316,8721695.44864041,1568112293677.98,662180455548.837,158354575187.068,3213278068085.55,12501098567526,0.154822831171296,22837.0017308168,16897.0437682563,28776.9596933772,8595.52386396396,4337.79447876923,1181.98793944316,8721.69544864041,0.145685466649867,0.187594113901967,0.336668328333179,0.205529060654664,6491.75578319157,2970.70336339285,513.452261256881,5710.19150221021
"7",2001,23703807.5842884,5961052568861.77,8879070.74411439,5035790.72930233,1181987.93944316,8606958.17142857,1744490031723.78,973089474003.341,158033722918.576,3085439340216.07,12860225743888.3,0.151288592666071,23703.8075842884,17679.1332246612,29728.4819439157,8879.07074411439,5035.79072930233,1181.98793944316,8606.95817142857,0.148753341366695,0.195888397492979,0.336327082842795,0.204083932415271,6660.14112253168,3378.54972949963,514.12988598764,5655.96783023363
"8",2002,23335845.9326585,5992953763776.22,8532013.43431818,5035790.72930233,1181987.93944316,8586053.82959488,1650805789186.68,972421281932.178,158266785650.872,3211459907006.5,12892126938802.8,0.153864609045861,23335.8459326585,17303.7037698712,29367.9880954459,8532.01343431818,5035.79072930233,1181.98793944316,8586.05382959488,0.15059011363364,0.195821130527802,0.33657499331634,0.208716914229276,6373.48748835402,3379.1188166638,513.637600308791,5575.40199958612
"9",2003,31144971.1352431,8451342126930.85,9245545.72192308,12160290.1133721,1181987.93944316,8557147.36050473,882272931936.236,4317608286879.9,158360433250.926,3093100474863.79,15350515301957.4,0.125797945024881,31144.9711352431,24562.7758792328,37727.1663912534,9245.54572192308,12160.2901133721,1181.98793944316,8557.14736050473,0.101594202845668,0.170874667733889,0.336674555517725,0.205526583472572,7667.5320581366,8669.44241848625,513.439895689071,5602.49564156127
"10",2004,29426557.8088954,7766463641932.27,9200271.84811232,10878940.511669,1181987.93944316,8165357.50967089,1026025496332.87,3705308022454.15,157857215043.1,2877272908102.15,14665636816958.8,0.130140059131891,29426.5578088954,22992.8735337553,35860.2420840355,9200.27184811232,10878.940511669,1181.98793944316,8165.35750967089,0.110097743111923,0.176939809933188,0.336139208498496,0.207737702285331,7498.55084840354,7645.07883210161,514.502955538914,5315.65312924342
