"","Year","Discards.mt"
"93",1980,32.6408667872901
"94",1981,36.4741406405452
"95",1982,35.9548530766675
"96",1983,48.9711747711171
"97",1984,63.1917882644951
"98",1985,70.9959515981218
"99",1986,106.691098582511
"100",1987,92.3544148755796
"101",1988,118.73133604098
"102",1989,67.5474659750292
"103",1990,101.964531521117
"104",1991,67.2177373035079
"105",1992,36.1006385519093
"106",1993,28.0799282970384
"107",1994,2.65371736994857
"108",1995,62.6171072541622
"109",1996,132.087202733934
"110",1997,86.6852053255492
"111",1998,277.043775225286
"112",1999,34.6815551228575
"113",2000,20.0368625083972
"114",2001,1
"115",2002,1
"116",2003,1
"117",2004,62.4550577498013
"118",2005,21.3100015145392
"119",2006,15.9132434796553
"120",2007,100.675520019316
"121",2008,32.243354149031
"122",2009,50.2485939647544
"123",2010,84.0427401224835
"124",2011,1
"125",2012,1
"126",2013,1
"127",2014,7.38088797529208
"128",2015,1
"129",2016,1
"130",2017,1
"131",2018,15.8538068688399
"132",2019,1
"133",2020,1
"134",2021,44.4703871929278
"135",2022,29.6398751583436
