"Year","Mgt.Area","HA.lbs","HA.mt"
1999,"SSEI",1544468,700.55524012
1999,"SSEO",1107441,502.32416319
2000,"CSEO",1430813,649.00246867
2000,"EYKT",1777745,806.36735455
2000,"NSEI",3535569,1603.69874271
2000,"NSEO",851421,386.19605139
2000,"SSEI",1283931,582.37826229
2000,"SSEO",1099006,498.49813154
2001,"CSEO",1822804,826.80566636
2001,"EYKT",1878118,851.89554362
2001,"NSEI",3200374,1451.65764266
2001,"NSEO",989188,448.68578492
2001,"SSEI",1067443,484.18147037
2001,"SSEO",1129302,512.24009418
2002,"CSEO",1871689,848.97941351
2002,"EYKT",2111626,957.81243734
2002,"NSEI",3309071,1500.96151489
2002,"NSEO",1167883,529.74004997
2002,"SSEI",1049311,475.95697649
2002,"SSEO",1240565,562.70787835
2003,"CSEO",1679487,761.79850833
2003,"EYKT",2308515,1047.11931885
2003,"NSEI",3886832,1763.02812688
2003,"NSEO",927953,420.91020127
2003,"SSEI",888118,402.84144362
2003,"SSEO",1052520,477.4125468
2004,"CSEO",1947705,883.45951095
2004,"EYKT",2590013,1174.80399667
2004,"NSEI",4940236,2240.84164724
2004,"NSEO",960755,435.78886045
2004,"SSEI",965318,437.85859162
2004,"SSEO",1484837,673.50721483
2005,"CSEO",1914202,868.26288518
2005,"EYKT",2599797,1179.24192123
2005,"NSEI",5301743,2404.81760737
2005,"NSEO",1174883,532.91517997
2005,"SSEI",952458,432.02542422
2005,"SSEO",1456813,660.79580867
2006,"CSEO",2020718,916.57747762
2006,"EYKT",2154874,977.42929766
2006,"NSEI",4706959,2135.02953281
2006,"NSEO",1046203,474.54721877
2006,"SSEI",1415524,642.06753116
2006,"SSEO",1451830,658.5355697
2007,"CSEO",1546076,701.28461284
2007,"EYKT",2571394,1166.35860446
2007,"NSEI",3747580,1699.8648122
2007,"NSEO",816424,370.32176216
2007,"SSEI",1092806,495.68587354
2007,"SSEO",1377189,624.67915851
2008,"CSEO",1149122,521.23024798
2008,"EYKT",2305031,1045.53901129
2008,"NSEI",2858236,1296.46726724
2008,"NSEO",624086,283.07916874
2008,"SSEI",919130,416.9081767
2008,"SSEO",796940,361.4840146
2009,"CSEO",1111599,504.21019041
2009,"EYKT",2505051,1136.26608309
2009,"NSEI",3045324,1381.32851316
2009,"NSEO",647168,293.54893312
2009,"SSEI",1014561,460.19472399
2009,"SSEO",816863,370.52088817
2010,"CSEO",1002272,454.62055648
2010,"EYKT",2545634,1154.67412606
2010,"NSEI",2865837,1299.91500483
2010,"NSEO",583866,264.83577894
2010,"SSEI",962896,436.75999664
2010,"SSEO",671406,304.54304754
2011,"CSEO",521592,236.58891528
2011,"EYKT",1996161,905.43866799
2011,"NSEI",1503905,682.15626895
2011,"NSEO",321804,145.96707636
2011,"SSEI",623488,282.80792192
2011,"SSEO",284719,129.14569121
2012,"CSEO",575745,261.15217455
2012,"EYKT",1754805,795.96199995
2012,"NSEI",1654045,750.25827155
2012,"NSEO",396549,179.87066091
2012,"SSEI",667310,302.6851429
2012,"SSEO",311439,141.26561601
2013,"CSEO",619359,280.93504881
2013,"EYKT",1655401,750.87333959
2013,"NSEI",1930060,875.4559154
2013,"NSEO",388517,176.22742603
2013,"SSEI",693879,314.73657561
2013,"SSEO",378963,171.89382717
2014,"CSEO",745201,338.01572159
2014,"EYKT",1186640,538.2480376
2014,"NSEI",2067391,937.74788369
2014,"NSEO",455064,206.41247976
2014,"SSEI",877928,398.21936152
2014,"SSEO",360946,163.72149614
2015,"CSEO",843690,382.6893471
2015,"EYKT",1226122,556.15667798
2015,"NSEI",2303475,1044.83322525
2015,"NSEO",464017,210.47347103
2015,"SSEI",927185,420.56184415
2015,"SSEO",382656,173.56893504
2016,"CSEO",779441,353.54664319
2016,"EYKT",1258690,570.9291971
2016,"NSEI",2569937,1165.69772383
2016,"NSEO",449483,203.88099397
2016,"SSEI",1131052,513.03387668
2016,"SSEO",373738,169.52381942
2017,"CSEO",962637,436.64251683
2017,"EYKT",1163744,527.86264096
2017,"NSEI",2198669,997.29427171
2017,"NSEO",114480,51.9269832
2017,"SSEI",1051950,477.1540005
2017,"SSEO",452333,205.17372547
2018,"CSEO",769098,348.85516182
2018,"EYKT",1322161,599.71900799
2018,"NSEI",2327401,1055.68581959
2018,"NSEO",314455,142.63364345
2018,"SSEI",815928,370.09678152
2018,"SSEO",431103,195.54400977
2019,"CSEO",684456,310.46239704
2019,"EYKT",1436373,651.52442907
2019,"NSEI",2356660,1068.9574094
2019,"NSEO",369446,167.57701114
2019,"SSEI",829641,376.31686119
2019,"SSEO",402495,182.56770705
2020,"CSEO",649379,294.55182061
2020,"EYKT",1215652,551.40759068
2020,"NSEI",2324709,1054.46475531
2020,"NSEO",490183,222.34210697
2020,"SSEI",633017,287.13018103
2020,"SSEO",376920,170.9671428
2021,"CSEO",634037,287.59284283
2021,"EYKT",1797896,815.50764664
2021,"NSEI",2526960,1146.2037864
2021,"NSEO",497747,225.77306173
2021,"SEO",5175,2.34732825
2021,"SSEI",658258,298.57924622
2021,"SSEO",304247,138.00339673
2022,"CSEO",626896,284.35375664
2022,"EYKT",2145608,973.22633272
2022,"NSEI",2439861,1106.69655099
2022,"NSEO",378153,171.52641927
2022,"SEO",2052,0.93076668
2022,"SSEI",558501,253.33046859
2022,"SSEO",468262,212.39896058
2023,"CSEO",590295,267.75190905
2023,"EYKT",1617682,733.76437838
2023,"NSEI",2250069,1020.60879771
2023,"NSEO",278217,126.19644903
2023,"SEO",16839,7.63800201
2023,"SSEI",718600,325.949774
2023,"SSEO",295589,134.07621451
