"","GFMU","Year","mean.weight.kg","var.weight","sd.weight","no.YE"
"1","CSEO",1984,5.4025,0.676691666666667,0.822612707576699,4
"2","CSEO",1985,1.41729166666667,1.33508521929825,1.15545887823767,96
"3","CSEO",1986,NA,NA,NA,NA
"4","CSEO",1987,NA,NA,NA,NA
"5","CSEO",1988,3.17459086993971,2.03231399195105,1.42559250557481,1161
"6","CSEO",1989,3.15244604316547,2.07599064834567,1.44082984711786,834
"7","CSEO",1990,3.11711538461538,2.44477779034691,1.56357852068481,52
"8","CSEO",1991,NA,NA,NA,NA
"9","CSEO",1992,2.29161616161616,1.17068715728716,1.08198297458285,99
"10","CSEO",1993,NA,NA,NA,NA
"11","CSEO",1994,NA,NA,NA,NA
"12","CSEO",1995,3.12457399103139,1.84884959338943,1.35972408722852,446
"13","CSEO",1996,3.11822413793103,1.50660150407957,1.22743696542004,580
"14","CSEO",1997,2.7225918762089,1.57766885055403,1.25605288525365,517
"15","CSEO",1998,2.7948128342246,1.91726380886666,1.3846529561109,187
"16","CSEO",1999,3.05347083926031,1.43202867685499,1.19667400609146,703
"17","CSEO",2000,3.14841666666667,0.866835287114846,0.931039895554882,120
"18","CSEO",2001,3.27750922509225,1.38384350730846,1.17636878031868,542
"19","CSEO",2002,3.14940082644628,1.45296009573431,1.20538794408037,484
"20","CSEO",2003,3.01857787810384,1.45258145715657,1.20523087296857,443
"21","CSEO",2004,2.94153110047847,1.62405629830696,1.27438467438484,209
"22","CSEO",2005,NA,NA,NA,NA
"23","CSEO",2006,NA,NA,NA,NA
"24","CSEO",2007,NA,NA,NA,NA
"25","CSEO",2008,3.20819587628866,1.52965823543515,1.23679352983234,388
"26","CSEO",2009,3.57248658318426,1.56439864453293,1.25075922724277,559
"27","CSEO",2010,3.51457731958763,1.47784264122007,1.21566551370847,485
"28","CSEO",2011,3.21916370106762,1.53975634035562,1.2408691874471,562
"29","CSEO",2012,3.40494226327945,1.28192352267418,1.13222061572565,866
"30","CSEO",2013,3.18863957597173,1.27304717251947,1.12829392115683,566
"31","CSEO",2014,3.40359840954274,1.46042746390185,1.20848147023521,503
"32","CSEO",2015,3.47274725274725,1.38374904390763,1.17632862921364,455
"33","CSEO",2016,3.52450805008945,1.47611870916447,1.21495625812803,559
"34","CSEO",2017,3.57428571428571,1.2951873243036,1.13806297027168,560
"35","CSEO",2018,3.63353658536585,1.42804948373432,1.19501024419639,738
"36","CSEO",2019,3.48973630831643,1.50284403601643,1.22590539439894,493
"37","CSEO",2020,3.42380952380952,1.10231784279977,1.04991325489288,84
"38","CSEO",2021,3.49982857142857,1.19823502791461,1.09463922271889,175
"39","CSEO",2022,NA,NA,NA,NA
"40","CSEO",2023,3.74736842105263,2.15581259398496,1.46826857011412,57
"41","CSEO",1981,3.647,2.91397025641026,1.70703551703245,40
"42","CSEO",2024,3.63150851581509,1.53884698712243,1.2405027154837,411
"43","EYKT",1984,NA,NA,NA,NA
"44","EYKT",1985,NA,NA,NA,NA
"45","EYKT",1986,NA,NA,NA,NA
"46","EYKT",1987,NA,NA,NA,NA
"47","EYKT",1988,NA,NA,NA,NA
"48","EYKT",1989,NA,NA,NA,NA
"49","EYKT",1990,NA,NA,NA,NA
"50","EYKT",1991,NA,NA,NA,NA
"51","EYKT",1992,NA,NA,NA,NA
"52","EYKT",1993,NA,NA,NA,NA
"53","EYKT",1994,3.5446,2.20499269387755,1.48492178039032,50
"54","EYKT",1995,3.4386,0.952512603015075,0.975967521496015,200
"55","EYKT",1996,3.46567335243553,1.40786369759246,1.18653432212999,349
"56","EYKT",1997,3.80352644836272,1.72388803780882,1.31296916864366,397
"57","EYKT",1998,4.03908450704225,1.92203421872411,1.38637448718739,426
"58","EYKT",1999,3.77634615384615,1.06401941639442,1.03151316830878,260
"59","EYKT",2000,3.56438461538462,1.01196899821109,1.00596669836088,130
"60","EYKT",2001,4.30197674418605,2.02073252423893,1.4215247181245,344
"61","EYKT",2002,NA,NA,NA,NA
"62","EYKT",2003,NA,NA,NA,NA
"63","EYKT",2004,3.806492434663,1.97177514560384,1.40419911180852,727
"64","EYKT",2005,4.1286170212766,2.48356661560284,1.57593356953992,376
"65","EYKT",2006,NA,NA,NA,NA
"66","EYKT",2007,NA,NA,NA,NA
"67","EYKT",2008,3.67866788321168,2.21782838675456,1.48923751858277,548
"68","EYKT",2009,3.98642335766423,2.2882581166015,1.51269895108098,548
"69","EYKT",2010,4.23607692307692,2.63936524502525,1.62461233684385,260
"70","EYKT",2011,4.3497920997921,2.59674579002079,1.6114421460359,481
"71","EYKT",2012,4.37790072388831,2.58704848702846,1.60843044208584,967
"72","EYKT",2013,4.06365765765766,2.38911962988259,1.54567772510397,555
"73","EYKT",2014,3.68843137254902,1.29195146358543,1.13664042844931,561
"74","EYKT",2015,3.96144578313253,1.89526963024512,1.37668792042537,581
"75","EYKT",2016,3.92699490662139,2.11711017174272,1.45502926834573,589
"76","EYKT",2017,3.87418181818182,1.82119013081636,1.34951477606448,550
"77","EYKT",2018,3.94696428571429,2.42270990927677,1.5565056727416,560
"78","EYKT",2019,4.08098901098901,2.79175371258576,1.67085418651232,182
"79","EYKT",2020,4.16909090909091,1.49439730639731,1.22245544147724,55
"80","EYKT",2021,4.26312312312312,2.33749081913239,1.52888548267435,333
"81","EYKT",2022,4.91584415584416,1.94469565960355,1.39452345251113,77
"82","EYKT",2023,4.80327586206897,3.12040830584708,1.76646774831783,116
"83","EYKT",2024,3.97008064516129,1.83014714791503,1.35282931218799,124
"84","NSEO",1984,NA,NA,NA,NA
"85","NSEO",1985,NA,NA,NA,NA
"86","NSEO",1986,NA,NA,NA,NA
"87","NSEO",1987,NA,NA,NA,NA
"88","NSEO",1988,3.45361445783133,2.47365263003232,1.57278499167315,83
"89","NSEO",1989,3.15107692307692,0.958609759615385,0.979086185999672,65
"90","NSEO",1990,NA,NA,NA,NA
"91","NSEO",1991,NA,NA,NA,NA
"92","NSEO",1992,NA,NA,NA,NA
"93","NSEO",1993,NA,NA,NA,NA
"94","NSEO",1994,NA,NA,NA,NA
"95","NSEO",1995,14.06,NA,NA,1
"96","NSEO",1996,NA,NA,NA,NA
"97","NSEO",1997,NA,NA,NA,NA
"98","NSEO",1998,NA,NA,NA,NA
"99","NSEO",1999,NA,NA,NA,NA
"100","NSEO",2000,NA,NA,NA,NA
"101","NSEO",2001,NA,NA,NA,NA
"102","NSEO",2002,NA,NA,NA,NA
"103","NSEO",2003,NA,NA,NA,NA
"104","NSEO",2004,NA,NA,NA,NA
"105","NSEO",2005,NA,NA,NA,NA
"106","NSEO",2006,NA,NA,NA,NA
"107","NSEO",2007,NA,NA,NA,NA
"108","NSEO",2008,4.0244,1.85850973737374,1.36327170343029,100
"109","NSEO",2009,3.34819672131148,1.79239288416502,1.33880278016033,183
"110","NSEO",2010,3.92046511627907,3.00425241398069,1.73327793904517,172
"111","NSEO",2011,3.43333333333333,1.38998958333333,1.17897819459621,129
"112","NSEO",2012,3.24063829787234,1.58986195378632,1.26089728121934,94
"113","NSEO",2013,NA,NA,NA,NA
"114","NSEO",2014,3.70821138211382,1.25679349593496,1.1210680157488,123
"115","NSEO",2015,3.94967948717949,1.93241147250392,1.39011203595391,312
"116","NSEO",2016,3.764,1.80579233449477,1.34379772826671,575
"117","NSEO",2017,3.70731707317073,1.82679229530682,1.35158880407719,410
"118","NSEO",2018,3.53915343915344,1.62827726551864,1.27603968022889,378
"119","NSEO",2019,3.368,1.44482666666667,1.20200942869291,40
"120","NSEO",2020,3.86352941176471,1.54996358543417,1.24497533527142,85
"121","NSEO",2021,3.42968253968254,1.5479160266257,1.24415273444449,63
"122","NSEO",2022,3.33111111111111,2.3081572327044,1.51926206847417,54
"123","NSEO",2023,4.08333333333333,1.58009378531073,1.25701781423762,60
"124","NSEO",2024,3.2705,2.29259805084746,1.51413277186892,60
"125","SSEO",1984,NA,NA,NA,NA
"126","SSEO",1985,4.57571428571429,0.994349206349206,0.997170600423622,91
"127","SSEO",1986,NA,NA,NA,NA
"128","SSEO",1987,2.959,2.27494724137931,1.50829282348598,30
"129","SSEO",1988,3.3858361774744,2.28834219224835,1.51272674077255,293
"130","SSEO",1989,3.52978571428571,1.51520067317575,1.2309348777152,140
"131","SSEO",1990,NA,NA,NA,NA
"132","SSEO",1991,NA,NA,NA,NA
"133","SSEO",1992,4.19555555555556,3.96647798742138,1.99160186468616,54
"134","SSEO",1993,2.9044,1.94382566666667,1.39421148563145,25
"135","SSEO",1994,4.37173076923077,2.52199890648567,1.58808025820034,52
"136","SSEO",1995,3.68045045045045,1.39075364233011,1.17930218448458,222
"137","SSEO",1996,3.30193717277487,1.86618733736715,1.36608467430359,1337
"138","SSEO",1997,3.0886398467433,1.43365361668174,1.19735275365355,522
"139","SSEO",1998,3.02368055555556,1.36611658449343,1.16880990092206,432
"140","SSEO",1999,3.0280487804878,1.53820963675692,1.24024579691161,328
"141","SSEO",2000,3.47608640406607,1.72020120372077,1.31156441081663,787
"142","SSEO",2001,3.26751131221719,1.24076605100782,1.11389678651472,221
"143","SSEO",2002,3.42202558635394,1.56494054635249,1.25097583763736,469
"144","SSEO",2003,3.37775757575758,1.45621140428677,1.20673584693866,165
"145","SSEO",2004,3.25435443037975,1.31816119385723,1.14811201276584,395
"146","SSEO",2005,NA,NA,NA,NA
"147","SSEO",2006,NA,NA,NA,NA
"148","SSEO",2007,NA,NA,NA,NA
"149","SSEO",2008,3.72977777777778,1.75960777157045,1.32650208125372,180
"150","SSEO",2009,3.53147058823529,1.73665285415942,1.31782125273476,170
"151","SSEO",2010,3.37733333333333,1.26270901669759,1.12370326007251,540
"152","SSEO",2011,3.50931726907631,1.701476548128,1.30440658850222,249
"153","SSEO",2012,3.68419871794872,1.55272282855141,1.24608299424693,312
"154","SSEO",2013,3.53490161001789,1.65316231109059,1.28575359656918,559
"155","SSEO",2014,NA,NA,NA,NA
"156","SSEO",2015,NA,NA,NA,NA
"157","SSEO",2016,3.31548387096774,1.49871973188102,1.22422209254735,155
"158","SSEO",2017,4.58709677419355,1.71449462365591,1.3093871175691,31
"159","SSEO",2018,4.97272727272727,0.804181818181818,0.896761851430924,11
"160","SSEO",2019,3.49276672694394,1.56212149802133,1.24984859003854,553
"161","SSEO",2020,NA,NA,NA,NA
"162","SSEO",2021,4.19195652173913,1.26475830917874,1.12461473811201,46
"163","SSEO",2022,4.17,2.32071818181818,1.52339035766221,89
"164","SSEO",2023,NA,NA,NA,NA
