"","Year","SEdist","cpue","upper","lower","cv","CPUE","no.stations"
"1","1998","EYKT",0.183779029199377,0.306589842396389,0.0811482037450904,0.115021244209846,"Bootstrap index",18
"2","1998","NSEO",0.147755232834033,0.23074151988482,0.0570522529783203,0.0886169729114793,"Bootstrap index",6
"3","1998","CSEO",0.198385379453376,0.319702670961522,0.0928222670317544,0.115755308127433,"Bootstrap index",18
"4","1998","SSEO",0.140144655243015,0.209845830165988,0.0786935282777169,0.066914439738914,"Bootstrap index",28
"5","1999","EYKT",0.107322254768166,0.184006801135918,0.0424871129457841,0.0722039225459868,"Bootstrap index",18
"6","1999","NSEO",0.0624643358137122,0.117735157779727,0.0158892467328372,0.0519621995137194,"Bootstrap index",6
"7","1999","CSEO",0.115415613952187,0.181017674879727,0.0622999126353105,0.060570286859396,"Bootstrap index",19
"8","1999","SSEO",0.110443687965984,0.167163891554423,0.0614319260179722,0.0539448803757402,"Bootstrap index",29
"9","2000","EYKT",0.0906125879138058,0.145644320920729,0.0439063640029296,0.0519071208764283,"Bootstrap index",17
"10","2000","NSEO",0.0554123555844474,0.118223292548196,0.0107189387830484,0.054849160084259,"Bootstrap index",4
"11","2000","CSEO",0.0798294157443606,0.121422855882929,0.0419516223337863,0.0405465477291542,"Bootstrap index",19
"12","2000","SSEO",0.199145553394758,0.292314942338635,0.124004977642308,0.0858724309675135,"Bootstrap index",28
"13","2001","EYKT",0.0674964053332912,0.127851840287183,0.0226877873244503,0.0536551290626189,"Bootstrap index",18
"14","2001","NSEO",0.0353590322463576,0.0754972441509101,0.00368995201691577,0.0366363735377522,"Bootstrap index",6
"15","2001","CSEO",0.0879254067677906,0.141390247387366,0.0411523871181388,0.0511417654434832,"Bootstrap index",17
"16","2001","SSEO",0.133924232236269,0.226936475099939,0.0640938217340383,0.0830829864111738,"Bootstrap index",28
"17","2002","EYKT",0.0293084496875827,0.0531560769268925,0.0100041108897195,0.0220163092026393,"Bootstrap index",18
"18","2002","NSEO",0.0673335634985638,0.158145701137937,0.00763190231333154,0.0767927545023497,"Bootstrap index",6
"19","2002","CSEO",0.0779689948480532,0.124912318046901,0.0384578767802377,0.0441094088095219,"Bootstrap index",19
"20","2002","SSEO",0.172749957206765,0.269938390665816,0.0881295071188613,0.0927596344627321,"Bootstrap index",28
"21","2003","EYKT",0.0643926402460774,0.104524801139128,0.0277136433683559,0.0391893662095775,"Bootstrap index",17
"22","2003","NSEO",0.0951012211086765,0.183325880386525,0.0277584005867738,0.0793711631631384,"Bootstrap index",6
"23","2003","CSEO",0.0904113399290285,0.14640449478744,0.0400219028090239,0.0542768326420493,"Bootstrap index",18
"24","2003","SSEO",0.163942648694231,0.266138754547327,0.0775726171565411,0.0962072129544828,"Bootstrap index",29
"25","2004","EYKT",0.0829343534190874,0.145183473008054,0.0332180362513099,0.0571252228350735,"Bootstrap index",17
"26","2004","NSEO",0.0721202277357475,0.176852780156258,0.0101453342509807,0.0850548193394274,"Bootstrap index",6
"27","2004","CSEO",0.0868910560447319,0.140506022633123,0.0425759630994505,0.0499643160886083,"Bootstrap index",19
"28","2004","SSEO",0.0832250801400455,0.135216035643837,0.0405798819617286,0.048283751878627,"Bootstrap index",29
"29","2005","EYKT",0.0484904534713555,0.0881748266869797,0.019544066776469,0.0350156938318933,"Bootstrap index",18
"30","2005","NSEO",0.0589072628367532,0.116647034609646,0.00562606958013539,0.0566433495048522,"Bootstrap index",5
"31","2005","CSEO",0.138353616235769,0.197667366409128,0.0802844037288748,0.0598892666735988,"Bootstrap index",19
"32","2005","SSEO",0.162386151490015,0.241328575949625,0.0901040549467164,0.0771553678586267,"Bootstrap index",29
"33","2006","EYKT",0.0509957230883131,0.0936938246254484,0.0177010673077258,0.0387718149580217,"Bootstrap index",18
"34","2006","NSEO",0.121237925696865,0.266729072185124,0.0208803087746787,0.12543304255635,"Bootstrap index",6
"35","2006","CSEO",0.102804755787666,0.150364954681394,0.0596643194602572,0.0462758342964981,"Bootstrap index",19
"36","2006","SSEO",0.104617755015915,0.153584728819115,0.058328818217893,0.0485999543883785,"Bootstrap index",28
"37","2007","EYKT",0.0406083141377171,0.0770757241194735,0.0100395195273403,0.034202145200068,"Bootstrap index",18
"38","2007","NSEO",0.0233430046282862,0.0415285294437029,0.00686286707967483,0.0176865624306266,"Bootstrap index",6
"39","2007","CSEO",0.0852801585815815,0.159392637087333,0.0316819721652546,0.0651585025112645,"Bootstrap index",19
"40","2007","SSEO",0.114693119446349,0.174644878981044,0.0579311295198598,0.0595478313577471,"Bootstrap index",29
"41","2008","EYKT",0.0619921039056555,0.111198457495876,0.0239845761680598,0.0444968782284774,"Bootstrap index",18
"42","2008","NSEO",0.109062168644582,0.236640599258473,0.0153047172881323,0.112926470393031,"Bootstrap index",5
"43","2008","CSEO",0.0858949006723285,0.139214061512929,0.0454580216370276,0.0478347142223989,"Bootstrap index",19
"44","2008","SSEO",0.0598626037804515,0.0818449162309048,0.0386289051158685,0.0220489852627736,"Bootstrap index",29
"45","2009","EYKT",0.0950096500660876,0.164275295342254,0.0462177303629652,0.0602334515200451,"Bootstrap index",17
"46","2009","NSEO",0.060662486429289,0.1444408641086,0.00660592381836815,0.0703239491276691,"Bootstrap index",5
"47","2009","CSEO",0.102048757142875,0.173222876658424,0.0459283914229572,0.0649461659364627,"Bootstrap index",19
"48","2009","SSEO",0.0880027969238925,0.142293933990322,0.0469802863859526,0.0486294120430458,"Bootstrap index",29
"49","2010","EYKT",0.0818677881213996,0.157402566017809,0.0263238915623288,0.0668768747221837,"Bootstrap index",16
"50","2010","NSEO",0.046041604959233,0.0807791366762678,0.012149876172939,0.035014928828229,"Bootstrap index",6
"51","2010","CSEO",0.16752696917587,0.305215731992073,0.0634132511398907,0.123368612679685,"Bootstrap index",18
"52","2010","SSEO",0.0998259681997331,0.144102115687162,0.0603883823382869,0.0427110884433034,"Bootstrap index",30
"53","2011","EYKT",0.069186662845816,0.111371852954094,0.0317831187320565,0.04060649705206,"Bootstrap index",18
"54","2011","NSEO",0.065717287517055,0.130461914575151,0.0198143536865556,0.0564528371880587,"Bootstrap index",5
"55","2011","CSEO",0.0967725144533614,0.188631211963943,0.0345018467349898,0.0786374312392617,"Bootstrap index",19
"56","2011","SSEO",0.0847037019923434,0.124792072941316,0.0498247702481695,0.0382486238230338,"Bootstrap index",29
"57","2012","EYKT",0.0876351927480455,0.14469420307566,0.0397410816265425,0.0535475109434275,"Bootstrap index",18
"58","2012","NSEO",0.0725503467432979,0.164035628896077,0.00861062255651862,0.0792984726222237,"Bootstrap index",6
"59","2012","CSEO",0.149595737290255,0.238697365030021,0.080695084217696,0.0806134085777166,"Bootstrap index",16
"60","2012","SSEO",0.0935981827545158,0.166547921011962,0.0361920381805427,0.0665081034854182,"Bootstrap index",29
"61","2013","EYKT",0.0559421673364753,0.0905270516332601,0.0250041017634507,0.0334300764641885,"Bootstrap index",17
"62","2013","NSEO",0.130207089144885,0.206498621242239,0.0510950012114202,0.0792875612402137,"Bootstrap index",6
"63","2013","CSEO",0.094114191823426,0.146108772237543,0.0487491719395023,0.0496732654581841,"Bootstrap index",18
"64","2013","SSEO",0.0665023665353446,0.103345022608075,0.0339392146493145,0.0354111265095719,"Bootstrap index",29
"65","2014","EYKT",0.0677869738216699,0.12229015286224,0.027413359063202,0.0484065274484886,"Bootstrap index",17
"66","2014","NSEO",0.0776956179970543,0.141190034277465,0.0197502272572023,0.0619590852144195,"Bootstrap index",5
"67","2014","CSEO",0.120394723254444,0.200868715647014,0.0550347727580925,0.0744050729025111,"Bootstrap index",17
"68","2014","SSEO",0.123420795081248,0.173847658985432,0.0822502111906387,0.0467333917320374,"Bootstrap index",30
"69","2015","EYKT",0.0756796272807075,0.117963332260534,0.0443468747957184,0.0375594170738857,"Bootstrap index",17
"70","2015","NSEO",0.0738911204128042,0.140802855333317,0.0198248861099365,0.0617234536853985,"Bootstrap index",4
"71","2015","CSEO",0.108161855616811,0.175680960892993,0.0518063677369044,0.0632013230388209,"Bootstrap index",17
"72","2015","SSEO",0.087886072331718,0.120807567192718,0.0582077635181619,0.0319386753441615,"Bootstrap index",29
"73","2016","EYKT",0.0557220608043532,0.0895069663006345,0.0268276861687468,0.0319792245570855,"Bootstrap index",18
"74","2016","NSEO",0.0612508861257915,0.126795789393074,0.0136762527276,0.0577140493191196,"Bootstrap index",6
"75","2016","CSEO",0.148514550611568,0.225620305850465,0.0784825110342722,0.0750703034776493,"Bootstrap index",18
"76","2016","SSEO",0.0598877429791233,0.0880219399074478,0.0356633362417199,0.0267135732988408,"Bootstrap index",29
"77","2017","EYKT",0.19452096751797,0.324365990096095,0.0846467627380512,0.1223057282439,"Bootstrap index",18
"78","2017","NSEO",0.0549650614290732,0.109930122858146,0,0.0560867973766053,"Bootstrap index",5
"79","2017","CSEO",0.105444044940383,0.186816264532671,0.0436556771728266,0.0730411159999206,"Bootstrap index",18
"80","2017","SSEO",0.102354215060853,0.15402412595232,0.0607354239515882,0.0475962765309857,"Bootstrap index",29
"81","2018","EYKT",0.0908394582667918,0.131722616773581,0.0480277365580756,0.0427014694977067,"Bootstrap index",16
"82","2018","NSEO",0.0734340118119981,0.181205130111284,0,0.092451596995553,"Bootstrap index",5
"83","2018","CSEO",0.125328399937341,0.189602974736913,0.0659714986761285,0.0630772837044818,"Bootstrap index",20
"84","2018","SSEO",0.101354860474353,0.1512278450684,0.059003271116458,0.0470533540571133,"Bootstrap index",32
"85","2019","EYKT",0.0549682963954013,0.0985979361436227,0.0189627630058156,0.0406301903764322,"Bootstrap index",16
"86","2019","NSEO",0.119267340912592,0.196088736544611,0.0459359997980022,0.0766085391564331,"Bootstrap index",7
"87","2019","CSEO",0.124809760928908,0.189281980459659,0.0722054795024289,0.0597329086516482,"Bootstrap index",19
"88","2019","SSEO",0.105642587458192,0.1762979381897,0.0538251705668242,0.0624861059300385,"Bootstrap index",30
"89","2020","EYKT",0.117798612018313,0.199943514975965,0.0418222838678504,0.08067409750414,"Bootstrap index",18
"90","2020","NSEO",0.0681213003663235,0.136457748026392,0.0179238236354265,0.0604764920362069,"Bootstrap index",6
"91","2020","CSEO",0.154787717105014,0.273135301283986,0.0606307414273732,0.108420693804394,"Bootstrap index",23
"92","2020","SSEO",0.126012314758488,0.201348227750405,0.0591949810698149,0.0725271666737703,"Bootstrap index",29
"93","2021","EYKT",0.131228993699474,0.231165832919464,0.0448152259848856,0.095076840272744,"Bootstrap index",16
"94","2021","NSEO",0.279435667217787,0.598413951829709,0.0108498483599503,0.299777603811102,"Bootstrap index",7
"95","2021","CSEO",0.201972714489457,0.331580788371651,0.0949353793607615,0.120737453576985,"Bootstrap index",19
"96","2021","SSEO",0.115997212131202,0.16250227756577,0.0735071334086306,0.0454056857944591,"Bootstrap index",31
