"","Year","SEdist","cpue","upper","lower","cv","CPUE","no.stations"
"97","2022","EYKT",0.147325605302905,0.311487640493211,0.0318585766536022,0.142667889714086,"Bootstrap index",11
"98","2022","NSEO",0.0764402161612312,0.145595117185298,0.0072853151371648,0.0705662255347616,"Bootstrap index",4
"99","2022","CSEO",0.219144331782656,0.358126868320007,0.111567574111688,0.12579555826955,"Bootstrap index",21
"100","2022","SSEO",0.292643621938046,0.472623657488573,0.147077988697742,0.166094728974914,"Bootstrap index",15
"101","1998","EYKT",0.145993248545452,0.240293730611897,0.0886998947770253,0.322961791062162,"Tweedie index",18
"102","1999","EYKT",0.082752898550759,0.148808929126161,0.0460190276132313,0.399116113950287,"Tweedie index",18
"103","2000","EYKT",0.0644128576032551,0.121230460118783,0.034224205868327,0.441042399217017,"Tweedie index",17
"104","2001","EYKT",0.0553057768359059,0.109162437068363,0.0280199767755964,0.486899048468764,"Tweedie index",18
"105","2002","EYKT",0.0206448453488898,0.0505636256098347,0.00842917481369607,0.724606548398143,"Tweedie index",18
"106","2003","EYKT",0.0469483947982003,0.0944327438496886,0.023340969289594,0.505707908178669,"Tweedie index",17
"107","2004","EYKT",0.0621890925892817,0.118495071186057,0.0326383468811598,0.452699792298301,"Tweedie index",17
"108","2005","EYKT",0.0427912631862414,0.0877217975925716,0.0208738563883378,0.524996588798723,"Tweedie index",18
"109","2006","EYKT",0.0394198860740815,0.0830866425129688,0.0187024938196416,0.553867106018833,"Tweedie index",18
"110","2007","EYKT",0.0335452664265514,0.0738868774867841,0.0152298342805134,0.601301097854775,"Tweedie index",18
"111","2008","EYKT",0.0468296906005835,0.0938236334875457,0.0233738541157381,0.501753719534255,"Tweedie index",18
"112","2009","EYKT",0.0845178229812531,0.152559432471232,0.0468228170869569,0.402528171514018,"Tweedie index",17
"113","2010","EYKT",0.117018484788693,0.19909170868352,0.0687789856884936,0.350684868476255,"Tweedie index",16
"114","2011","EYKT",0.0586868489411736,0.11349223806582,0.0303469761222498,0.466930752915205,"Tweedie index",18
"115","2012","EYKT",0.067668128561789,0.127653208614525,0.0358704310902358,0.443229932079194,"Tweedie index",18
"116","2013","EYKT",0.0436147647665437,0.0892875577624615,0.0213047344256144,0.52359325151001,"Tweedie index",17
"117","2014","EYKT",0.0667263522069367,0.125629799277035,0.035440684490993,0.44138069234942,"Tweedie index",17
"118","2015","EYKT",0.0573058685979134,0.111373859185661,0.0294859368237112,0.471749158599409,"Tweedie index",17
"119","2016","EYKT",0.0488591223119786,0.0972251951134581,0.0245534486231794,0.494954376100426,"Tweedie index",18
"120","2017","EYKT",0.13960795125709,0.231009642928113,0.0843704176464496,0.327351310752728,"Tweedie index",18
"121","2018","EYKT",0.0761156853219258,0.143972864103034,0.0402408994786701,0.445750297682478,"Tweedie index",16
"122","2019","EYKT",0.0492035396972222,0.0985378149433901,0.0245691293248889,0.501328517722,"Tweedie index",16
"123","2020","EYKT",0.083348131896143,0.14991284217996,0.0463396663658579,0.399317349828312,"Tweedie index",18
"124","2021","EYKT",0.0887841146744784,0.159093296213328,0.0495471475300955,0.395955863256809,"Tweedie index",16
"125","2022","EYKT",0.116519569137701,0.23740015228155,0.0571895589010985,0.518713654875407,"Tweedie index",11
"126","1998","NSEO",0.193084080725651,0.48414558944389,0.0770046511680356,0.753717001485487,"Tweedie index",6
"127","1999","NSEO",0.076548142877886,0.257806167044396,0.0227287742773204,1.18394788790411,"Tweedie index",6
"128","2000","NSEO",0.0727986321126636,0.306809406851281,0.0172733974875934,1.60724705909625,"Tweedie index",4
"129","2001","NSEO",0.0470097007869283,0.200366983002357,0.0110293219719265,1.63112378560461,"Tweedie index",6
"130","2002","NSEO",0.0895596366222139,0.287426288381591,0.0279060365600738,1.10466421717425,"Tweedie index",6
"131","2003","NSEO",0.115737917438558,0.331664748581257,0.0403879688459951,0.932826665285933,"Tweedie index",6
"132","2004","NSEO",0.078729553406821,0.255541045582788,0.0242557612046296,1.12290419877225,"Tweedie index",6
"133","2005","NSEO",0.0932417966465393,0.291361680473472,0.0298393138992969,1.06239846802805,"Tweedie index",5
"134","2006","NSEO",0.165405452937964,0.445661846859924,0.0613895132697147,0.847180032290328,"Tweedie index",6
"135","2007","NSEO",0.0310317116203246,0.160962556449843,0.00598255362816046,2.09351721263771,"Tweedie index",6
"136","2008","NSEO",0.133171861890839,0.387884540116752,0.0457217108836937,0.956330694072227,"Tweedie index",5
"137","2009","NSEO",0.0865424377824102,0.287491391332288,0.0260515401960879,1.16098505368612,"Tweedie index",5
"138","2010","NSEO",0.0563294896378648,0.213081570909704,0.0148910644375102,1.39138559819713,"Tweedie index",6
"139","2011","NSEO",0.0717596464738089,0.252592785740234,0.0203863576188661,1.25999184884799,"Tweedie index",5
"140","2012","NSEO",0.083360368906902,0.260419131845482,0.026683719644753,1.06200803367558,"Tweedie index",6
"141","2013","NSEO",0.179430139515853,0.473360450831669,0.0680140787218558,0.819066161651866,"Tweedie index",6
"142","2014","NSEO",0.0904695637127371,0.288796120879995,0.0283408999173297,1.09609546585741,"Tweedie index",5
"143","2015","NSEO",0.0898046555953854,0.291963673211446,0.027622875400547,1.12554864931996,"Tweedie index",4
"144","2016","NSEO",0.0830027014306899,0.279451877700492,0.024653434077749,1.18339025648366,"Tweedie index",6
"145","2017","NSEO",0.0655588811353379,0.24765476620733,0.0173546706228912,1.3887964675303,"Tweedie index",5
"146","2018","NSEO",0.119732151521382,0.379337516242577,0.037791643309996,1.08410882717176,"Tweedie index",5
"147","2019","NSEO",0.193726878577663,0.466680254893819,0.0804193087020224,0.704479879922115,"Tweedie index",7
"148","2020","NSEO",0.106425530031335,0.346655967182783,0.0326732972015406,1.12863162194596,"Tweedie index",6
"149","2021","NSEO",0.394503713486434,0.818262871799531,0.190199488841913,0.537078795238854,"Tweedie index",7
"150","2022","NSEO",0.200452505382687,0.566323442783328,0.0709509864481618,0.912612533083961,"Tweedie index",4
"151","1998","CSEO",0.19701140046454,0.326287498144416,0.118954885288986,0.328092936183011,"Tweedie index",18
"152","1999","CSEO",0.119932672811541,0.218448398759458,0.0658455090053505,0.410712625836,"Tweedie index",19
"153","2000","CSEO",0.0913999692426597,0.172408651787254,0.0484543802817252,0.443154867642912,"Tweedie index",19
"154","2001","CSEO",0.116466230862429,0.217394538663497,0.0623952331769329,0.433294299359121,"Tweedie index",17
"155","2002","CSEO",0.0916560791302789,0.174840049076038,0.048048698715947,0.453783157293487,"Tweedie index",19
"156","2003","CSEO",0.0985013849771976,0.185745653660076,0.0522355309598909,0.442858081148174,"Tweedie index",18
"157","2004","CSEO",0.101301450931136,0.188527052336264,0.0544324214142472,0.430524936234246,"Tweedie index",19
"158","2005","CSEO",0.152510098350852,0.262744283033432,0.0885245906417194,0.361399624925112,"Tweedie index",19
"159","2006","CSEO",0.123944380668436,0.223002013700768,0.0688882097714856,0.399605179751235,"Tweedie index",19
"160","2007","CSEO",0.0993957293026699,0.18659384253411,0.052946607827124,0.438641146069329,"Tweedie index",19
"161","2008","CSEO",0.104557793710395,0.196366027463735,0.055673236184424,0.439031039654636,"Tweedie index",19
"162","2009","CSEO",0.126024200361263,0.225854305860284,0.0703201075410114,0.396075139587664,"Tweedie index",19
"163","2010","CSEO",0.188158654819842,0.320116413995177,0.110596263845895,0.350655565915058,"Tweedie index",18
"164","2011","CSEO",0.108353043210215,0.198672220222891,0.0590942304854856,0.416781911872326,"Tweedie index",19
"165","2012","CSEO",0.146824869431507,0.255968118511197,0.0842196380118176,0.371678345440671,"Tweedie index",16
"166","2013","CSEO",0.11070627004123,0.204769603768187,0.0598520385882871,0.424832910059768,"Tweedie index",18
"167","2014","CSEO",0.139778853768361,0.249114815689277,0.0784302126179722,0.391103371408757,"Tweedie index",17
"168","2015","CSEO",0.109571493301694,0.202543867846558,0.0592756140781249,0.424254392010852,"Tweedie index",17
"169","2016","CSEO",0.149437196709077,0.258649642839876,0.0863387071216339,0.36541252290557,"Tweedie index",18
"170","2017","CSEO",0.113197513295396,0.207977583623821,0.0616108562903498,0.418649083222746,"Tweedie index",18
"171","2018","CSEO",0.12238721913344,0.207238125041758,0.0722773929951277,0.346649374457168,"Tweedie index",20
"172","2019","CSEO",0.124340319758046,0.216419156389897,0.0714378309916329,0.370269421902028,"Tweedie index",19
"173","2020","CSEO",0.176242484041383,0.28371391365828,0.109481458912478,0.304896490200573,"Tweedie index",23
"174","2021","CSEO",0.193373072562464,0.31157549763011,0.120013112316809,0.305633104706096,"Tweedie index",19
"175","2022","CSEO",0.253415432702697,0.389594271268083,0.16483656528847,0.268686948369771,"Tweedie index",21
"176","1998","SSEO",0.144932864207997,0.225884005617904,0.0929925740871877,0.279271171008295,"Tweedie index",28
"177","1999","SSEO",0.12610832687497,0.201743193293337,0.0788294754712275,0.299880540376035,"Tweedie index",29
"178","2000","SSEO",0.213450901399765,0.317832907476771,0.143349811289449,0.244510576887919,"Tweedie index",28
"179","2001","SSEO",0.154022943308005,0.239807067296404,0.0989256377333497,0.278478394666347,"Tweedie index",28
"180","2002","SSEO",0.193465886631192,0.292093010018539,0.128140859268142,0.254895385188399,"Tweedie index",28
"181","2003","SSEO",0.185173999727587,0.281630929131161,0.121752998794898,0.260449440919012,"Tweedie index",29
"182","2004","SSEO",0.100085561021137,0.16550989249561,0.0605227843114058,0.326842008012803,"Tweedie index",29
"183","2005","SSEO",0.185041250209914,0.282564290263017,0.1211768983525,0.263517026453483,"Tweedie index",29
"184","2006","SSEO",0.110912410865312,0.179273770010178,0.068618866459145,0.308177230174362,"Tweedie index",28
"185","2007","SSEO",0.128983790916704,0.206318542258454,0.0806365639129189,0.299784766721933,"Tweedie index",29
"186","2008","SSEO",0.0695048586834593,0.120640131135257,0.0400440992159682,0.367853941583273,"Tweedie index",29
"187","2009","SSEO",0.0998561771154299,0.164246142188157,0.0607092256491798,0.322413529802443,"Tweedie index",29
"188","2010","SSEO",0.107371144871866,0.173350276046532,0.0665044383777079,0.307247963376957,"Tweedie index",30
"189","2011","SSEO",0.0922037016989833,0.153194026568637,0.055495131222927,0.330736856253172,"Tweedie index",29
"190","2012","SSEO",0.1047642091779,0.172261387501707,0.063714449789637,0.322138537833999,"Tweedie index",29
"191","2013","SSEO",0.0813520383739729,0.138118496355819,0.047916494330714,0.348893888318402,"Tweedie index",29
"192","2014","SSEO",0.132254611634134,0.20949309414065,0.08349335986585,0.292006764649487,"Tweedie index",30
"193","2015","SSEO",0.105518788089091,0.170380220313145,0.0653492208152252,0.307345418757517,"Tweedie index",29
"194","2016","SSEO",0.0679697857623877,0.118827975697249,0.0388788225119267,0.374123512119445,"Tweedie index",29
"195","2017","SSEO",0.123622134195753,0.198796378370224,0.0768748011830064,0.304048480733373,"Tweedie index",29
"196","2018","SSEO",0.11218635683975,0.178833983570914,0.0703768848049229,0.297039803272895,"Tweedie index",32
"197","2019","SSEO",0.118555182136505,0.189022293529327,0.0743580608878766,0.29719119030869,"Tweedie index",30
"198","2020","SSEO",0.14059830846834,0.220605937454746,0.0896072180659845,0.284525574517929,"Tweedie index",29
"199","2021","SSEO",0.127321048826635,0.202534520576131,0.0800389455990087,0.295369353467667,"Tweedie index",31
"200","2022","SSEO",0.294797647350136,0.467890360762074,0.185739353000622,0.293578858189382,"Tweedie index",15
