"","Year","SEO_harvest_mt","var"
"111",1888,90.9841551226609,128.527279672872
"211",1889,80.064451849121,99.527535859352
"311",1890,85.5243034858909,113.564573541591
"411",1891,132.833657161444,273.955511427481
"511",1892,171.048606971782,454.258294166365
"611",1893,198.34385350858,610.803160730889
"710",1894,232.916227796371,842.293168242673
"89",1895,263.850038208665,1080.88155377041
"91",1896,334.81607454552,1740.50944009099
"101",1897,407.603398643649,2579.52282774318
"112",1898,480.386711094726,3582.99129093667
"121",1899,553.174035192855,4751.02544737119
"131",1900,829.761052789282,10689.8072565852
"141",1901,1106.34807038571,19004.1017894848
"151",1902,1382.93508798214,29693.9090460699
"161",1903,1559.43953494364,37757.2941211161
"171",1904,1737.76526966641,46886.305082029
"181",1905,1361.09969308211,28763.6274164746
"191",1906,2227.25440792046,77019.9862388323
"201",1907,3093.40511111175,148572.14037858
"212",1908,3131.62006092209,152265.64109781
"221",1909,3169.83099908538,156004.095180752
"231",1910,3208.04594889571,159788.287604641
"241",1911,3522.84390465543,192686.18711016
"251",1912,3712.0226625868,210790.568288877
"261",1913,3787.42218185713,211330.824976919
"271",1914,3490.05501164777,240002.63622721
"281",1915,3511.40108708655,254341.42032144
"291",1916,2501.17666176709,142746.861507904
"301",1917,2478.06414515307,130009.437495457
"312",1918,1992.46326567734,71307.4607618215
"321",1919,2082.5321949916,84716.8270234077
"331",1920,2462.49116623901,109610.018890003
"341",1921,2357.92074128893,109405.583633371
"351",1922,2070.56629116339,78336.2710480176
"361",1923,2498.3218884973,168039.083019081
"371",1924,2632.5672077336,207722.609025532
"381",1925,2202.43996102274,158563.235082545
"391",1926,2014.38116084663,139460.049690281
"401",1927,2114.25691281482,159322.096958868
"412",1928,2140.67094458753,159630.834663008
"42",1929,4282.11949059496,136524.821243666
"43",1930,3599.01286677045,90782.1345709959
"44",1931,3257.99065696338,74025.1489071143
"45",1932,3356.64423862957,95230.0754699285
"46",1933,3575.32198922029,144182.308860406
"47",1934,3413.6740069556,125053.552225084
"48",1935,3705.14770774442,201574.096153778
"49",1936,3909.78100581229,231786.765505982
"50",1937,3195.94828889377,169590.0819016
"51",1938,3039.46342072358,174491.723772994
"52",1939,2999.2339503993,179418.096121993
"53",1940,2921.01078686164,124714.934262371
"54",1941,2578.7961009534,102595.320082821
"55",1942,3137.27524823046,82633.2905920364
"56",1943,2644.08974356456,86159.0796737047
"57",1944,3461.6391175122,48476.2021597911
"58",1945,2424.98590716845,38064.0929946027
"59",1946,3506.9508153389,103586.656027538
"60",1947,3597.94964336486,168452.043528192
"61",1948,3174.53056810336,73302.7452169849
"62",1949,3578.12352228366,105929.85957091
"63",1950,3106.29220238101,123964.093498473
"64",1951,3433.88731712037,114950.277899011
"65",1952,3733.83045682328,242256.426094306
"66",1953,3088.21041156388,192781.267930868
"67",1954,3413.46056114338,231838.025917282
"68",1955,2697.62078953794,144748.839980267
"69",1956,3502.82410470343,99448.3604314071
"70",1957,3563.68117872418,78195.6023421216
"71",1958,3796.10168956765,121354.003696254
"72",1959,4801.96551972912,196256.003467841
"73",1960,4245.35347249034,82817.0221430935
"74",1961,4009.32515793336,100087.303364523
"75",1962,4642.73870786958,87760.2527035376
"76",1963,3650.5602292281,77186.6373953208
"77",1964,2920.35108390929,81535.1859748355
"78",1965,4359.65239795676,118112.148948748
"79",1966,4540.93628441084,155346.09759107
"80",1967,2655.0214658096,65835.7222342396
"81",1968,2098.58675286831,33670.5410101534
"82",1969,3144.97125704728,137470.581358047
"83",1970,2857.25809052684,86409.2692470857
"84",1971,2214.16030916208,57665.1175886663
"85",1972,2139.15195302427,47985.188686054
"86",1973,1832.90507356726,36217.5960072992
"87",1974,1878.28935005041,21197.3801824011
"88",1975,2230.8877440058,47752.2512208049
"110",1976,1738.73959659169,31209.3857299522
"210",1977,1223.91295804421,19114.9307134548
"310",1978,1717.96606876321,27165.7200196204
"410",1979,1489.46320144046,32928.4948723152
"510",1980,1005.19754481065,36688.9452876795
"610",1981,1155.13699536478,51850.8123779848
"1",1982,781.397728217387,0
"2",1983,1261.34246505122,0
"3",1984,1357.7095211774,0
"4",1985,1713.44098578992,0
"5",1986,2238.38972122672,0
"6",1987,1945.97388486576,0
"7",1988,2380.97603355812,0
"8",1989,2283.3188631916,0
"9",1990,2646.02990922948,0
"10",1991,2075.51902049315,0
"11",1992,2360.03528591107,0
"12",1993,2988.74046998017,0
"13",1994,3105.99536914768,0
"14",1995,1827.7565946781,0
"15",1996,2259.38834822782,0
"16",1997,2740.98230364738,0
"17",1998,3697.71406303917,0
"18",1999,2606.36046722322,0
"19",2000,2297.95981680845,0
"20",2001,2601.28670328564,0
"21",2002,2795.90314858496,0
"22",2003,2681.01106186929,0
"23",2004,3194.49379034815,0
"24",2005,3250.43145470186,0
"25",2006,3031.91891547878,0
"26",2007,2870.54999254067,0
"27",2008,2220.33307452044,0
"28",2009,2032.16155572206,0
"29",2010,1938.87016316019,0
"30",2011,1292.13671382862,0
"31",2012,1219.4598598224,0
"32",2013,1224.27094729624,0
"33",2014,1050.44544923315,0
"34",2015,1112.95386423018,0
"35",2016,1161.42621304958,0
"36",2017,1207.65920563829,0
"37",2018,1147.91623769967,0
"38",2019,1172.221797749,0
"39",2020,1088.00487900946,0
"40",2021,1344.00497590224,0
"41",2022,1509.83872478,0
