"","Year","SEO_harvest_mt","var"
"111",1888,90.9266603982692,124.032883341208
"211",1889,80.0138575056727,96.0472148473125
"311",1890,85.4702589519709,109.593399452858
"411",1891,132.749716891865,264.375719116211
"511",1892,170.940517903942,438.373597811433
"611",1893,198.218516023423,589.444337203741
"710",1894,232.769043329961,812.839504124284
"810",1895,263.68330604297,1043.08482997299
"91",1896,334.604497508816,1679.64656909053
"101",1897,407.345825827431,2489.32098138062
"112",1898,480.083145034036,3457.69973450325
"121",1899,552.824473352651,4584.8895780316
"131",1900,829.236710028977,10316.0015505711
"141",1901,1105.6489467053,18339.5583121264
"151",1902,1382.06118338163,28655.5598626975
"161",1903,1558.45409361986,36436.981074552
"171",1904,1736.66714071086,45246.7649151301
"181",1905,1360.23958670845,27757.8087149898
"191",1906,2225.84696089673,74326.7187512015
"201",1907,3091.450325973,143376.806871138
"212",1908,3129.64112698508,146941.151693458
"221",1909,3167.82791888515,150548.877931236
"231",1910,3206.01871989723,154200.743112289
"241",1911,3520.61774847362,185948.25493954
"251",1912,3707.36440373954,203404.717024469
"261",1913,3756.57909087291,201695.329140024
"271",1914,3429.04083359428,222014.844069557
"281",1915,3446.50125534221,234547.05405318
"291",1916,2449.68801329181,130844.625686629
"301",1917,2430.89254007271,119692.739449512
"312",1918,1961.94772720382,66439.2041357301
"321",1919,2046.52790830022,78416.0033329875
"331",1920,2424.39134750741,102072.034482459
"341",1921,2316.76778694863,101215.252053699
"351",1922,2037.98466143223,72883.5467586506
"361",1923,2438.66044120694,152803.201075356
"371",1924,2564.16234177925,188100.45428854
"381",1925,2141.45964897104,143167.096478513
"391",1926,1956.61204767929,125727.872834183
"401",1927,2052.09539297522,143486.18738741
"412",1928,2078.70786991513,143856.611855237
"43",1929,4174.22447352992,146892.88824363
"44",1930,3511.03047279435,97676.3772812788
"45",1931,3178.5422443111,79646.8204578241
"46",1932,3266.53223547065,102462.106934168
"47",1933,3464.44241038079,155131.906339139
"48",1934,3310.411278478,134550.459792823
"49",1935,3574.04461396448,216882.182370932
"50",1936,3769.19571056142,249389.284173131
"51",1937,3075.69532073138,182469.21490956
"52",1938,2917.48500278533,187743.100823242
"53",1939,2875.54562727777,193043.595314398
"54",1940,2817.88795971721,134186.126259177
"55",1941,2485.26428742792,110386.68829566
"56",1942,3053.33444832393,88908.6878822962
"57",1943,2558.37686010445,92702.234995753
"58",1944,3397.34668262083,52157.6170652863
"59",1945,2368.01497538003,40954.783953696
"60",1946,3412.96820862874,111453.308993733
"61",1947,3478.10083460943,181244.750800549
"62",1948,3095.47077026547,78869.5554626803
"63",1949,3483.08388327838,113974.461800184
"64",1950,3003.48026708808,133378.264601382
"65",1951,3334.88380700839,123679.915279705
"66",1952,3590.10515387221,260654.039319777
"67",1953,2959.99861200294,207421.602809445
"68",1954,3272.85972129994,249444.437439767
"69",1955,2586.52358640239,155741.461376225
"70",1956,3410.73793828745,107000.739951825
"71",1957,3482.02543392622,84133.9894925333
"72",1958,3694.377875755,130569.957466236
"73",1959,4672.60342031761,211160.219232885
"74",1960,4161.31940502836,89106.3725080691
"75",1961,3916.94364425845,107688.20595261
"76",1962,4556.23305018813,94425.0054691908
"77",1963,3569.43300057769,83048.4009979135
"78",1964,2836.96988933547,87727.1902077714
"79",1965,4259.29650829073,127081.907434091
"80",1966,4425.84412098344,167143.50361098
"81",1967,2580.09652959673,70835.4664045493
"82",1968,2045.00454226131,36227.5736576837
"83",1969,3036.70316976043,147910.471958602
"84",1970,2771.42085032612,92971.4246471849
"85",1971,2144.03865205498,62044.3637746255
"86",1972,2075.18595457698,51629.3146901816
"87",1973,1777.33315511063,38968.0589528694
"88",1974,1835.77488935701,22807.1670032356
"89",1975,2167.07719148427,51378.6873189907
"110",1976,1708.8172076715,27672.9313241599
"210",1977,1200.49548564195,16948.945085832
"310",1978,1690.04935695866,24087.468781958
"410",1979,1458.7277502396,29197.2416597424
"510",1980,972.754525387959,32531.5811111086
"610",1981,1116.56861197849,45975.3992742256
"1",1982,761.066010057387,0
"2",1983,1221.69053443122,0
"3",1984,1289.4464941274,0
"4",1985,1640.15354230992,0
"5",1986,2222.34760369672,0
"6",1987,1926.10709645576,0
"7",1988,2308.56220441812,0
"8",1989,2194.63566793159,0
"9",1990,2584.20831376948,0
"10",1991,1993.11895391315,0
"11",1992,2188.47348662107,0
"12",1993,2790.89675891017,0
"13",1994,2950.45346147768,0
"14",1995,1713.8909897981,0
"15",1996,2079.64968200782,0
"16",1997,2694.54693457738,0
"17",1998,2624.35728422917,0
"18",1999,2549.67850005322,0
"19",2000,2264.89401298845,0
"20",2001,2599.92275815564,0
"21",2002,2773.75298811496,0
"22",2003,2660.45799178929,0
"23",2004,3193.09537237815,0
"24",2005,3138.88324113186,0
"25",2006,2929.77498337878,0
"26",2007,3060.11375640273,0
"27",2008,2484.79660421293,0
"28",2009,2031.9881421416,0
"29",2010,1938.49059814101,0
"30",2011,1288.81401113438,0
"31",2012,1215.13479494073,0
"32",2013,1223.23701964464,0
"33",2014,1050.06310484125,0
"34",2015,1112.67944286984,0
"35",2016,1161.42730266348,0
"36",2017,1347.93792016673,0
"37",2018,1147.68539622328,0
"38",2019,1171.77345977689,0
"39",2020,1092.81408122719,0
"40",2021,1345.51118245974,0
"41",2022,1478.89528489924,0
"42",2023,1215.4212147091,0
