"Year","Mgt.Area","HA.lbs","HA.mt"
1977,"CSEO",188980,85.7194382
1977,"EYKT",288306,130.77271854
1977,"NSEI",585026,265.36194334
1977,"NSEO",99992,45.35537128
1977,"SSEI",236583,107.31168297
1977,"SSEO",132589,60.14104451
1978,"CSEO",373593,169.45804887
1978,"EYKT",260307,118.07265213
1978,"NSEI",932136,422.80756824
1978,"NSEO",171905,77.97438895
1978,"SSEI",225760,102.4024784
1978,"SSEO",111397,50.52856523
1979,"CSEO",629297,285.44282623
1979,"EYKT",833749,378.18020891
1979,"NSEI",1367915,620.47256485
1979,"NSEO",389025,176.45784975
1979,"SSEI",304464,138.10182576
1979,"SSEO",245197,111.21890723
1980,"CSEO",277691,125.95786069
1980,"EYKT",804503,364.91451577
1980,"NSEI",1117645,506.95259555
1980,"NSEO",343611,155.85851349
1980,"SSEI",292777,132.80071943
1980,"SSEO",125060,56.7259654
1981,"CSEO",319080,144.7314972
1981,"EYKT",876449,397.54850191
1981,"NSEI",1409324,639.25527316
1981,"NSEO",385309,174.77230931
1981,"SSEI",383136,173.78665824
1981,"SSEO",121952,55.31620768
1982,"CSEO",323696,146.82526864
1982,"EYKT",601189,272.69331851
1982,"NSEI",1127025,511.20726975
1982,"NSEO",363589,164.92033451
1982,"SSEI",261686,118.69815274
1982,"SSEO",148917,67.54726203
1983,"CSEO",821577,372.65911143
1983,"EYKT",653771,296.54398789
1983,"NSEI",2200015,997.90480385
1983,"NSEO",246596,111.85347964
1983,"SSEI",458711,208.06672249
1983,"SSEO",268093,121.60430387
1984,"CSEO",851673,386.31035607
1984,"EYKT",643530,291.8987727
1984,"NSEI",1712909,776.95839331
1984,"NSEO",597655,271.09033145
1984,"SSEI",384999,174.63169641
1984,"SSEO",321504,145.83099936
1985,"CSEO",1445896,655.84396664
1985,"EYKT",518656,235.25717504
1985,"NSEI",2998805,1360.22795995
1985,"NSEO",555405,251.92615395
1985,"SSEI",664868,301.57747612
1985,"SSEO",299383,135.79713497
1986,"CSEO",1354588,614.42757092
1986,"EYKT",1220609,553.65603631
1986,"NSEI",4153253,1883.87402827
1986,"NSEO",1159128,525.76886952
1986,"SSEI",743207,337.11126313
1986,"SSEO",613457,278.25796063
1987,"CSEO",1505718,682.97862762
1987,"EYKT",526942,239.01562178
1987,"NSEI",4302905,1951.75467895
1987,"NSEO",829705,376.34589095
1987,"SSEI",893177,405.13615543
1987,"SSEO",657026,298.02042334
1988,"CSEO",2190267,993.48320853
1988,"EYKT",1000218,453.68888262
1988,"NSEI",4016062,1821.64556258
1988,"NSEO",1176007,533.42501513
1988,"SSEI",1045493,474.22516987
1988,"SSEO",799202,362.51003518
1989,"CSEO",1953260,885.9792034
1989,"EYKT",1044505,473.77702295
1989,"NSEI",2505277,1136.36859443
1989,"NSEO",1005339,456.01171701
1989,"SSEI",705668,320.08394812
1989,"SSEO",986111,447.29008849
1990,"CSEO",2007095,910.39822105
1990,"EYKT",1301877,590.51838843
1990,"NSEI",2413686,1094.82383274
1990,"NSEO",1072932,486.67122588
1990,"SSEI",436175,197.84461825
1990,"SSEO",1236746,560.97561814
1991,"CSEO",1404100,636.885719
1991,"EYKT",1271965,576.95060435
1991,"NSEI",2795956,1268.21768204
1991,"NSEO",1070121,485.39618439
1991,"SSEI",664892,301.58836228
1991,"SSEO",1039879,471.67871561
1992,"CSEO",1593126,722.62602234
1992,"EYKT",1246004,565.17495436
1992,"NSEI",3018511,1369.16640449
1992,"NSEO",947177,429.63001543
1992,"SSEI",744298,337.60612982
1992,"SSEO",1145799,519.72296841
1993,"CSEO",2090461,948.21220499
1993,"EYKT",1020860,463.0518874
1993,"NSEI",3032363,1375.44953317
1993,"NSEO",1030687,467.50931633
1993,"SSEI",760472,344.94249448
1993,"SSEO",1982213,899.11199467
1994,"CSEO",2435911,1104.90487049
1994,"EYKT",1235401,560.36553959
1994,"NSEI",2688264,1219.36966776
1994,"NSEO",1246333,565.32418547
1994,"SSEI",803645,364.52533555
1994,"SSEO",1447773,656.69535507
1995,"CSEO",1594182,723.10501338
1995,"EYKT",669697,303.76786223
1995,"NSEI",1993256,904.12098904
1995,"NSEO",1324132,600.61303388
1995,"SSEI",784676,355.92118684
1995,"SSEO",535615,242.94960785
1996,"CSEO",2148472,974.52541448
1996,"EYKT",979429,444.25920011
1996,"NSEI",3227182,1463.81748338
1996,"NSEO",2318395,1051.60078805
1996,"SSEI",964645,437.55332555
1996,"SSEO",890071,403.72730489
1997,"CSEO",1753384,795.31744856
1997,"EYKT",2307051,1046.45526309
1997,"NSEI",4611901,2091.91217459
1997,"NSEO",1303488,591.24912192
1997,"SSEI",1514519,686.97067321
1997,"SSEO",748036,339.30164924
1998,"CSEO",1689813,766.48227867
1998,"EYKT",2208464,1001.73718576
1998,"NSEI",4887080,2216.7306172
1998,"NSEO",933224,423.30107416
1998,"SSEI",1299743,589.55042737
1998,"SSEO",939075,425.95502925
1999,"CSEO",1417712,643.05998608
1999,"EYKT",2048324,929.09928316
1999,"NSEI",4784644,2170.26667196
1999,"NSEO",1106149,501.73812491
1999,"SSEI",1541216,699.08016544
1999,"SSEO",1107642,502.41533478
2000,"CSEO",1410017,639.56961103
2000,"EYKT",1705146,773.43717414
2000,"NSEI",3496728,1586.08085352
2000,"NSEO",857448,388.92983832
2000,"SSEI",1286731,583.64831429
2000,"SSEO",1097958,498.02276922
2001,"CSEO",1813845,822.74195355
2001,"EYKT",1875111,850.53159849
2001,"NSEI",3176581,1440.86537579
2001,"NSEO",993185,450.49878415
2001,"SSEI",1066316,483.67027444
2001,"SSEO",1074291,487.28765469
2002,"CSEO",1858882,843.17028638
2002,"EYKT",2065116,936.71596644
2002,"NSEI",3283780,1489.4897702
2002,"NSEO",1163065,527.55465335
2002,"SSEI",1044494,473.77203346
2002,"SSEO",1222804,554.65166636
2003,"CSEO",1678322,761.27007598
2003,"EYKT",2264594,1027.19719246
2003,"NSEI",3875304,1757.79914136
2003,"NSEO",929623,421.66769657
2003,"SSEI",888422,402.97933498
2003,"SSEO",1033482,468.77710038
2004,"CSEO",1951599,885.22579041
2004,"EYKT",2586930,1173.4055787
2004,"NSEI",4907445,2225.96797755
2004,"NSEO",955038,433.19568642
2004,"SSEI",962886,436.75546074
2004,"SSEO",1459178,661.86854902
2005,"CSEO",1877961,851.82432999
2005,"EYKT",2353874,1067.69370766
2005,"NSEI",5260234,2385.98954006
2005,"NSEO",1126985,511.18912615
2005,"SSEI",949372,430.62564548
2005,"SSEO",1418159,643.26274081
2006,"CSEO",1974959,895.82165281
2006,"EYKT",1929684,875.28536556
2006,"NSEI",4678152,2121.96296568
2006,"NSEO",1021364,463.28049676
2006,"SSEI",1383421,627.50593139
2006,"SSEO",1431058,649.11359822
2007,"CSEO",2006887.9531,910.304306646629
2007,"EYKT",2989312.7457,1355.92236832206
2007,"NSEI",4968295.6932,2253.56924347859
2007,"NSEO",1021370.7811,463.283572599149
2007,"SSEI",1407362.8148,638.365699165132
2007,"SSEO",1780573.2779,807.650233122661
2008,"CSEO",1498980.5879,679.922604865561
2008,"EYKT",2888076.3266,1310.00254098249
2008,"NSEI",3799335.8675,1723.34075613933
2008,"NSEO",799354.0206,362.578990203954
2008,"SSEI",1170814.8023,531.069886175257
2008,"SSEO",1012905.1861,459.443663363099
2009,"CSEO",1111086.2564,503.977615040476
2009,"EYKT",2504668.6865,1136.09266950954
2009,"NSEI",3025029.4315,1372.12309983409
2009,"NSEO",646799.3623,293.381722745657
2009,"SSEI",975762.5574,442.596138411066
2009,"SSEO",816536.0739,370.372597760301
2010,"CSEO",1002468.6852,454.709770919868
2010,"EYKT",2544797.198,1154.29456104082
2010,"NSEI",2857550.6257,1296.15638831126
2010,"NSEO",583854.5781,264.830598080379
2010,"SSEI",902517.8138,409.373055161542
2010,"SSEO",671322.2554,304.505061826886
2011,"CSEO",520688.8867,236.179272118253
2011,"EYKT",1988835.6562,902.115965295758
2011,"NSEI",1496090.8487,678.611848061833
2011,"NSEO",321772.2317,145.952666576803
2011,"SSEI",540926.1326,245.358684486034
2011,"SSEO",284676.0947,129.126229794973
2012,"CSEO",575080.9965,260.850989202435
2012,"EYKT",1745269.8143,791.636935068337
2012,"NSEI",1642530.941,745.03560952819
2012,"NSEO",396405.9062,179.805754993258
2012,"SSEI",602182.1861,273.143817793099
2012,"SSEO",311307.6516,141.206037689244
2013,"CSEO",618347.8098,280.476383047182
2013,"EYKT",1653121.5678,749.839411938402
2013,"NSEI",1931748.7434,876.221912518806
2013,"NSEO",388515.7913,176.226877775767
2013,"SSEI",621173.589,281.75812823451
2013,"SSEO",378936.8491,171.881965383269
2014,"CSEO",743728.7369,337.347917770471
2014,"EYKT",1185797.0705,537.865693208095
2014,"NSEI",2065831.3975,937.040463592025
2014,"NSEO",453624.9352,205.759734357368
2014,"SSEI",772804.6028,350.536439784052
2014,"SSEO",360828.06,163.6679997354
2015,"CSEO",843305.9593,382.515150078887
2015,"EYKT",1225517.0013,555.882256619667
2015,"NSEI",2300816.2609,1043.62724778163
2015,"NSEO",464011.6988,210.471066458692
2015,"SSEI",837426.7613,379.848404658067
2015,"SSEO",382658.8534,173.570229313706
2016,"CSEO",779374.3338,353.516404068342
2016,"EYKT",1258692.4022,570.930286713898
2016,"NSEI",2569771.7537,1165.62276976078
2016,"NSEO",449482.2263,203.880643027417
2016,"SSEI",1025173.7457,465.008559312063
2016,"SSEO",373739.593,169.52454198887
2017,"CSEO",962573.591,436.61375514169
2017,"EYKT",1474424.3233,668.784128805647
2017,"NSEI",2662179.353,1207.53793272727
2017,"NSEO",474233.1502,215.107414599218
2017,"SSEI",965360.0321,437.877656960239
2017,"SSEO",452415.9289,205.211341189751
2018,"CSEO",762725.7342,345.964765775778
2018,"EYKT",1324903.719,600.96307790121
2018,"NSEI",2327409.78,1055.6898021102
2018,"NSEO",360296.3906,163.426839812254
2018,"SSEI",774773.94,351.4297114446
2018,"SSEO",424555.8894,192.574305872946
2019,"CSEO",681906.1129,309.305793750311
2019,"EYKT",1435829.1068,651.277724553412
2019,"NSEI",2356643.805,1068.95006350995
2019,"NSEO",464046.9526,210.487057229834
2019,"SSEI",792867.9715,359.636983192685
2019,"SSEO",398218.8205,180.628074790595
2020,"CSEO",650462.398,295.04323910882
2020,"EYKT",1226557.9394,556.354415732446
2020,"NSEI",2324707.105,1054.46389575695
2020,"NSEO",493069.9922,223.651617761998
2020,"SSEI",606030.7357,274.889481406163
2020,"SSEO",385247.2318,174.744291872162
2021,"CSEO",627219.2723,284.500389722557
2021,"EYKT",1803491.0184,818.045491036056
2021,"NSEI",2531243.5136,1148.14674533382
2021,"NSEO",494985.0581,224.520272503579
2021,"SSEI",633797.6099,287.484257874541
2021,"SSEO",310508.7217,140.843651075903
2022,"CSEO",594832.8271,269.810222044289
2022,"EYKT",2150929.0898,975.639925842382
2022,"NSEI",2445316.614,1109.17116294426
2022,"NSEO",380324.815,172.51153283585
2022,"SSEI",529277.7501,240.075094667859
2022,"SSEO",459410.1153,208.383834198927
2023,"CSEO",596496.396,270.56480026164
2023,"EYKT",1636118.5508,742.127013457372
2023,"NSEI",2258341.718,1024.36121986762
2023,"NSEO",281317.3706,127.602746130454
2023,"SSEI",672471.6264,305.026405018776
2023,"SSEO",302178.2564,137.065035320476
2024,"CSEO",528178.4038,239.576442179642
2024,"EYKT",1290603.5166,585.404849094594
2024,"NSEI",2277951.474,1033.25600909166
2024,"NSEO",284829.6155,129.195865294645
2024,"SSEI",559048.2091,253.578677165669
2024,"SSEO",534644.2234,242.509273292006
2025,"CSEO",202.272,0.09174855648
2025,"EYKT",5864.124,2.65990800516
2025,"NSEI",130057.632,58.99284129888
2025,"NSEO",13771.152,6.24645683568
2025,"SSEI",47253.864,21.43388017176
2025,"SSEO",94905.888,43.04836173792
