"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90"
"1",1995,27951905.7728689,12481151408876.4,15267750.6242889,6938319.4618197,1181987.93944316,4563847.74731707,8511367294017.53,1935003876552.24,157607348317.003,1877172889989.59,19380324583902.9,0.157495844531179,27951.9057728689,20556.0266428663,35347.7849028714
"2",1996,27348827.5528936,12641809957421.2,15170375.5885,6943230.49879656,1181987.93944316,4053233.52615385,8947252836211.17,2130253539182.62,158361885062.52,1405941696964.89,19540983132447.8,0.161634659290031,27348.8275528936,19922.356601424,34775.2985043631
"3",1997,20414514.4006025,6896978875503.4,8149427.06990888,7257238.27676768,1181987.93944316,3825861.11448276,1321944150012.84,4146575958688.15,158073272993.112,1270385493809.3,13796152050529.9,0.181944919120606,20414.5144006025,14174.4615524756,26654.5672487293
"4",1998,20972576.8485315,7853753703606.55,8268081.66565878,7736076.46033097,1181987.93944316,3786430.78309859,1494564143495.45,4953023733405.78,157935692676.501,1248230134028.82,14752926878633.1,0.183141725020972,20972.5768485315,14519.7742928776,27425.3794041854
"5",1999,22016025.3608539,4805827757139.25,8607610.9156621,4628882.54477306,1181987.93944316,7597543.96097561,1607830786214.79,697378849840.671,158715535164.956,2341902585918.83,11705000932165.8,0.155398495371736,22016.0253608539,16268.3132394142,27763.7374822936
"6",2000,22837001.7308168,5601593909171.35,8595523.86396396,4337794.47876923,1181987.93944316,8721695.44864041,1566619521738.52,664586539544.267,158256903232.521,3212130944656.04,12500767084197.9,0.154820778490595,22837.0017308168,16897.1225217385,28776.880939895
"7",2001,23703807.5842884,5950882411246.11,8879070.74411439,5035790.72930233,1181987.93944316,8606958.17142857,1732986574608.15,980842715729.03,158172812316.934,3078880308591.99,12850055586272.7,0.151228759612613,23703.8075842884,17681.5159202542,29726.0992483227
"8",2002,23335845.9326585,5971197710608,8532013.43431818,5035790.72930233,1181987.93944316,8586053.82959488,1644964192212.28,978910824023.31,158631532735.566,3188691161636.85,12870370885634.5,0.153734727449014,23335.8459326585,17308.7956767195,29362.8961885976
"9",2003,31144971.1352431,8477930956821.29,9245545.72192308,12160290.1133721,1181987.93944316,8557147.36050473,888468544730.495,4323602129246.4,158433656263.176,3107426626581.22,15377104131847.8,0.125906846027431,31144.9711352431,24557.0777920166,37732.8644784695
"10",2004,29426557.8088954,7749694713204.36,9200271.84811232,10878940.511669,1181987.93944316,8165357.50967089,1024323452651.87,3692958768130.58,158465128470.632,2873947363951.28,14648867888230.9,0.130065635716719,29426.5578088954,22996.5527756359,35856.5628421549
"11",2005,30152580.4485522,8216503909830.52,9200271.84811232,11670258.518617,1181987.93944316,8100062.14237975,1019827676173.78,4891587939971.03,158198210221.774,2146890083463.94,15115677084857.1,0.128940490484201,30152.5804485522,23620.9277477191,36684.2331493854
"12",2006,30152580.4485522,8341719893330.11,9200271.84811232,11670258.518617,1181987.93944316,8100062.14237975,1026417726864.84,4807785475145.9,158044155179.23,2349472536140.14,15240893068356.7,0.129473450783719,30152.5804485522,23593.9299321632,36711.2309649413
"13",2007,26165630.4787551,7772243109321.92,5213321.87831513,11670258.518617,1181987.93944316,8100062.14237975,397725778033.729,4863839875389.22,158140921960.028,2352536533938.94,14671416284348.5,0.146387777113759,26165.6304787551,19730.6786280459,32600.5823294642
"14",2008,25646134.7838444,6825438593735.17,5595254.01804124,10398398.5387774,1181987.93944316,8470494.28758261,576275304604.005,3571652675600.49,158203356548.664,2519307256982.01,13724611768761.7,0.144453514912788,25646.1347838444,19422.2819372426,31869.9876304462
"15",2009,22145335.871756,4820671065551.15,6230595.2254025,5685716.04233577,1185378.84310345,9043645.76091429,666874331375.118,942911946987.194,160227870182.686,3050656917006.16,11719844240577.7,0.154589021569496,22145.335871756,16393.9805197884,27896.6912237236
"16",2010,21561926.7448548,4362657225358.55,6129598.5742268,5800294.11361386,1225878.40901408,8406155.648,659853739988.503,1073736889164.56,173827338179.848,2455239258025.64,11261830400385.1,0.15563846007496,21561.9267448548,15924.07341916,27199.7800705495
"17",2011,21583224.5895375,4521978119974.59,5614382.45284698,6203977.97817048,1255035.21129568,8509828.94722434,536910581399.893,1327173367964.17,183534133010.516,2474360037600.01,11421151295001.1,0.156580837777405,21583.2245895375,15905.6320174158,27260.8171616591
"18",2012,20658533.09569,4541272652471.13,4253018.04267898,6234955.54616977,1217131.03594937,8953428.47089184,307943159111.668,1224714356815.43,169893564559.187,2838721571984.84,11440445827497.7,0.163727637126016,20658.53309569,14976.1467744751,26340.9194169048
"19",2013,14676440.5705513,2249584796001.44,3982840.41243816,5795873.00738739,1217131.03594937,3680596.11477639,303691763574.455,1116849099639.51,170028431926.456,659015500861.018,9148757971027.99,0.20609161805188,14676.4405705513,9594.95904471365,19757.922096389
"20",2014,14368887.2366554,2067415088255.98,4251339.47260437,5260699.01372549,1176252.63554913,3680596.11477639,358949896121.321,858824134723.849,156722721082.568,692918336328.243,8966588263282.53,0.208396527164558,14368.8872366554,9338.25122176734,19399.5232515434
