"","Year","mngmt.divisions","mngmt.area","deep.bound","shallow.bound","no.stations","CPUE.mean","CPUE.bootmean","CPUE.lo95ci","CPUE.hi95ci","CPUE.var","CPUE.cv"
"1",1998,"SEdist","EYKT",250,0,10,0.0808035714285714,0.0804910714285714,0.044359375,0.122232142857143,0.000416812181792762,0.251023662386116
"2",1998,"SEdist","NSEO",250,0,4,0.0609375,0.0609375,0.05,0.071875,3.38250335296234e-05,0.0954678177661491
"3",1998,"SEdist","CSEO",250,0,15,0.0877356374597966,0.0867276797921794,0.0483535770440252,0.133152562111801,0.000468614794787366,0.247389519961295
"4",1998,"SEdist","SSEO",250,0,18,0.0563950052073946,0.0563086167416993,0.0373938397972874,0.0765233267846834,0.000100829471637905,0.178274983952939
"7",1999,"SEdist","EYKT",250,0,10,0.060625,0.06,0.029375,0.099390625,0.000328855768268268,0.29653145016736
"8",1999,"SEdist","NSEO",250,0,4,0.0293064024390244,0.0293064024390244,0.015625,0.0504192073170732,9.19640019429355e-05,0.318903202667747
"9",1999,"SEdist","CSEO",250,0,15,0.05399388016076,0.0517840397028377,0.0270030675313604,0.0885580623553769,0.000249564249308218,0.29657177796914
"10",1999,"SEdist","SSEO",250,0,18,0.0585634427545042,0.0582599880392848,0.0367739778460997,0.080009744305396,0.000127285308617362,0.19360458444127
"13",2000,"SEdist","EYKT",250,0,10,0.0471428571428571,0.0457142857142857,0.0257142857142857,0.0764464285714286,0.000170574280402852,0.277644746834713
"14",2000,"SEdist","NSEO",250,0,3,0.0214285714285714,0.0214285714285714,0,0.0428571428571429,0.000100984607056036,0.462635766856154
"15",2000,"SEdist","CSEO",250,0,15,0.0390647482014388,0.0386056868790682,0.0209690818773553,0.0581123672490579,9.52110397809166e-05,0.252893968714277
"16",2000,"SEdist","SSEO",250,0,19,0.0807932422354712,0.0796898366908061,0.0563498138805254,0.113919787759332,0.000229680617681179,0.185864280643986
"19",2001,"SEdist","EYKT",250,0,10,0.0269655862344938,0.0269655862344938,0.00982512004801921,0.0462104841936775,8.60430682730689e-05,0.340456198318887
"20",2001,"SEdist","NSEO",250,0,4,0.021875,0.021875,0.0025,0.038765625,8.30172950294044e-05,0.414236136402353
