"Year","Mgt.Area","fishery.code","HA.lbs","HA.mt"
1975,"CSEO","",317414,143.97581626
1975,"EYKT","",386243,175.19596237
1975,"NSEI","",1632241,740.36819519
1975,"NSEO","",351474,159.42509166
1975,"SSEI","",525004,238.13656436
1975,"SSEO","",472289,214.22556751
1976,"CSEO","",301647,136.82406273
1976,"EYKT","",515792,233.95809328
1976,"NSEI","",1338985,607.35020615
1976,"NSEO","",214519,97.30367321
1976,"SSEI","",504279,228.73591161
1976,"SSEO","",342102,155.17404618
1977,"CSEO","",26374,11.96298266
1977,"CSEO","B06B",6870,3.1161633
1977,"CSEO","B61B",182110,82.6032749
1977,"CSEO","C61B",3402,1.54311318
1977,"CSEO","S05B",1509,0.68446731
1977,"CSEO","S15B",11051,5.01262309
1977,"EYKT","",62869,28.51674971
1977,"EYKT","B06B",3280,1.4877752
1977,"EYKT","B61B",285026,129.28494334
1977,"EYKT","M06B",75,0.03401925
1977,"EYKT","S05B",301,0.13653059
1977,"EYKT","S15B",5753,2.60950327
1977,"NSEI","",51872,23.52862048
1977,"NSEI","B05B",329,0.14923111
1977,"NSEI","B06B",28147,12.76719773
1977,"NSEI","B61B",556550,252.4455145
1977,"NSEI","C61B",2730,1.2383007
1977,"NSEI","M61B",995,0.45132205
1977,"NSEI","S03A",71,0.03220489
1977,"NSEI","S05B",10273,4.65973007
1977,"NSEI","S15B",9257,4.19888263
1977,"NSEO","",3598,1.63201682
1977,"NSEO","B06B",133,0.06032747
1977,"NSEO","B61B",99859,45.29504381
1977,"NSEO","C61B",443,0.20094037
1977,"NSEO","S05B",1386,0.62867574
1977,"NSEO","S15B",2924,1.32629716
1977,"SSEI","",31686,14.37245274
1977,"SSEI","B06B",18285,8.29389315
1977,"SSEI","B61B",218298,99.01778982
1977,"SSEI","C61B",26,0.01179334
1977,"SSEI","M06B",31,0.01406129
1977,"SSEI","S05B",5898,2.67527382
1977,"SSEI","S15B",10363,4.70055317
1977,"SSEO","",19711,8.94071249
1977,"SSEO","B06B",5528,2.50744552
1977,"SSEO","B61B",127061,57.63359899
1977,"SSEO","S05B",1255,0.56925545
1977,"SSEO","S15B",4534,2.05657706
1978,"CSEO","",37046,16.80369514
1978,"CSEO","B06B",12023,5.45351257
1978,"CSEO","B61B",361570,164.0045363
1978,"CSEO","C61B",389,0.17644651
1978,"CSEO","M06B",44,0.01995796
1978,"CSEO","S05B",2635,1.19520965
1978,"CSEO","S15B",28150,12.7685585
1978,"EYKT","",5267,2.38905853
1978,"EYKT","B06B",7355,3.33615445
1978,"EYKT","B61B",252952,114.73649768
