"Year","Mgt.Area","HA.lbs","HA.mt"
1995,"NSEO",1455761,660.31863199
1995,"SSEI",789482,358.10114038
1995,"SSEO",588278,266.83701802
1996,"CSEO",2234906,1013.73101254
1996,"EYKT",1242697,563.67493223
1996,"NSEI",3285461,1490.25225499
1996,"NSEO",2432544,1103.37763296
1996,"SSEI",993173,450.49334107
1996,"SSEO",983523,446.11619757
1997,"CSEO",1804322,818.42241598
1997,"EYKT",2364787,1072.64373533
1997,"NSEI",4615351,2093.47706009
1997,"NSEO",1329667,603.12365453
1997,"SSEI",1519383,689.17693497
1997,"SSEO",826236,374.77238724
1998,"CSEO",1718047,779.28893873
1998,"EYKT",2280529,1034.42514911
1998,"NSEI",4921271,2232.23931289
1998,"NSEO",1060978,481.24901102
1998,"SSEI",1296251,587.96649109
1998,"SSEO",939193,426.00855287
1999,"CSEO",1431556,649.33948604
1999,"EYKT",2138002,969.77632718
1999,"NSEI",4810845,2182.15118355
1999,"NSEO",1118780,507.4674202
1999,"SSEI",1540799,698.89101841
1999,"SSEO",1107441,502.32416319
2000,"CSEO",1430074,648.66726566
2000,"EYKT",1766258,801.15696622
2000,"NSEI",3525542,1599.15059578
2000,"NSEO",851421,386.19605139
2000,"SSEI",1282744,581.83985096
2000,"SSEO",1097637,497.87716683
2001,"CSEO",1817664,824.47421376
2001,"EYKT",1875198,850.57106082
2001,"NSEI",3186983,1445.58361897
2001,"NSEO",986735,447.57312865
2001,"SSEI",1066495,483.75146705
2001,"SSEO",1129234,512.20925006
2002,"CSEO",1871677,848.97397043
2002,"EYKT",2111626,957.81243734
2002,"NSEI",3308969,1500.91524871
2002,"NSEO",1167721,529.66656839
2002,"SSEI",1042704,472.96010736
2002,"SSEO",1240565,562.70787835
2003,"CSEO",1679487,761.79850833
2003,"EYKT",2302748,1044.50346532
2003,"NSEI",3886832,1763.02812688
2003,"NSEO",927953,420.91020127
2003,"SSEI",887653,402.63052427
2003,"SSEO",1048002,475.36322718
2004,"CSEO",1947705,883.45951095
2004,"EYKT",2590013,1174.80399667
2004,"NSEI",4938548,2240.07598732
2004,"NSEO",955017,433.18616103
2004,"SSEI",961113,435.95124567
2004,"SSEO",1484837,673.50721483
2005,"CSEO",1890315,857.42798085
2005,"EYKT",2484961,1127.15345999
2005,"NSEI",5282204,2395.95491236
2005,"NSEO",1174883,532.91517997
2005,"SSEI",952052,431.84126668
2005,"SSEO",1442573,654.33668707
2006,"CSEO",2013467,913.28849653
2006,"EYKT",1985100,900.421509
2006,"NSEI",4705243,2134.25117237
2006,"NSEO",1045523,474.23877757
2006,"SSEI",1380653,626.25039427
2006,"SSEO",1451830,658.5355697
