"","depth_bin_m","ye_obs","n_stations","YE_per_station"
"1","50",134,13,10.3076923076923
"2","100",1992,47,42.3829787234043
"3","150",3204,69,46.4347826086956
"4","200",3466,67,51.7313432835821
"5","250",740,53,13.9622641509434
"6","300",109,45,2.42222222222222
"7","350",17,37,0.459459459459459
"8","400",3,21,0.142857142857143
"9","450",5,13,0.384615384615385
"10","500",0,4,0
"11","550",0,5,0
"12","600",0,6,0
"13","650",0,2,0
"14","700",0,1,0
