Stat.Area,State.MU,IFQ.area
10100,SSEI,2C
10110,SSEI,2C
10111,SSEI,2C
10120,SSEI,2C
10121,SSEI,2C
10125,SSEI,2C
10129,SSEI,2C
10185,SSEI,2C
10190,SSEI,2C
10195,SSEI,2C
10200,SSEI,2C
10210,SSEI,2C
10250,SSEI,2C
10280,SSEI,2C
10300,SSEI,2C
10311,SSEI,2C
10330,SSEI,2C
10350,SSEI,2C
10360,SSEI,2C
10370,SSEI,2C
10380,SSEI,2C
10390,SSEI,2C
10400,SSEO,2C
10410,SSEO,2C
10420,SSEO,2C
10430,SSEO,2C
10435,SSEO,2C
10440,SSEO,2C
10450,SSEO,2C
10500,SSEI,2C
10510,SSEI,2C
10550,SSEI,2C
10600,SSEI,2C
10641,SSEI,2C
10800,SSEI,2C
10850,SSEI,2C
10860,SSEI,2C
10900,NSEI,2C
10910,NSEI,2C
10930,NSEI,2C
10951,NSEI,2C
10961,NSEI,2C
10962,NSEI,2C
10963,NSEI,2C
11000,NSEI,2C
11011,NSEI,2C
11016,NSEI,2C
11031,NSEI,2C
11200,NSEI,2C
11212,NSEI,2C
11213,NSEI,2C
11222,NSEI,2C
11280,NSEI,2C
11300,CSEO,2C
11301,CSEO,2C
11311,CSEO,2C
11321,CSEO,2C
11322,CSEO,2C
11330,CSEO,2C
11331,CSEO,2C
11332,CSEO,2C
11334,CSEO,2C
11335,CSEO,2C
11337,CSEO,2C
11338,CSEO,2C
11341,CSEO,2C
11342,CSEO,2C
11345,CSEO,2C
11355,NSEI,2C
11361,CSEO,2C
11362,CSEO,2C
11371,NSEO,2C
11381,NSEO,2C
11391,NSEO,2C
11392,NSEO,2C
11393,NSEO,2C
11394,NSEO,2C
11395,NSEO,2C
11396,NSEO,2C
11397,NSEO,2C
11400,NSEI,2C
11421,NSEI,2C
11423,NSEI,2C
11427,NSEI,2C
11450,NSEI,2C
11460,NSEI,2C
11600,NSEO,3A
11611,NSEO,3A
11612,EYKT,3A
11613,EYKT,3A
11614,EYKT,3A
15000,SSEO,2C
15200,SSEO,2C
15400,CSEO,2C
15600,EYKT,3A
15700,EYKT,3A
18100,EYKT,3A
18160,EYKT,3A
18900,EYKT,3A
