"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r",0.022,0.023,0.001,0.014,0.089,FALSE,1,1.006,920
"2","K",54001.794,24128.68,26627.199,47799.877,124110.489,FALSE,1,1.02,198
"3","sigma",0.077,0.05,0.02,0.059,0.201,FALSE,1,1.005,451
"4","epsilon[1]",0,0.046,-0.088,0.001,0.088,TRUE,0.505,1.006,478
"5","epsilon[2]",0.002,0.046,-0.088,0.002,0.09,TRUE,0.518,1,3000
"6","epsilon[3]",0,0.046,-0.09,0,0.089,TRUE,0.5,1.001,3000
"7","epsilon[4]",0,0.045,-0.087,0,0.089,TRUE,0.5,1,3000
"8","epsilon[5]",0.001,0.046,-0.088,0,0.09,TRUE,0.502,1.001,2522
"9","epsilon[6]",0,0.046,-0.089,0,0.09,TRUE,0.502,1.002,1100
"10","epsilon[7]",0,0.046,-0.088,0.001,0.088,TRUE,0.505,1.001,1462
"11","epsilon[8]",0,0.047,-0.089,-0.001,0.089,TRUE,0.495,1.001,1136
"12","epsilon[9]",-0.001,0.046,-0.088,-0.001,0.088,TRUE,0.507,1.001,1562
"13","epsilon[10]",0,0.045,-0.088,0,0.089,TRUE,0.503,1,3000
"14","epsilon[11]",0.002,0.047,-0.089,0.002,0.09,TRUE,0.519,1.001,1445
"15","epsilon[12]",0.001,0.046,-0.088,0.002,0.089,TRUE,0.513,1.001,1911
"16","epsilon[13]",0.001,0.046,-0.087,0.001,0.089,TRUE,0.505,1,3000
"17","epsilon[14]",0.001,0.047,-0.088,0.001,0.088,TRUE,0.51,1,3000
"18","epsilon[15]",0.002,0.045,-0.086,0.002,0.09,TRUE,0.514,1,3000
"19","epsilon[16]",0,0.045,-0.088,0,0.088,TRUE,0.504,1,3000
"20","epsilon[17]",0.001,0.045,-0.088,0.002,0.089,TRUE,0.518,1,3000
"21","epsilon[18]",0.001,0.046,-0.09,0.001,0.088,TRUE,0.512,1,3000
"22","epsilon[19]",0,0.047,-0.092,0,0.09,TRUE,0.498,1.002,2233
"23","epsilon[20]",0,0.045,-0.088,0,0.088,TRUE,0.496,1.001,2414
"24","epsilon[21]",0.002,0.046,-0.089,0.002,0.091,TRUE,0.518,1.002,1601
"25","epsilon[22]",0.001,0.045,-0.089,0.002,0.089,TRUE,0.514,1,3000
"26","epsilon[23]",0.003,0.046,-0.088,0.002,0.09,TRUE,0.516,1,3000
"27","epsilon[24]",0.003,0.046,-0.086,0.002,0.092,TRUE,0.52,1.003,1172
"28","epsilon[25]",0,0.046,-0.089,0,0.088,TRUE,0.496,1,3000
"29","epsilon[26]",0.002,0.045,-0.087,0.001,0.09,TRUE,0.515,1.001,2121
"30","epsilon[27]",0.001,0.046,-0.087,0,0.089,TRUE,0.506,1.001,2368
"31","epsilon[28]",0.001,0.046,-0.088,0.001,0.088,TRUE,0.51,1,3000
"32","epsilon[29]",0.001,0.046,-0.088,0.001,0.088,TRUE,0.507,1.001,2470
"33","epsilon[30]",0.001,0.045,-0.088,0.001,0.088,TRUE,0.507,1,3000
"34","epsilon[31]",0.001,0.045,-0.087,0.002,0.088,TRUE,0.514,1,3000
"35","epsilon[32]",0.003,0.046,-0.088,0.004,0.09,TRUE,0.529,1,3000
"36","epsilon[33]",0.003,0.047,-0.088,0.003,0.09,TRUE,0.521,1,3000
"37","epsilon[34]",0.002,0.046,-0.089,0.002,0.09,TRUE,0.515,1,3000
"38","epsilon[35]",0.002,0.045,-0.085,0.003,0.087,TRUE,0.53,1,3000
"39","epsilon[36]",0.001,0.045,-0.086,0.001,0.089,TRUE,0.508,1.002,1003
"40","epsilon[37]",0,0.046,-0.087,0,0.089,TRUE,0.502,1,3000
"41","epsilon[38]",0.001,0.045,-0.089,0.002,0.088,TRUE,0.514,1.002,1299
"42","epsilon[39]",0.002,0.045,-0.088,0.003,0.089,TRUE,0.525,1.002,1097
"43","epsilon[40]",0,0.046,-0.086,0,0.089,TRUE,0.506,1,3000
"44","epsilon[41]",0,0.046,-0.089,0.001,0.087,TRUE,0.507,1,3000
"45","epsilon[42]",0.001,0.046,-0.086,0,0.09,TRUE,0.5,1.001,2048
"46","epsilon[43]",0.001,0.046,-0.085,0,0.088,TRUE,0.503,1,3000
"47","epsilon[44]",0.001,0.046,-0.087,0.002,0.087,TRUE,0.513,1.001,1382
"48","epsilon[45]",0.001,0.046,-0.088,0.001,0.089,TRUE,0.508,1,3000
