G_STAT_AREA,G_MANAGEMENT_AREA_CODE,LINGCOD_MANAGEMENT_AREA_CODE
001065,SSEI,SSEI
305531,SSEI,SSEIW
315401,SSEI,SSEIW
325502,SSEI,SSEOC
325503,SSEI,SSEIW
325601,SSEI,SSEIW
345531,SSEO,SSEOC
345606,NSEI,NSEI
345701,NSEI,NSEI
345704,NSEI,NSEI
345801,NSEI,NSEI
355632,CSEO,CSEO
365805,NSEO,NSEO
385831,EYKT,EYKT
395830,EYKT,EYKT
395931,EYKT,IBS
405830,WYAK,IBS
415900,WYAK,IBS
345607,CSEO,CSEO
011034,NSEI,NSEI
010840,SSEI,SSEI
010510,SSEI,SSEI
010930,NSEI,NSEI
010600,SSEI,SSEI
000065,SE,SE
000068,EYKT,EYKT
010900,NSEI,NSEI
010350,SSEI,SSEI
010146,SSEI,SSEI
010642,SSEI,SSEI
011013,NSEI,NSEI
010430,SSEO,SSEO
011120,NSEI,NSEI
010644,SSEI,SSEI
010850,SSEI,SSEI
011000,NSEI,NSEI
011150,NSEI,NSEI
010643,SSEI,SSEI
011100,NSEI,NSEI
4065  ,CSEO,CSEO
345802,NSEI,NSEI
365500,SSEO,SSEOC
385630,EYKT,EYKT
395430,EYKT,EYKT
395600,EYKT,EYKT
405500,IBS,IBS
415600,IBS,IBS
425800,IBS,IBS
426001,IBS,IBS
425900,WYAK,IBS
445900,WYAK,
305501,SSEI,SSEIW
315501,SSEI,SSEIW
315502,SSEI,SSEIW
325401,SSEI,SSEOC
325431,SSEI,SSEOC
335431,SSEO,SSEOC
335502,SSEO,SSEOC
335504,SSEO,SSEOC
335506,SSEI,SSEOC
335702,NSEI,NSEI
335731,NSEI,NSEI
345803,NSEI,NSEI
355633,CSEO,CSEO
355707,NSEI,NSEI
355733,NSEI,NSEI
365702,CSEO,CSEO
375801,EYKT,EYKT
375802,EYKT,EYKT
375831,EYKT,EYKT
385730,EYKT,EYKT
395902,EYKT,EYKT
405900,WYAK,IBS
415500,WYAK,
415830,WYAK,IBS
415931,WYAK,IBS
345536,SSEO,SSEOC
405933,IBS,IBS
435800,IBS,IBS
010920,NSEI,NSEI
010730,SSEI,SSEI
010127,SSEI,SSEI
010500,SSEI,SSEI
010700,SSEI,SSEI
010962,NSEI,NSEI
010210,SSEI,SSEI
010400,SSEO,SSEO
000650,SEO,SEO
010910,NSEI,NSEI
5065  ,NSEO,NSEO
335633,SSEI,SSEIW
345401,SSEO,SSEOC
385700,EYKT,EYKT
405600,IBS,IBS
405700,IBS,IBS
415730,IBS,IBS
415800,IBS,IBS
425630,IBS,IBS
355634,CSEO,CSEO
305431,SSEI,SSEIW
325432,SSEO,SSEOC
335732,NSEI,NSEI
345601,CSEO,CSEO
345602,CSEO,CSEO
345603,NSEI,NSEI
