"","Full.Model.Code","Key.function","Formula","CvM_pvalue","P_a.hat","se.P_a.hat","Delta.AIC","Model","Det.Prob","Nhat","Nhat.se","Nhat.cv","Nhat.lcl","Nhat.ucl","Dhat","Dhat.se","Dhat.cv","Dhat.lcl","Dhat.ucl"
"15","\texttt{YE.unif.cos}","Uniform with cosine adjustment terms of order 1,2",NA,0.854080483473315,0.684987614131229,0.0843763956707262,0,"YE.unif.cos",0.684987614131229,1892474.36731569,386164.598431373,0.204052749723164,1264933.82594369,2831341.17966607,1139.3584390823,232.489222415035,0.204052749723164,761.549564084101,1704.6003489862
"8","\texttt{YE.hr}","Hazard-rate","~1",0.87211346111427,0.711641202518138,0.0459318521977466,0.446460612866986,"YE.hr",0.711641202518138,1821594.22063402,318806.148870757,0.175014910159187,1282299.39879349,2587699.49340174,1096.68526227214,191.936272649462,0.175014910159187,772.004454421126,1557.91661252362
"1","\texttt{YE.hn}","Half-normal","~1",0.470211170377778,0.617819043772661,0.0453319794586487,0.623791318916005,"YE.hn",0.617819043772661,2098221.98706632,374449.579974425,0.178460421386572,1468187.93972956,2998618.49282012,1263.22816801103,225.436231170635,0.178460421386572,883.918085327851,1805.30914679116
"6","\texttt{YE.hn.Stage}","Half-normal","~Stage",0.5118213187706,0.615169039125345,0.047574295333617,1.40235647503198,"YE.hn.Stage",0.615169039125345,2107260.6376862,373033.644715061,0.177023021283526,1479412.59516134,3001561.16668548,1268.66986013618,224.583771652655,0.177023021283526,890.675855003816,1807.08077464508
"17","\texttt{YE.unif.poly}","Uniform with simple polynomial adjustment terms of order 2,4",NA,0.357057957445724,0.608253778964338,0.0449181823272934,1.40761303745199,"YE.unif.poly",0.608253778964338,2131218.16337796,380754.163976023,0.178655648923586,1490765.91642905,3046816.94815788,1283.09341563995,229.231886800737,0.178655648923586,897.511087555117,1834.32688028771
"13","\texttt{YE.hr.Stage}","Hazard-rate","~Stage",0.900444574962646,0.719101641551647,0.0438077081323847,1.64416248463601,"YE.hr.Stage",0.719101641551647,1802695.78981204,309670.820794023,0.17178207357233,1276809.83042311,2545180.99185467,1085.30751945337,186.436376155342,0.17178207357233,768.699476473874,1532.31847793779
"5","\texttt{YE.hn.Depth}","Half-normal","~Depth",0.46878853807689,0.61779467224314,0.0455219142060014,2.61453495161402,"YE.hn.Depth",0.61779467224314,2098304.76032642,374891.597955377,0.178664036341917,1467692.3464816,2999867.70235825,1263.27800140062,225.702346752184,0.178664036341917,883.619714919685,1806.06122959557
"16","\texttt{YE.unif.herm}","Uniform with Hermite polynomial adjustment term of order 2",NA,0.349052614121959,0.708511997411924,0.0234460745911685,3.285576710025,"YE.unif.herm",0.708511997411924,1829639.45057717,303739.042537576,0.166010326483592,1307967.34323648,2559376.22328166,1101.5288684992,182.865167090654,0.166010326483592,787.457762333822,1540.86467386012
"7","\texttt{YE.hn.Depth.Stage}","Half-normal","~Depth + Stage",0.511441167124103,0.615155956116318,0.0478279196997189,3.40078841596602,"YE.hn.Depth.Stage",0.615155956116318,2107305.45446749,373502.519784184,0.177241756287565,1478858.97996108,3002812.5322303,1268.6968419431,224.866056462483,0.177241756287565,890.342552655679,1807.83415546677
"12","\texttt{YE.hr.Depth}","Hazard-rate","~Depth",6.46216463673355e-07,1.00000005756623,0.0377268520251211,37.794121531297,"YE.hr.Depth",1.00000005756623,1296321.42704775,216480.481008344,0.166995990725354,925169.318981775,1816369.40151948,780.44637389991,130.331415417425,0.166995990725354,556.99537566633,1093.53967580944
"14","\texttt{YE.hr.Depth.Stage}","Hazard-rate","~Depth + Stage",6.46216503641384e-07,1.00000005712784,0.0379700477052486,39.794121399782,"YE.hr.Depth.Stage",1.00000005712784,1296321.42761604,216551.937122817,0.167051112871798,925082.992499373,1816538.90226245,780.446374242044,130.374435353893,0.167051112871798,556.943403070062,1093.64172321641
