Filename,DIVE_NO,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Comment,Year,Transect_No,Dive Type,Family,Genus,Species,Code,Number,Stage,Activity,Start.End,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_05_16-23-30.000.avi,5,53695,17:05:05,61505,NA,NA,508,851,0,0,QC,EricaEbert,140,N/A,2022,11,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_05_16-23-30.000.avi,5,53933,17:05:13,61513,NA,NA,495,835,0,0,QC,EricaEbert,140,N/A,2022,11,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_05_16-23-30.000.avi,5,54306,17:05:25,61525,NA,NA,516,856,0,0,QC,EricaEbert,140,N/A,2022,11,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_05_16-23-30.000.avi,5,87756,17:24:00,62640,NA,NA,533,873,0,0,QC,EricaEbert,140,N/A,2022,11,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,End,End,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,6,841,8:26:25,30385,NA,NA,554,876,0,0,QC,EricaEbert,80,N/A,2022,14,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,Start,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,6,80655,9:10:45,33045,NA,NA,525,850,0,0,QC,EricaEbert,80,N/A,2022,14,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,End,End,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,7,410,9:55:12,35712,NA,NA,661,906,0,0,QC,EricaEbert,95,N/A,2022,13,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,Start,
SL_2022_CSEO_Dive_07_09-45-45.000.avi,7,75004,10:36:38,38198,NA,NA,625,867,0,0,QC,EricaEbert,95,N/A,2022,13,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,End,End,
SL_2022_CSEO_Dive_08_11-20-06.000.avi,8,198,11:30:56,41456,NA,NA,613,864,0,0,QC,EricaEbert,115,N/A,2022,12,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,Start,
SL_2022_CSEO_Dive_08_11-20-06.000.avi,8,21163,11:42:34,42154,NA,NA,590,843,0,0,QC,EricaEbert,115,N/A,2022,12,Line,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2022_CSEO_Dive_08_11-20-06.000.avi,8,21668,11:42:51,42171,NA,NA,599,854,0,0,QC,EricaEbert,115,N/A,2022,12,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_08_11-20-06.000.avi,8,86364,12:18:48,44328,NA,NA,608,858,0,0,QC,EricaEbert,115,N/A,2022,12,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,End,End,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,353,13:23:14,48194,NA,NA,637,892,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,Start,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,597,13:23:22,48202,NA,NA,607,855,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,bottom stir-up,BBS,BBS,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,817,13:23:29,48209,NA,NA,625,880,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,1123,13:23:39,48219,NA,NA,608,865,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,1926,13:24:06,48246,NA,NA,616,868,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,2117,13:24:13,48253,NA,NA,609,876,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,7148,13:27:00,48420,NA,NA,621,881,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,8349,13:27:40,48460,NA,NA,633,878,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,19774,13:34:01,48841,NA,NA,656,899,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,20250,13:34:17,48857,NA,NA,641,892,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,20568,13:34:28,48868,NA,NA,646,897,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,21959,13:35:14,48914,NA,NA,680,923,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,27333,13:38:13,49093,NA,NA,637,881,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,28106,13:38:39,49119,NA,NA,642,892,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,29032,13:39:10,49150,NA,NA,634,893,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,30159,13:39:47,49187,NA,NA,609,858,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,31429,13:40:30,49230,NA,NA,658,915,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,34082,13:41:58,49318,NA,NA,603,863,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,35310,13:42:39,49359,NA,NA,616,868,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,38450,13:44:24,49464,NA,NA,565,830,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,39689,13:45:05,49505,NA,NA,600,863,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,39800,13:45:09,49509,NA,NA,612,880,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,40541,13:45:33,49533,NA,NA,603,871,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,47989,13:49:42,49782,NA,NA,643,889,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,66578,14:00:01,50401,NA,NA,613,865,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,67574,14:00:34,50434,NA,NA,630,892,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,70773,14:02:21,50541,NA,NA,641,897,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,72131,14:03:06,50586,NA,NA,663,907,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,73487,14:03:52,50632,NA,NA,641,897,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,75866,14:05:11,50711,NA,NA,613,873,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,84839,14:10:10,51010,NA,NA,613,868,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,86283,14:10:58,51058,NA,NA,584,839,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,89255,14:12:37,51157,NA,NA,626,882,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,99303,14:18:12,51492,NA,NA,593,848,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_09_13-09-48.000.avi,9,101158,14:19:14,51554,NA,NA,610,863,0,0,QC,EricaEbert,100,N/A,2022,10,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,End,End,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,116,14:59:15,53955,NA,NA,651,892,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,Start,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,182,14:59:17,53957,NA,NA,622,875,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,33400,15:17:44,55064,NA,NA,642,888,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,39063,15:20:53,55253,NA,NA,587,843,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,39823,15:21:18,55278,NA,NA,651,892,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,40855,15:21:53,55313,NA,NA,596,835,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,41832,15:22:25,55345,NA,NA,614,871,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,43050,15:23:06,55386,NA,NA,597,846,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,43401,15:23:18,55398,NA,NA,630,876,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,44552,15:23:56,55436,NA,NA,618,865,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,44905,15:24:08,55448,NA,NA,643,894,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,45535,15:24:29,55469,NA,NA,610,865,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,47143,15:25:22,55522,NA,NA,633,881,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,51043,15:27:32,55652,NA,NA,599,843,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,57243,15:30:59,55859,NA,NA,629,886,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2022_CSEO_Dive_10_14-50-39.000.avi,10,58880,15:31:54,55914,NA,NA,613,868,0,0,QC,EricaEbert,115,N/A,2022,9,Line,Bad,poor visibility,BPV,BPV,1,AD,Passing,,,
