Dive,transect_length_m
1,991.4708954
2,978.7734723
3,933.9228617
4,1023.221632
5,981.9181769
6,1003.244331
7,999.6514198
8,989.7533834
9,346.0551024
10,295.5954387
11,653.3264573
12,501.3583427
13,980.8534802
14,802.9251137
15,1011.685607
16,1002.295111
17,976.5705145
18,986.8743655
19,34.44882657
20,991.2986508
21,993.9351406
22,1004.705728
23,1002.401148
24,1003.792652
25,995.3880157
26,982.6178943
27,1004.713782
28,952.7510966
29,986.8269848
30,1013.287692
31,1002.647814
