"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r[1]",0.018,0.019,0,0.013,0.064,FALSE,1,1.001,2938
"2","r[2]",0.026,0.025,0,0.019,0.093,FALSE,1,1.007,973
"3","r[3]",0.016,0.015,0,0.013,0.054,FALSE,1,1.001,3000
"4","r[4]",0.014,0.015,0,0.01,0.052,FALSE,1,1.002,1424
"5","K[1]",11493.795,4637.698,6285.821,10197.769,23353.526,FALSE,1,1,3000
"6","K[2]",5909.186,4538.481,1892.214,4395.93,18649.664,FALSE,1,1.007,1117
"7","K[3]",15902.882,5575.447,9563.511,14416.215,30558.68,FALSE,1,1,3000
"8","K[4]",13028.544,4966.625,7609.08,11669.55,26148.776,FALSE,1,1.001,3000
"9","phi[1]",0.733,0.246,0.263,0.743,1.13,FALSE,1,1,3000
"10","phi[2]",0.52,0.295,0.085,0.481,1.101,FALSE,1,1.001,1095
"11","phi[3]",0.799,0.224,0.358,0.82,1.136,FALSE,1,1,3000
"12","phi[4]",0.793,0.234,0.311,0.824,1.134,FALSE,1,1.001,2033
"13","bigphi",0.688,0.222,0.232,0.689,1.095,FALSE,1,1,3000
"14","R.hyp",0.027,0.027,0.001,0.019,0.111,FALSE,1,1,3000
"15","Kseo",46334.407,9997.224,30303.543,44991.742,68996.156,FALSE,1,1,3000
"16","sigma",0.056,0.017,0.019,0.058,0.081,FALSE,1,1.001,1196
"17","eta",232.073,328.18,1.437,103.457,1249.012,FALSE,1,1,3000
"18","rB1",4.604,7.985,0.029,1.67,28.952,FALSE,1,1.002,3000
"19","rB2",227.469,321.873,1.354,100.507,1229.52,FALSE,1,1,3000
"20","pi[1]",0.249,0.077,0.134,0.234,0.442,FALSE,1,1.001,2400
"21","pi[2]",0.125,0.079,0.04,0.101,0.345,FALSE,1,1.006,1044
"22","pi[3]",0.344,0.086,0.2,0.336,0.543,FALSE,1,1.001,3000
"23","pi[4]",0.282,0.08,0.158,0.271,0.479,FALSE,1,1,3000
"24","phiTau",1.665,1.764,0.507,1.177,5.68,FALSE,1,1.009,3000
"25","epsilon[1]",0.004,0.045,-0.083,0.004,0.088,TRUE,0.539,1.001,3000
"26","epsilon[2]",0.004,0.044,-0.084,0.004,0.088,TRUE,0.536,1,3000
"27","epsilon[3]",0.003,0.044,-0.086,0.002,0.087,TRUE,0.522,1,3000
"28","epsilon[4]",0.004,0.045,-0.085,0.004,0.089,TRUE,0.54,1.001,1836
"29","epsilon[5]",0.003,0.044,-0.084,0.004,0.087,TRUE,0.532,1.001,1640
"30","epsilon[6]",0.003,0.044,-0.083,0.003,0.087,TRUE,0.527,1,3000
"31","epsilon[7]",0.003,0.045,-0.084,0.003,0.088,TRUE,0.523,1.001,3000
"32","epsilon[8]",0.004,0.045,-0.084,0.005,0.089,TRUE,0.544,1,3000
"33","epsilon[9]",0.002,0.044,-0.082,0.003,0.087,TRUE,0.528,1,3000
"34","epsilon[10]",0.003,0.045,-0.086,0.003,0.088,TRUE,0.523,1,3000
"35","epsilon[11]",0.002,0.046,-0.087,0.001,0.09,TRUE,0.513,1,3000
"36","epsilon[12]",0.002,0.045,-0.086,0.001,0.089,TRUE,0.516,1,3000
"37","epsilon[13]",0.003,0.044,-0.081,0.002,0.089,TRUE,0.52,1,3000
"38","epsilon[14]",0.002,0.045,-0.085,0.002,0.086,TRUE,0.519,1.002,979
"39","epsilon[15]",0.011,0.044,-0.075,0.012,0.091,TRUE,0.608,1.001,2865
"40","epsilon[16]",0.004,0.044,-0.083,0.005,0.087,TRUE,0.545,1,3000
"41","epsilon[17]",0.005,0.044,-0.082,0.006,0.088,TRUE,0.558,1,3000
"42","epsilon[18]",0.005,0.045,-0.081,0.005,0.088,TRUE,0.541,1,3000
"43","epsilon[19]",-0.022,0.042,-0.093,-0.024,0.07,TRUE,0.702,1,3000
"44","epsilon[20]",-0.021,0.042,-0.092,-0.022,0.068,TRUE,0.697,1,3000
"45","epsilon[21]",-0.025,0.041,-0.094,-0.026,0.059,TRUE,0.729,1,3000
"46","epsilon[22]",-0.018,0.043,-0.093,-0.019,0.07,TRUE,0.67,1,3000
"47","epsilon[23]",-0.007,0.043,-0.088,-0.007,0.08,TRUE,0.571,1,2923
"48","epsilon[24]",-0.016,0.042,-0.091,-0.017,0.071,TRUE,0.654,1,3000
"49","epsilon[25]",-0.023,0.041,-0.094,-0.025,0.067,TRUE,0.718,1,3000
"50","epsilon[26]",-0.041,0.037,-0.097,-0.045,0.04,TRUE,0.856,1,3000
