"","Subd","Above_Bmsy_now","Above_Bmsy_future","Pop_inc_future"
"1","EYKT",0.615,0.495333333333333,0.439666666666667
"2","NSEO",0.334333333333333,0.447666666666667,0.598
"3","CSEO",0.528,0.487666666666667,0.491
"4","SSEO",0.756333333333333,0.531333333333333,0.351666666666667
"5","SEO",0.476,0.445333333333333,0.441666666666667
