"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","cv"
"1471","Bseo[1]",30906.363,5315.134,21758.349,30472.693,42884.186,FALSE,1,1.001,3000,0.171975395487331
"1472","Bseo[2]",30953.078,5205.906,21887.161,30489.877,42655.525,FALSE,1,1.002,2374,0.168187021659041
"1473","Bseo[3]",30959.32,5062.236,22145.804,30501.176,42218.578,FALSE,1,1.001,2055,0.163512506088635
"1474","Bseo[4]",30944.972,4942.175,22402.444,30596.566,41977.392,FALSE,1,1.002,1729,0.159708498039682
"1475","Bseo[5]",30873.655,4735.743,22574.314,30549.682,41362.65,FALSE,1,1.001,3000,0.153391070801303
"1476","Bseo[6]",30563.808,4580.639,22394.175,30181.088,40941.877,FALSE,1,1,3000,0.149871344565442
"1477","Bseo[7]",30141.004,4413.893,22196.645,29793.052,39675.089,FALSE,1,1,3000,0.146441472221695
"1478","Bseo[8]",29708.17,4204.48,22090.606,29372.698,38571.267,FALSE,1,1,3000,0.141526051587829
"1479","Bseo[9]",29011.653,4055,21738.483,28706.162,37585.774,FALSE,1,1,3000,0.139771422193696
"1480","Bseo[10]",28335.137,3880.095,21394.267,28087.008,36486.799,FALSE,1,1,3000,0.136935812239059
"1481","Bseo[11]",27933.934,3649.242,21240.423,27717.701,35652.661,FALSE,1,1,3000,0.130638312526979
"1482","Bseo[12]",27570.792,3453.496,21444.677,27378.845,34877.737,FALSE,1,1,3000,0.125259223601556
"1483","Bseo[13]",27108.614,3206.069,21366.207,26928.493,33910.169,FALSE,1,1,3000,0.118267536658274
"1484","Bseo[14]",26686.577,2990.517,21348.734,26512.044,33170.341,FALSE,1,1,3000,0.112060718765093
"1485","Bseo[15]",26161.658,2703.494,21378.841,25930.545,32037.95,FALSE,1,1,3000,0.10333802238375
"1486","Bseo[16]",25846.721,2596.745,21150.378,25713.917,31376.593,FALSE,1,1.001,3000,0.100467096000301
"1487","Bseo[17]",25704.22,2473.697,21208.021,25548.151,30941.62,FALSE,1,1.001,3000,0.0962369992164711
"1488","Bseo[18]",25372.225,2321.898,21017.01,25230.774,30294.548,FALSE,1,1,3000,0.091513377325008
"1489","Bseo[19]",25130.202,2219.279,20949.774,25030.216,29791.981,FALSE,1,1.001,3000,0.0883112280593686
"1490","Bseo[20]",24057.999,2050.251,20257.029,24027.284,28361.213,FALSE,1,1,3000,0.0852211773722328
"1491","Bseo[21]",23257.148,1970.63,19607.916,23198.988,27384.469,FALSE,1,1,3000,0.0847322294203915
"1492","Bseo[22]",22451.689,1891.076,18914.203,22387.299,26263.035,FALSE,1,1,3000,0.0842286742881571
"1493","Bseo[23]",21831.62,1825.173,18330.621,21775.111,25563.013,FALSE,1,1,3000,0.0836022704682474
"1494","Bseo[24]",21496.312,1788.628,18056.137,21448.223,25255.119,FALSE,1,1,3000,0.0832062727783259
"1495","Bseo[25]",20988.224,1721.759,17699.984,20935.763,24563.465,FALSE,1,1,3000,0.0820345256463815
"1496","Bseo[26]",20219.763,1621.254,17135.118,20185.463,23498.345,FALSE,1,1,3000,0.0801816519807873
"1497","Bseo[27]",19254.302,1552.247,16281.346,19224.113,22347.79,FALSE,1,1,3000,0.0806181911969595
"1498","Bseo[28]",18273.429,1459.275,15428.79,18244.657,21110.312,FALSE,1,1,3000,0.0798577541193829
"1499","Bseo[29]",17584.596,1403.794,14905.062,17564.981,20380.81,FALSE,1,1,3000,0.0798308929019467
"1500","Bseo[30]",17284.704,1355.525,14682.284,17269.861,20030.861,FALSE,1,1,3000,0.0784233852081008
"1501","Bseo[31]",16803.795,1298.653,14392.261,16779.334,19497.262,FALSE,1,1,3000,0.0772833160604495
"1502","Bseo[32]",16295.03,1238.317,13931.475,16278.806,18789.846,FALSE,1,1,3000,0.075993539134325
"1503","Bseo[33]",16026.034,1170.566,13837.594,15980.756,18444.061,FALSE,1,1,3000,0.073041527304884
"1504","Bseo[34]",15995.047,1165.077,13784.962,15972.065,18371.412,FALSE,1,1,3000,0.0728398609894676
"1505","Bseo[35]",16212.34,1156.307,14052.665,16193.698,18605.329,FALSE,1,1,3000,0.0713226468233457
"1506","Bseo[36]",16324.889,1103.701,14231.209,16282.143,18583.774,FALSE,1,1,3000,0.0676084841985756
"1507","Bseo[37]",16520.594,1069.038,14587.842,16490.548,18688.087,FALSE,1,1,3000,0.0647094166226711
"1508","Bseo[38]",16677.237,1066.174,14685.457,16639.545,18875.173,FALSE,1,1,3000,0.0639298943823848
"1509","Bseo[39]",17003.589,1048.812,15013.902,16957.537,19201.002,FALSE,1,1.001,3000,0.0616818014126312
"1510","Bseo[40]",17341.322,1176.12,15194.933,17301.323,19776.814,FALSE,1,1.001,1954,0.067821818890163
"1511","Bseo[41]",17758.067,1284.435,15396.796,17697.496,20429.117,FALSE,1,1.001,1719,0.0723296629075676
"1512","Bseo[42]",17916.913,1449.626,15297.589,17816.141,20963.336,FALSE,1,1.001,1155,0.0809082457452352
"1513","Bseo[43]",17929.618,1600,15068.772,17833.311,21395.172,FALSE,1,1.002,891,0.0892378186752222
"1514","Bseo[44]",17958.473,1826.43,14741.122,17848.24,21884.892,FALSE,1,1.002,947,0.101702967730051
"1515","Bseo[45]",17980.75,2055.223,14450.333,17808.782,22470.693,FALSE,1,1.002,859,0.114301294439887
"1516","Bseo[46]",17976.887,2240.407,14062.238,17822.271,22858.626,FALSE,1,1.002,756,0.124627083654695
"1517","Bseo[47]",17991.684,2409.665,13787.789,17782.069,23206.542,FALSE,1,1.002,879,0.133932154433126
"1518","Bseo[48]",17980.517,2605.226,13490.338,17766.733,23599.434,FALSE,1,1.001,1283,0.144891606843118
"1519","Bseo[49]",18001.702,2759.636,13243.333,17765.437,23949.622,FALSE,1,1.001,2023,0.153298615875321
"1520","Bseo[50]",18010.32,2916.234,13111.83,17734.857,24502.343,FALSE,1,1.001,1720,0.161920165771624
"1521","Bseo[51]",18038.497,3099.726,12733.313,17726.249,24999.905,FALSE,1,1.001,1802,0.171839483078884
