"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1348","CtoB[125]",0.013,0.001,0.011,0.013,0.016,FALSE,1,1,3000
"1349","CtoB[126]",0.015,0.002,0.012,0.015,0.019,FALSE,1,1.002,954
"1350","CtoB[127]",0.008,0.001,0.007,0.008,0.01,FALSE,1,1,3000
"1351","CtoB[128]",0.009,0.001,0.007,0.009,0.011,FALSE,1,1.003,660
"1352","CtoB[129]",0.01,0.001,0.008,0.01,0.013,FALSE,1,1.001,3000
"1353","CtoB[130]",0.01,0.001,0.008,0.01,0.013,FALSE,1,1,3000
"1354","CtoB[131]",0.011,0.002,0.009,0.011,0.015,FALSE,1,1.001,3000
"1355","CtoB[132]",0.011,0.001,0.009,0.011,0.014,FALSE,1,1,3000
"1356","CtoB[133]",0.006,0.001,0.005,0.006,0.008,FALSE,1,1.001,3000
"1357","CtoB[134]",0.008,0.002,0.006,0.008,0.012,FALSE,1,1.001,1653
"1358","CtoB[135]",0.008,0.006,0.004,0.006,0.025,FALSE,1,1.003,3000
"1359","CBtoK",0.459,0.13,0.234,0.448,0.745,FALSE,1,1.004,770
"1360","B1980",0.77,0.18,0.439,0.76,1.141,FALSE,1,1.001,3000
"1361","Stock.Status",1.149,0.325,0.585,1.119,1.862,FALSE,1,1.004,770
"1362","MSY",209.329,164.282,22.194,168.924,617.941,FALSE,1,1.018,668
"1363","Bmsy",16591.208,5085.487,9982.184,15615.191,29699.164,FALSE,1,1.008,1183
"1364","Fmsy",0.015,0.016,0.001,0.01,0.054,FALSE,1,1.036,411
"1365","Hmsy",0.015,0.016,0.001,0.01,0.054,FALSE,1,1.036,411
"1366","fit",-0.002,8.669,-16.407,0.216,17.444,TRUE,0.488,1,3000
"1367","subfit.new",-0.042,8.61,-16.911,-0.071,16.55,TRUE,0.504,1.001,3000
"1368","deviance",-1611.748,29.244,-1666.089,-1613.022,-1551.252,FALSE,1,1,3000
