DOL Year,CFEC Fishery Code,Gear Code and Name,Mgt Area,Whole Weight (sum)
2007,B06B,61 - Longline,CSEO,1792394.731
2007,B06B,61 - Longline,EYKT,2781137.399
2007,B06B,61 - Longline,NSEO,981149.7969
2007,B06B,61 - Longline,SSEO,1697249.327
2007,B61B,61 - Longline,CSEO,213534.5688
2007,B61B,61 - Longline,EYKT,208175.3467
2007,B61B,61 - Longline,NSEO,40220.9842
2007,B61B,61 - Longline,SSEO,82985.4176
2008,B06B,61 - Longline,CSEO,1345145.089
2008,B06B,61 - Longline,EYKT,2676538.233
2008,B06B,61 - Longline,NSEO,767894.058
2008,B06B,61 - Longline,SSEO,957304.2101
2008,B61B,61 - Longline,CSEO,153767.7123
2008,B61B,61 - Longline,EYKT,211914.6806
2008,B61B,61 - Longline,NSEO,31459.9626
2008,B61B,61 - Longline,SSEO,55600.976
2009,B06B,61 - Longline,CSEO,1042538.213
2009,B06B,61 - Longline,EYKT,2390112.697
2009,B06B,61 - Longline,NSEO,624529.9076
2009,B06B,61 - Longline,SSEO,732186.37
2009,B61B,61 - Longline,CSEO,68789.7764
2009,B61B,61 - Longline,EYKT,114630.9895
2009,B61B,61 - Longline,NSEO,22551.6947
2009,B61B,61 - Longline,SSEO,84349.7039
2010,B06B,61 - Longline,CSEO,948617.1011
2010,B06B,61 - Longline,EYKT,2289246.833
2010,B06B,61 - Longline,NSEO,553026.2086
2010,B06B,61 - Longline,SSEO,631440.4712
2010,B61B,61 - Longline,CSEO,53638.5975
2010,B61B,61 - Longline,EYKT,255550.365
2010,B61B,61 - Longline,NSEO,30828.3695
2010,B61B,61 - Longline,SSEO,39881.7842
2011,B06B,61 - Longline,CSEO,481437.8041
2011,B06B,61 - Longline,EYKT,1719140.901
2011,B06B,61 - Longline,NSEO,308399.2263
2011,B06B,61 - Longline,SSEO,277191.4335
2011,B61B,61 - Longline,CSEO,39167.456
2011,B61B,61 - Longline,EYKT,269694.7552
2011,B61B,61 - Longline,NSEO,13403.0054
2011,B61B,61 - Longline,SSEO,7484.6612
2012,B06B,61 - Longline,CSEO,528348.7137
2012,B06B,61 - Longline,EYKT,1543168.968
2012,B06B,61 - Longline,NSEO,366182.1576
2012,B06B,61 - Longline,SSEO,308794.0035
2012,B61B,61 - Longline,CSEO,46827.7494
2012,B61B,61 - Longline,EYKT,205528.8463
2012,B61B,61 - Longline,NSEO,30335.7486
2012,B61B,61 - Longline,SSEO,2513.6481
2013,B06B,61 - Longline,CSEO,553984.4281
2013,B06B,61 - Longline,EYKT,1419300.184
2013,B06B,61 - Longline,NSEO,371726.1437
2013,B06B,61 - Longline,SSEO,375688.4704
2013,B61B,61 - Longline,CSEO,65327.3817
2013,B61B,61 - Longline,EYKT,235999.7678
2013,B61B,61 - Longline,NSEO,16789.6476
2013,B61B,61 - Longline,SSEO,3248.3787
2014,B06B,61 - Longline,CSEO,699605.004
2014,B06B,61 - Longline,EYKT,1047330.551
2014,B06B,61 - Longline,NSEO,431489.5116
2014,B06B,61 - Longline,SSEO,358343.8253
2014,B61B,61 - Longline,CSEO,44123.7329
2014,B61B,61 - Longline,EYKT,138676.5195
2014,B61B,61 - Longline,NSEO,23566.6156
2014,B61B,61 - Longline,SSEO,2577.2347
2015,B06B,61 - Longline,CSEO,788621.1751
2015,B06B,61 - Longline,EYKT,1125348.065
2015,B06B,61 - Longline,NSEO,449691.2854
2015,B06B,61 - Longline,SSEO,375308.4614
2015,B61B,61 - Longline,CSEO,54619.4508
2015,B61B,61 - Longline,EYKT,100168.9363
2015,B61B,61 - Longline,NSEO,14320.4134
2015,B61B,61 - Longline,SSEO,7350.392
2016,B06B,61 - Longline,CSEO,715102.2272
2016,B06B,61 - Longline,EYKT,1073167.489
2016,B06B,61 - Longline,NSEO,421635.0822
2016,B06B,61 - Longline,SSEO,372798.1317
2016,B61B,61 - Longline,CSEO,64272.1066
2016,B61B,61 - Longline,EYKT,185527.2232
2016,B61B,61 - Longline,NSEO,27847.1441
2016,B61B,61 - Longline,SSEO,941.4613
2017,B06B,61 - Longline,CSEO,899861.039
2017,B06B,61 - Longline,EYKT,1250587.381
2017,B06B,61 - Longline,NSEO,435935.6782
2017,B06B,61 - Longline,SSEO,447499.0729
2017,B61B,61 - Longline,CSEO,62543.208
2017,B61B,61 - Longline,EYKT,222419.8623
2017,B61B,61 - Longline,NSEO,35906.808
2017,B61B,61 - Longline,SSEO,4826.304
2018,B06B,61 - Longline,CSEO,741221.3982
2018,B06B,61 - Longline,EYKT,1133918.294
2018,B06B,61 - Longline,NSEO,342261.137
2018,B06B,61 - Longline,SSEO,408143.6334
2018,B61B,61 - Longline,CSEO,21369.096
2018,B61B,61 - Longline,EYKT,187743.665
2018,B61B,61 - Longline,NSEO,17998.7976
2018,B61B,61 - Longline,SSEO,15202.152
2019,B06B,61 - Longline,CSEO,676510.6249
2019,B06B,61 - Longline,EYKT,1238898.734
2019,B06B,61 - Longline,NSEO,453372.4006
2019,B06B,61 - Longline,SSEO,386651.0965
2019,B61B,61 - Longline,CSEO,4798.08
2019,B61B,61 - Longline,EYKT,196685.8448
2019,B61B,61 - Longline,NSEO,10115.952
2019,B61B,61 - Longline,SSEO,11498.34
2020,B06B,61 - Longline,CSEO,631205.398
2020,B06B,61 - Longline,EYKT,1060291.649
2020,B06B,61 - Longline,NSEO,488187.2402
2020,B06B,61 - Longline,SSEO,357816.9838
2020,B61B,61 - Longline,CSEO,18182.136
2020,B61B,61 - Longline,EYKT,165962.8824
2020,B61B,61 - Longline,NSEO,2745.96
2020,B61B,61 - Longline,SSEO,19098.24
2021,B06B,61 - Longline,CSEO,599273.9843
2021,B06B,61 - Longline,EYKT,1592173.248
