Year,species,mgmt_area,total_lbs
1995,145,SSEI,44595.00
1996,145,SSEI,45878.00
1997,145,SSEI,47273.00
1998,145,SSEI,48793.00
1980,145,SSEO,11222.00
1981,145,SSEO,11313.00
1982,145,SSEO,11418.00
1983,145,SSEO,11538.00
1984,145,SSEO,11675.00
1985,145,SSEO,11831.00
1986,145,SSEO,12011.00
1987,145,SSEO,12216.00
1988,145,SSEO,12451.00
1989,145,SSEO,12719.00
1990,145,SSEO,13027.00
1991,145,SSEO,13378.00
1992,145,SSEO,13781.00
1993,145,SSEO,14241.00
1994,145,SSEO,14767.00
1995,145,SSEO,15370.00
1996,145,SSEO,16059.00
1997,145,SSEO,16847.00
1998,145,SSEO,17752.00
