Year,species,mgmt_area,total_lbs
1985,142,CSEO,28778.00
1986,142,CSEO,29115.00
1987,142,CSEO,29518.00
1988,142,CSEO,30000.00
1989,142,CSEO,30579.00
1990,142,CSEO,31271.00
1991,142,CSEO,32099.00
1992,142,CSEO,33092.00
1993,142,CSEO,34280.00
1994,142,CSEO,35703.00
1995,142,CSEO,37406.00
1996,142,CSEO,39446.00
1997,142,CSEO,41888.00
1998,142,CSEO,44813.00
1985,142,EYKT,6011.00
1986,142,EYKT,6142.00
1987,142,EYKT,6283.00
1988,142,EYKT,6433.00
1989,142,EYKT,6594.00
1990,142,EYKT,6767.00
1991,142,EYKT,6951.00
1992,142,EYKT,7149.00
1993,142,EYKT,7361.00
1994,142,EYKT,7588.00
1995,142,EYKT,7830.00
1996,142,EYKT,8090.00
1997,142,EYKT,8368.00
1998,142,EYKT,8666.00
1985,142,NSEI,19363.00
1986,142,NSEI,19596.00
1987,142,NSEI,19847.00
1988,142,NSEI,20117.00
1989,142,NSEI,20407.00
1990,142,NSEI,20719.00
1991,142,NSEI,21054.00
1992,142,NSEI,21415.00
1993,142,NSEI,21804.00
1994,142,NSEI,22221.00
1995,142,NSEI,22671.00
1996,142,NSEI,23154.00
1997,142,NSEI,23674.00
1998,142,NSEI,24233.00
1985,142,NSEO,7846.00
1986,142,NSEO,7928.00
1987,142,NSEO,8016.00
1988,142,NSEO,8111.00
1989,142,NSEO,8214.00
1990,142,NSEO,8324.00
1991,142,NSEO,8444.00
1992,142,NSEO,8573.00
1993,142,NSEO,8713.00
1994,142,NSEO,8863.00
1995,142,NSEO,9025.00
1996,142,NSEO,9201.00
1997,142,NSEO,9390.00
1998,142,NSEO,9594.00
1985,142,SSEI,18679.00
1986,142,SSEI,18949.00
1987,142,SSEI,19249.00
1988,142,SSEI,19582.00
1989,142,SSEI,19952.00
1990,142,SSEI,20364.00
1991,142,SSEI,20820.00
1992,142,SSEI,21328.00
1993,142,SSEI,21892.00
1994,142,SSEI,22518.00
1995,142,SSEI,23214.00
1996,142,SSEI,23986.00
1997,142,SSEI,24845.00
1998,142,SSEI,25799.00
1985,142,SSEO,19910.00
1986,142,SSEO,20080.00
1987,142,SSEO,20279.00
1988,142,SSEO,20509.00
1989,142,SSEO,20779.00
1990,142,SSEO,21093.00
1991,142,SSEO,21459.00
1992,142,SSEO,21885.00
1993,142,SSEO,22383.00
1994,142,SSEO,22963.00
1995,142,SSEO,23639.00
1996,142,SSEO,24427.00
1997,142,SSEO,25346.00
1998,142,SSEO,26417.00
1999,142,CSEO,21665.00
2000,142,CSEO,29093.00
2001,142,CSEO,22024.00
2002,142,CSEO,26376.00
2003,142,CSEO,33333.00
2004,142,CSEO,45659.00
2005,142,CSEO,58843.00
2006,142,CSEO,93907.00
2007,142,CSEO,87622.00
2008,142,CSEO,133354.00
2009,142,CSEO,92010.00
2010,142,CSEO,119740.00
2011,142,CSEO,169893.00
2012,142,CSEO,138301.00
2013,142,CSEO,156769.00
2014,142,CSEO,182614.00
2015,142,CSEO,211820.00
2016,142,CSEO,139654.00
2017,142,CSEO,166472.00
2018,142,CSEO,153228.00
2019,142,CSEO,170691.00
2020,142,CSEO,82986.00
2021,142,CSEO,175746.00
1999,142,EYKT,3377.00
2000,142,EYKT,6419.00
2001,142,EYKT,5776.00
2002,142,EYKT,5369.00
2003,142,EYKT,7826.00
2004,142,EYKT,7447.00
2005,142,EYKT,8777.00
2006,142,EYKT,11966.00
2007,142,EYKT,11335.00
2008,142,EYKT,13983.00
2009,142,EYKT,11697.00
2010,142,EYKT,10210.00
2011,142,EYKT,14378.00
2012,142,EYKT,12737.00
2013,142,EYKT,15939.00
2014,142,EYKT,20090.00
2015,142,EYKT,27814.00
2016,142,EYKT,32856.00
2017,142,EYKT,26399.00
2018,142,EYKT,35653.00
2019,142,EYKT,36392.00
2020,142,EYKT,24077.00
2021,142,EYKT,38310.00
1999,142,NSEI,14745.00
2000,142,NSEI,20549.00
2001,142,NSEI,14645.00
2002,142,NSEI,11737.00
2003,142,NSEI,13672.00
2004,142,NSEI,12579.00
2005,142,NSEI,16550.00
2006,142,NSEI,19875.00
2007,142,NSEI,13576.00
2008,142,NSEI,24103.00
2009,142,NSEI,18207.00
2010,142,NSEI,26416.00
2011,142,NSEI,21214.00
2012,142,NSEI,33281.00
2013,142,NSEI,23980.00
2014,142,NSEI,34153.00
2015,142,NSEI,30856.00
2016,142,NSEI,24858.00
2017,142,NSEI,34537.00
2018,142,NSEI,26617.00
2019,142,NSEI,44713.00
2020,142,NSEI,29083.00
2021,142,NSEI,39230.00
1999,142,NSEO,2960.00
2000,142,NSEO,7899.00
2001,142,NSEO,7025.00
2002,142,NSEO,5020.00
2003,142,NSEO,7989.00
2004,142,NSEO,6841.00
2005,142,NSEO,7307.00
2006,142,NSEO,6347.00
2007,142,NSEO,13045.00
2008,142,NSEO,13969.00
2009,142,NSEO,6873.00
2010,142,NSEO,12488.00
2011,142,NSEO,18487.00
2012,142,NSEO,25040.00
2013,142,NSEO,19473.00
2014,142,NSEO,39805.00
2015,142,NSEO,22436.00
2016,142,NSEO,14810.00
2017,142,NSEO,39280.00
2018,142,NSEO,43649.00
2019,142,NSEO,52875.00
2020,142,NSEO,27584.00
2021,142,NSEO,39348.00
1999,142,SSEI,15361.00
2000,142,SSEI,21175.00
2001,142,SSEI,18063.00
2002,142,SSEI,16286.00
2003,142,SSEI,21906.00
2004,142,SSEI,20808.00
2005,142,SSEI,23789.00
2006,142,SSEI,25678.00
2007,142,SSEI,25538.00
2008,142,SSEI,32881.00
2009,142,SSEI,23807.00
2010,142,SSEI,36329.00
2011,142,SSEI,37421.00
2012,142,SSEI,35163.00
2013,142,SSEI,46815.00
2014,142,SSEI,44386.00
2015,142,SSEI,44432.00
2016,142,SSEI,52436.00
2017,142,SSEI,54076.00
2018,142,SSEI,87438.00
2019,142,SSEI,98835.00
2020,142,SSEI,48963.00
2021,142,SSEI,97386.00
1999,142,SSEO,11726.00
2000,142,SSEO,15725.00
2001,142,SSEO,13089.00
2002,142,SSEO,21181.00
2003,142,SSEO,17798.00
2004,142,SSEO,25213.00
2005,142,SSEO,32921.00
2006,142,SSEO,22461.00
2007,142,SSEO,29419.00
2008,142,SSEO,54299.00
2009,142,SSEO,28973.00
2010,142,SSEO,34556.00
2011,142,SSEO,40813.00
2012,142,SSEO,50275.00
2013,142,SSEO,50824.00
2014,142,SSEO,50018.00
2015,142,SSEO,68546.00
2016,142,SSEO,66685.00
2017,142,SSEO,67093.00
2018,142,SSEO,99038.00
2019,142,SSEO,84687.00
2020,142,SSEO,64625.00
2021,142,SSEO,115010.00
1999,145,CSEO,31921.00
2000,145,CSEO,50500.00
2001,145,CSEO,49689.00
2002,145,CSEO,42365.00
2003,145,CSEO,43423.00
2004,145,CSEO,55435.00
2005,145,CSEO,67522.00
2006,145,CSEO,93891.00
2007,145,CSEO,90259.00
2008,145,CSEO,82097.00
2009,145,CSEO,55590.00
2010,145,CSEO,64009.00
2011,145,CSEO,47312.00
2012,145,CSEO,45834.00
2013,145,CSEO,36806.00
2014,145,CSEO,37940.00
2015,145,CSEO,44816.00
2016,145,CSEO,47802.00
2017,145,CSEO,56090.00
2018,145,CSEO,41108.00
2019,145,CSEO,44122.00
2020,145,CSEO,3251.00
2021,145,CSEO,4871.00
1999,145,EYKT,230.00
2000,145,EYKT,321.00
2001,145,EYKT,396.00
2002,145,EYKT,309.00
2003,145,EYKT,1001.00
2004,145,EYKT,790.00
2005,145,EYKT,605.00
2006,145,EYKT,1237.00
2007,145,EYKT,843.00
2008,145,EYKT,1463.00
2009,145,EYKT,645.00
2010,145,EYKT,979.00
2011,145,EYKT,1072.00
2012,145,EYKT,1159.00
2013,145,EYKT,489.00
2014,145,EYKT,1046.00
2015,145,EYKT,1611.00
2016,145,EYKT,2974.00
2017,145,EYKT,1860.00
2018,145,EYKT,2706.00
2019,145,EYKT,1351.00
2020,145,EYKT,191.00
2021,145,EYKT,266.00
1999,145,NSEI,20289.00
2000,145,NSEI,28129.00
2001,145,NSEI,20562.00
2002,145,NSEI,15003.00
2003,145,NSEI,19056.00
2004,145,NSEI,17490.00
2005,145,NSEI,21228.00
2006,145,NSEI,24174.00
2007,145,NSEI,22386.00
2008,145,NSEI,24384.00
2009,145,NSEI,19702.00
2010,145,NSEI,20272.00
2011,145,NSEI,19307.00
2012,145,NSEI,14410.00
2013,145,NSEI,12015.00
2014,145,NSEI,13248.00
2015,145,NSEI,12242.00
2016,145,NSEI,15253.00
2017,145,NSEI,17820.00
2018,145,NSEI,20106.00
2019,145,NSEI,20249.00
2020,145,NSEI,1215.00
2021,145,NSEI,1194.00
1999,145,NSEO,4583.00
2000,145,NSEO,10450.00
2001,145,NSEO,10366.00
2002,145,NSEO,9296.00
2003,145,NSEO,11161.00
2004,145,NSEO,12313.00
2005,145,NSEO,11390.00
2006,145,NSEO,16707.00
2007,145,NSEO,18715.00
2008,145,NSEO,12791.00
2009,145,NSEO,7538.00
2010,145,NSEO,10922.00
2011,145,NSEO,8934.00
2012,145,NSEO,9611.00
2013,145,NSEO,7562.00
2014,145,NSEO,9228.00
2015,145,NSEO,10868.00
2016,145,NSEO,6370.00
2017,145,NSEO,10934.00
2018,145,NSEO,13111.00
2019,145,NSEO,10265.00
2020,145,NSEO,922.00
2021,145,NSEO,932.00
1999,145,SSEI,40518.00
2000,145,SSEI,65992.00
2001,145,SSEI,52121.00
2002,145,SSEI,48173.00
2003,145,SSEI,56272.00
2004,145,SSEI,58575.00
2005,145,SSEI,77037.00
2006,145,SSEI,90280.00
2007,145,SSEI,79557.00
2008,145,SSEI,73576.00
2009,145,SSEI,47106.00
2010,145,SSEI,74686.00
2011,145,SSEI,70579.00
2012,145,SSEI,83012.00
2013,145,SSEI,69004.00
2014,145,SSEI,64322.00
2015,145,SSEI,64161.00
2016,145,SSEI,80952.00
2017,145,SSEI,81209.00
2018,145,SSEI,89135.00
2019,145,SSEI,139824.00
2020,145,SSEI,5575.00
2021,145,SSEI,5847.00
1999,145,SSEO,19790.00
2000,145,SSEO,28330.00
2001,145,SSEO,22562.00
2002,145,SSEO,28092.00
2003,145,SSEO,26540.00
2004,145,SSEO,34109.00
2005,145,SSEO,43195.00
2006,145,SSEO,51248.00
2007,145,SSEO,40441.00
2008,145,SSEO,45207.00
2009,145,SSEO,21954.00
2010,145,SSEO,33767.00
2011,145,SSEO,20313.00
2012,145,SSEO,25809.00
2013,145,SSEO,27322.00
2014,145,SSEO,19323.00
2015,145,SSEO,23957.00
2016,145,SSEO,25172.00
2017,145,SSEO,22354.00
2018,145,SSEO,33572.00
2019,145,SSEO,46123.00
2020,145,SSEO,900.00
2021,145,SSEO,1049.00
1980,145,CSEO,12021.00
1981,145,CSEO,12342.00
1982,145,CSEO,12698.00
1983,145,CSEO,13094.00
1984,145,CSEO,13535.00
1985,145,CSEO,14024.00
1986,145,CSEO,14567.00
1987,145,CSEO,15172.00
1988,145,CSEO,15843.00
1989,145,CSEO,16589.00
1990,145,CSEO,17418.00
1991,145,CSEO,18339.00
1992,145,CSEO,19363.00
1993,145,CSEO,20500.00
1994,145,CSEO,21764.00
1995,145,CSEO,23169.00
1996,145,CSEO,24730.00
1997,145,CSEO,26464.00
1998,145,CSEO,28389.00
1980,145,EYKT,376.00
1981,145,EYKT,396.00
1982,145,EYKT,418.00
1983,145,EYKT,441.00
1984,145,EYKT,466.00
1985,145,EYKT,493.00
1986,145,EYKT,523.00
1987,145,EYKT,555.00
1988,145,EYKT,589.00
1989,145,EYKT,626.00
1990,145,EYKT,667.00
1991,145,EYKT,710.00
1992,145,EYKT,758.00
1993,145,EYKT,809.00
1994,145,EYKT,864.00
1995,145,EYKT,924.00
1996,145,EYKT,989.00
1997,145,EYKT,1059.00
1998,145,EYKT,1131.00
1980,145,NSEI,15676.00
1981,145,NSEI,15856.00
1982,145,NSEI,16043.00
1983,145,NSEI,16237.00
1984,145,NSEI,16439.00
1985,145,NSEI,16649.00
1986,145,NSEI,16867.00
1987,145,NSEI,17094.00
1988,145,NSEI,17330.00
1989,145,NSEI,17576.00
1990,145,NSEI,17832.00
1991,145,NSEI,18097.00
1992,145,NSEI,18374.00
1993,145,NSEI,18661.00
1994,145,NSEI,18960.00
1995,145,NSEI,19271.00
1996,145,NSEI,19594.00
1997,145,NSEI,19930.00
1998,145,NSEI,20280.00
1980,145,NSEO,3738.00
1981,145,NSEO,3785.00
1982,145,NSEO,3838.00
1983,145,NSEO,3896.00
1984,145,NSEO,3960.00
1985,145,NSEO,4031.00
1986,145,NSEO,4109.00
1987,145,NSEO,4196.00
1988,145,NSEO,4291.00
1989,145,NSEO,4396.00
1990,145,NSEO,4511.00
1991,145,NSEO,4639.00
1992,145,NSEO,4780.00
1993,145,NSEO,4935.00
1994,145,NSEO,5107.00
1995,145,NSEO,5296.00
1996,145,NSEO,5505.00
1997,145,NSEO,5735.00
1998,145,NSEO,5987.00
1980,145,SSEI,34148.00
1981,145,SSEI,34509.00
1982,145,SSEI,34902.00
1983,145,SSEI,35329.00
1984,145,SSEI,35794.00
1985,145,SSEI,36300.00
1986,145,SSEI,36851.00
1987,145,SSEI,37451.00
1988,145,SSEI,38103.00
1989,145,SSEI,38812.00
1990,145,SSEI,39585.00
1991,145,SSEI,40425.00
1992,145,SSEI,41339.00
1993,145,SSEI,42334.00
1994,145,SSEI,43417.00
