Year,IPHC Regulatory Area,IPHC Statistical Area,Pacific halibut Net wt (t),Pacific halibut Net wt (000 lbs),"IPHC Stat Area, 1929-1975","IPHC Region 2, 1929-1975",POW,"Total Catch (US Tons, Round Weight)"
2021,2A,8,1.9,4.1887837,0,0,0,2.78553737
2021,2A,9,13.3,29.3214859,0,0,0,19.49876159
2021,2A,10,38.9,85.7598347,0,0,0,57.03021247
2021,2A,20,33.4,73.6344082,0,0,0,48.96681482
2021,2A,30,5.9,13.0072757,0,0,0,8.64982657
2021,2A,40,17.6,38.8013648,0,0,0,25.80287248
2021,2A,50,179.4,395.5093662,0,0,0,263.0133706
2021,2B,60,64.9,143.0800327,0,0,0,95.14809227
2021,2B,70,42.3,93.2555529,0,0,0,62.01485829
2021,2B,80,79.1,174.3856793,0,0,0,115.9663189
2021,2B,90,59,130.072757,0,0,0,86.4982657
2021,2B,91,236.3,520.9524149,0,0,0,346.4328845
2021,2B,92,2.3,5.0706329,0,0,0,3.37196629
2021,2B,100,141.1,311.0723053,0,0,0,206.8628015
2021,2B,102,264.5,583.1227835,0,0,0,387.7761234
2021,2B,103,5.3,11.6845019,0,0,0,7.77018319
2021,2B,110,11.7,25.7940891,0,0,0,17.15304591
2021,2B,112,288.4,635.8132732,0,0,0,422.8152513
2021,2B,114,28.8,63.4931424,0,0,0,42.22288224
2021,2B,120,10.1,22.2666923,0,0,0,14.80733023
2021,2B,121,33.6,74.0753328,0,0,0,49.26002928
2021,2B,122,6.6,14.5505118,0,0,0,9.67607718
2021,2B,130,97.5,214.9507425,0,0,0,142.9420493
2021,2B,131,241.8,533.0778414,0,0,0,354.4962821
2021,2B,132,166.7,367.5106541,0,0,0,244.3942524
2021,2B,133,204.9,451.7272527,0,0,0,300.3982143
2021,2B,134,32,70.547936,0,0,0,46.9143136
2021,2B,135,282.5,622.8059975,0,0,0,414.1654248
2021,2C,140,6.9,15.2118987,14-O,SE-O,0,10.11589887
2021,2C,141,0.2,0.4409246,14-I,SE-I,0,0.29321446
2021,2C,142,28.5,62.8317555,14-I,SE-I,0,41.78306055
2021,2C,143,15.3,33.7307319,14-I,SE-I,0,22.43090619
2021,2C,144,11.2,24.6917776,14-I,SE-I,0,16.42000976
2021,2C,150,47.3,104.2786679,15-O,SE-O,0,69.34521979
2021,2C,151,142.3,313.7178529,15-I,SE-I,0,208.6220883
2021,2C,152,100.6,221.7850738,15-I,SE-I,0,147.4868734
2021,2C,153,14.6,32.1874958,15-I,SE-I,0,21.40465558
2021,2C,160,175.6,387.1317988,16-O,SE-O,0,257.4422959
2021,2C,161,94.3,207.8959489,16-I,SE-I,0,138.2506179
2021,2C,162,339,747.367197,16-I,SE-I,0,496.9985097
2021,2C,163,31.4,69.2251622,16-I,SE-I,0,46.03467022
2021,2C,170,96.9,213.6279687,17-O,SE-O,0,142.0624059
2021,2C,171,47.6,104.9400548,17-I,SE-I,0,69.78504148
2021,2C,173,19.6,43.2106108,17-I,SE-I,0,28.73501708
2021,2C,174,11.4,25.1327022,17-I,SE-I,0,16.71322422
2021,2C,181,201.8,444.8929214,18S-O,SE-O,0,295.8533901
2021,2C,182,80.7,177.9130761,183-I,SE-I,0,118.3120346
2021,2C,183,3.4,7.4957182,183-I,SE-I,0,4.98464582
2021,2C,184,35.8,78.9255034,183-I,SE-I,0,52.48538834
2021,3A,185,473.2,1043.227604,18W,Yakutat,0,693.7454124
2021,3A,190,196.3,432.7674949,19,Yakutat,0,287.7899925
2021,3A,200,457,1007.512711,20,Yakutat,0,669.9950411
2021,3A,210,252.8,557.3286944,21,Yakutat,0,370.6230774
2021,3A,220,256.2,564.8244126,22,Yakutat,0,375.6077233
2021,3A,230,200.9,442.9087607,23,Yakutat,POW-O,294.5339251
2021,3A,232,137.2,302.4742756,23,Yakutat,POW-I,201.1451196
2021,3A,240,209.8,462.5299054,24,Kodiak,POW-O,307.5819685
2021,3A,242,345.5,761.6972465,24,Kodiak,POW-I,506.5279797
2021,3A,250,229.8,506.6223654,25,Kodiak,0,336.9034145
2021,3A,260,196.2,432.5470326,26,Kodiak,0,287.6433853
2021,3A,261,171.2,377.4314576,26,Kodiak,0,250.9915778
2021,3A,270,368.9,813.2854247,27,Kodiak,0,540.8340715
2021,3A,271,131.6,290.1283868,27,Kodiak,0,192.9351147
2021,3A,280,253.4,558.6514682,28,Kodiak,0,371.5027208
2021,3A,281,48.6,107.1446778,28,Kodiak,0,71.25111378
2021,3B,290,624,1375.684752,29,Chirikof,0,914.8291152
2021,3B,300,129.2,284.8372916,30,Chirikof,0,189.4165412
2021,3B,310,51.8,114.1994714,31,Chirikof,0,75.94254514
2021,3B,320,112.5,248.0200875,32,Shumagin,0,164.9331338
2021,3B,330,87.2,192.2431256,33,Shumagin,0,127.8415046
2021,3B,340,74.8,164.9058004,34,Shumagin,0,109.662208
2021,4A,350,121.5,267.8616945,35,Shumagin,0,178.1277845
2021,4A,360,194.7,429.2400981,36,Shumagin,0,285.4442768
2021,4A,370,55.2,121.6951896,37,Shumagin,0,80.92719096
2021,4A,380,19.5,42.9901485,38,Shumagin,0,28.58840985
2021,4A,390/395,9.2,20.2825316,39,Aleutian,0,13.48786516
2021,4A,Bering Sea,247.9,546.5260417,4A,Bering Sea,0,363.4393232
2021,4B,400,34.1,75.1776443,40,Aleutian,0,49.99306543
2021,4B,410,16.7,36.8172041,41,Aleutian,0,24.48340741
2021,4B,420,29.9,65.9182277,42+,Aleutian,0,43.83556177
2021,4B,430,23.9,52.6904897,42+,Aleutian,0,35.03912797
2021,4B,440/480/490/500,73.7,162.4807151,42+,Aleutian,0,108.0495285
2021,4BCDE,Bering Sea,791.5,1744.959105,4A,Bering Sea,0,1160.396225
2020,2A,007/008/009,20.5,45.1947715,0,0,0,30.05448215
2020,2A,10,19,41.887837,0,0,0,27.8553737
2020,2A,20,49,108.026527,0,0,0,71.8375427
2020,2A,30,15.8,34.8330434,0,0,0,23.16394234
2020,2A,40,16.3,35.9353549,0,0,0,23.89697849
2020,2A,50,240.5,530.2118315,0,0,0,352.5903882
2020,2B,60,84.7,186.7315681,0,0,0,124.1763238
2020,2B,70,65.1,143.5209573,0,0,0,95.44130673
2020,2B,080/081,85.3,188.0543419,0,0,0,125.0559672
2020,2B,90,50,110.23115,0,0,0,73.303615
2020,2B,91,77,169.755971,0,0,0,112.8875671
2020,2B,92,13.3,29.3214859,0,0,0,19.49876159
2020,2B,100,154.6,340.8347158,0,0,0,226.6547776
2020,2B,102,361.3,796.5302899,0,0,0,529.691922
2020,2B,103,10.2,22.4871546,0,0,0,14.95393746
2020,2B,110,14.6,32.1874958,0,0,0,21.40465558
2020,2B,112,339.2,747.8081216,0,0,0,497.2917242
2020,2B,114,25,55.115575,0,0,0,36.6518075
2020,2B,120,9.9,21.8257677,0,0,0,14.51411577
2020,2B,121,33.6,74.0753328,0,0,0,49.26002928
2020,2B,122,9.9,21.8257677,0,0,0,14.51411577
2020,2B,130,156.4,344.8030372,0,0,0,229.2937077
2020,2B,131,183.7,404.9892451,0,0,0,269.3174815
2020,2B,132,210.8,464.7345284,0,0,0,309.0480408
2020,2B,133,115.8,255.2953434,0,0,0,169.7711723
2020,2B,134,24.9,54.8951127,0,0,0,36.50520027
2020,2B,135,189.8,418.4374454,0,0,0,278.2605225
2020,2C,140,13.9,30.6442597,14-O,SE-O,0,20.37840497
2020,2C,141,4.9,10.8026527,14-I,SE-I,0,7.18375427
2020,2C,142,24.9,54.8951127,14-I,SE-I,0,36.50520027
2020,2C,143,28.9,63.7136047,14-I,SE-I,0,42.36948947
2020,2C,144,4.1,9.0389543,14-I,SE-I,0,6.01089643
2020,2C,150,81.3,179.2358499,15-O,SE-O,0,119.191678
2020,2C,151,106.7,235.2332741,15-I,SE-I,0,156.4299144
2020,2C,152,97.3,214.5098179,15-I,SE-I,0,142.6488348
2020,2C,153,24.5,54.0132635,15-I,SE-I,0,35.91877135
2020,2C,160,162.9,359.1330867,16-O,SE-O,0,238.8231777
2020,2C,161,83.9,184.9678697,16-I,SE-I,0,123.003466
2020,2C,162,321.4,708.5658322,16-I,SE-I,0,471.1956372
2020,2C,163,23.1,50.9267913,16-I,SE-I,0,33.86627013
2020,2C,170,116.2,256.1771926,17-O,SE-O,0,170.3576013
2020,2C,171,52,114.640396,17-I,SE-I,0,76.2357596
2020,2C,173,10.7,23.5894661,17-I,SE-I,0,15.68697361
2020,2C,174,7.5,16.5346725,17-I,SE-I,0,10.99554225
2020,2C,181,162.3,357.8103129,18S-O,SE-O,0,237.9435343
2020,2C,182,93.2,205.4708636,183-I,SE-I,0,136.6379384
2020,2C,183,9.1,20.0620693,183-I,SE-I,0,13.34125793
2020,2C,184,38.2,84.2165986,183-I,SE-I,0,56.00396186
2020,3A,185,352.2,776.4682206,18W,Yakutat,0,516.3506641
2020,3A,190,136.7,301.3719641,19,Yakutat,0,200.4120834
2020,3A,200,335.4,739.4305542,20,Yakutat,0,491.7206494
2020,3A,210,228.6,503.9768178,21,Yakutat,0,335.1441278
2020,3A,220,246,542.337258,22,Yakutat,0,360.6537858
2020,3A,230,116.2,256.1771926,23,Yakutat,POW-O,170.3576013
2020,3A,232,49.3,108.6879139,23,Yakutat,POW-I,72.27736439
2020,3A,240,150.3,331.3548369,24,Kodiak,POW-O,220.3506667
2020,3A,242,248.2,547.1874286,24,Kodiak,POW-I,363.8791449
2020,3A,250,225.6,497.3629488,25,Kodiak,0,330.7459109
2020,3A,260,226.8,500.0084964,26,Kodiak,0,332.5051976
2020,3A,261,143.8,317.0247874,26,Kodiak,0,210.8211967
2020,3A,270,280.3,617.9558269,27,Kodiak,0,410.9400657
2020,3A,271,138,304.237974,27,Kodiak,0,202.3179774
2020,3A,280,178,392.422894,28,Kodiak,0,260.9608694
2020,3A,281,28.7,63.2726801,28,Kodiak,0,42.07627501
2020,3B,290,611.8,1348.788351,29,Chirikof,0,896.9430331
2020,3B,300,110.4,243.3903792,30,Chirikof,0,161.8543819
2020,3B,310,53.4,117.7268682,31,Chirikof,0,78.28826082
2020,3B,320,117.2,258.3818156,32,Shumagin,0,171.8236736
2020,3B,330,69.5,153.2212985,33,Shumagin,0,101.8920249
2020,3B,340,60.8,134.0410784,34,Shumagin,0,89.13719584
2020,4A,350,81,178.574463,35,Shumagin,0,118.7518563
2020,4A,360,114.3,251.9884089,36,Shumagin,0,167.5720639
2020,4A,370,22.2,48.9426306,37,Shumagin,0,32.54680506
2020,4A,380,32.6,71.8707098,38,Shumagin,0,47.79395698
2020,4A,390/395,12.8,28.2191744,39,Aleutian,0,18.76572544
2020,4A,Bering Sea,258.3,569.4541209,4A,Bering Sea,0,378.6864751
2020,4B,400,45.1,99.4284973,40,Aleutian,0,66.11986073
2020,4B,410,27.9,61.5089817,41,Aleutian,0,40.90341717
2020,4B,420,13.4,29.5419482,42+,Aleutian,0,19.64536882
2020,4B,430,29,63.934067,42+,Aleutian,0,42.5160967
2020,4B,440,64.5,142.1981835,42+,Aleutian,0,94.56166335
2020,4B,450/460/480,5.5,12.1254265,42+,Aleutian,0,8.06339765
