Year,2A,2B,2C,3A,3B,4,4A,4B,4CDE,Total
2025,372,"1,778","1,188","2,463",984,NA,304,82,245,"7,416"
2024,358,"2,032","1,393","3,116","1,193",NA,322,132,367,"8,909"
2023,372,"2,250","1,488","3,484","1,270",NA,419,181,576,"10,040"
2022,358,"2,563","1,538","4,042","1,297",NA,581,249,708,"11,335"
2021,345,"2,395","1,569","4,110","1,129",NA,662,354,612,"11,177"
2020,363,"2,313","1,551","3,298","1,039",NA,522,408,689,"10,183"
2019,386,"2,345","1,669","3,724","1,048",NA,635,458,699,"10,963"
2018,308,"2,468","1,647","3,397","1,134",NA,567,485,612,"10,619"
2017,336,"2,830","1,914","3,556","1,406",NA,585,499,671,"11,798"
2016,295,"2,785","1,810","3,438","1,234",NA,626,503,617,"11,308"
2015,259,"2,717","1,710","3,615","1,225",NA,621,503,499,"11,149"
2014,240,"2,667","1,551","3,475","1,324",NA,413,508,503,"10,682"
2013,245,"2,740","1,374","5,026","1,855",NA,558,567,676,"13,041"
2012,259,"2,712","1,220","5,466","2,286",NA,717,789,903,"14,352"
2011,245,"3,035","1,111","6,654","3,320",NA,"1,066",930,"1,347","17,708"
2010,191,"3,053","2,037","9,299","4,586",NA,"1,057",835,"1,315","22,371"
2009,222,"3,012","2,250","9,875","4,890",NA,"1,148",721,"1,293","23,410"
2008,308,"3,520","2,817","11,122","4,876",NA,"1,370",798,"1,488","26,299"
2007,358,"4,432","3,842","12,016","4,196",NA,"1,284",644,"1,483","28,254"
2006,376,"5,448","4,758","11,662","4,894",NA,"1,510",721,"1,297","30,667"
2005,363,"5,593","4,822","11,807","5,974",NA,"1,542",898,"1,411","32,409"
2004,399,"5,516","4,640","11,417","7,013",NA,"1,615","1,234","1,184","33,017"
2003,372,"5,348","3,815","10,319","7,811",NA,"2,277","1,751","1,288","32,981"
2002,386,"5,475","3,901","10,492","7,852",NA,"2,309","1,851","1,343","33,607"
2001,308,"4,667","3,810","9,770","7,412",NA,"2,277","2,028","1,583","31,856"
2000,218,"4,903","3,833","8,741","6,990",NA,"2,341","2,127","1,665","30,817"
1999,204,"5,765","4,599","11,485","6,278",NA,"1,982","1,619","1,656","33,588"
1998,209,"5,974","4,627","11,657","5,062",NA,"1,551","1,315","1,161","31,556"
1997,186,"5,634","4,500","11,177","4,110",NA,"1,320","1,506","1,030","29,461"
1996,136,"4,332","4,023","8,931","1,660",NA,771,939,630,"21,423"
1995,136,"4,364","3,524","8,319","1,420",NA,735,762,594,"19,854"
1994,168,"4,495","4,708","11,267","1,751",NA,816,916,649,"24,771"
1993,227,"4,822","5,121","10,315","3,565",NA,"1,161",889,757,"26,857"
1992,200,"3,461","4,454","12,147","3,910",NA,"1,225","1,052",689,"27,138"
1991,163,"3,261","3,942","10,401","5,411",NA,"1,025",685,962,"25,850"
1990,150,"3,887","4,413","13,086","3,942",NA,"1,134",603,694,"27,910"
1989,213,"4,731","4,323","15,304","3,556",NA,467,"1,202",567,"30,363"
1988,222,"5,833","5,153","17,196","3,211",NA,875,721,526,"33,738"
1987,268,"5,557","4,849","14,202","3,520",NA,"1,674",680,717,"31,466"
