Year,IPHC Stat Area,Total Catch (000 LBS),CPUE (LBS),Effort (00 SKS),LOGS %,IPHC Regulatory Area,IPHC Region,IPHC Region 2,IPHC Region 3,POW,"Total Catch (US Tons, Round Weight)"
1929,14-O,580,38.4,151,34,2,SE Alaska,SE-O,2C,0,385.7
1929,14-I,1074,45.9,234,18,2,SE Alaska,SE-I,2C,0,714.21
1929,15-O,2154,43.3,498,25,2,SE Alaska,SE-O,2C,0,1432.41
1929,15-I,350,41,85,15,2,SE Alaska,SE-I,2C,0,232.75
1929,16-O,1516,44.3,342,39,2,SE Alaska,SE-O,2C,0,1008.14
1929,16-I,1747,39.2,446,14,2,SE Alaska,SE-I,2C,0,1161.755
1929,17-O,694,40.8,170,54,2,SE Alaska,SE-O,2C,0,461.51
1929,17-I,488,38.7,126,33,2,SE Alaska,SE-I,2C,0,324.52
1929,18-O,115,42.6,27,96,2,SE Alaska,SE-O,2C,0,76.475
1929,18-I,1147,39.2,293,3,2,SE Alaska,SE-I,2C,0,762.755
1929,18W,1024,57.2,179,34,3A,Yakutat,Yakutat,3A,0,680.96
1929,19,979,60.6,161,65,3A,Yakutat,Yakutat,3A,0,651.035
1929,20,1579,66.1,239,54,3A,Yakutat,Yakutat,3A,0,1050.035
1929,21,1148,64.1,179,42,3A,Yakutat,Yakutat,3A,0,763.42
1929,22,1266,91.1,139,62,3A,Yakutat,Yakutat,3A,0,841.89
1929,23,945,74.4,127,36,3A,Yakutat,Yakutat,3A,POW,628.425
1929,24,2142,10,306,39,3A,Kodiak,Kodiak,3A,POW,1424.43
1929,25,3307,66.4,496,36,3A,Kodiak,Kodiak,3A,0,2199.155
1929,26,3753,79.3,473,41,3A,Kodiak,Kodiak,3A,0,2495.745
1929,27,2339,61.1,383,57,3A,Kodiak,Kodiak,3A,0,1555.435
1929,28,3876,69.7,556,49,3A,Kodiak,Kodiak,3A,0,2577.54
1929,29,3737,81.5,459,44,3A,Chirikof,Chirikof,3A,0,2485.105
