DOL Year,CFEC Fishery Code,Gear Code and Name,Mgt Area,Whole Weight (sum)
2023,B06B,61 - Longline,CSEO,"553,866"
2023,B06B,61 - Longline,EYKT,"1,428,179"
2023,B06B,61 - Longline,NSEO,"260,707"
2023,B06B,61 - Longline,SSEO,"290,521"
2023,B61B,61 - Longline,CSEO,"36,424"
2023,B61B,61 - Longline,EYKT,"206,343"
2023,B61B,61 - Longline,NSEO,"17,514"
2023,B61B,61 - Longline,SSEO,"5,070"
2024,B06B,61 - Longline,CSEO,"182,013"
2024,B06B,61 - Longline,EYKT,"254,694"
2024,B06B,61 - Longline,NSEO,"40,280"
2024,B06B,61 - Longline,SSEO,"154,783"
2024,B61B,61 - Longline,EYKT,"58,425"
2024,B61B,61 - Longline,NSEO,"4,976"
