DOL Year,CFEC Fishery Code,Mgt Area District,Gear Name,Species Code,Whole Weight (sum)
2015,S05B,CSEO,Hand troll,145,29
2015,S05B,NSEO,Hand troll,145,9
2015,S15B,CSEO,Power gurdy troll,145,1170.8
2015,S15B,EYKT,Power gurdy troll,145,731
2015,S15B,NSEO,Power gurdy troll,145,9
2015,S15B,SSEO,Power gurdy troll,145,18
2016,S05B,CSEO,Hand troll,145,7
2016,S15B,CSEO,Power gurdy troll,145,2192.9655
2016,S15B,EYKT,Power gurdy troll,145,596.96
2016,S15B,NSEO,Power gurdy troll,145,700.8636
2016,S15B,SSEO,Power gurdy troll,145,79.3601
2017,S05B,CSEO,Hand troll,145,16
2017,S05B,NSEO,Hand troll,145,64
2017,S15B,CSEO,Power gurdy troll,145,1361.1637
2017,S15B,EYKT,Power gurdy troll,145,302
2017,S15B,NSEO,Power gurdy troll,145,187.6982
2017,S15B,SSEO,Power gurdy troll,145,88.7755
2018,S05B,CSEO,Hand troll,145,9
2018,S05B,NSEO,Hand troll,145,6
2018,S15B,CSEO,Power gurdy troll,145,1678.5974
2018,S15B,EYKT,Power gurdy troll,145,940.4471
2018,S15B,NSEO,Power gurdy troll,145,612.08
2018,S15B,SSEO,Power gurdy troll,145,135.8048
2019,S05B,CSEO,Hand troll,145,25
2019,S05B,NSEO,Hand troll,145,61.55
2019,S15B,CSEO,Power gurdy troll,145,1674.144
2019,S15B,EYKT,Power gurdy troll,145,420.98
2019,S15B,NSEO,Power gurdy troll,145,265.59
2019,S15B,SSEO,Power gurdy troll,145,86.4063
2020,S05B,NSEO,Hand troll,145,22
2020,S15B,CSEO,Power gurdy troll,145,1904.2048
2020,S15B,EYKT,Power gurdy troll,145,156.15
2020,S15B,NSEO,Power gurdy troll,145,437.83
2020,S15B,SSEO,Power gurdy troll,145,91.6327
2021,S05B,NSEO,Hand troll,145,9
2021,S15B,CSEO,Power gurdy troll,145,530.2168
2021,S15B,EYKT,Power gurdy troll,145,181.36
2021,S15B,NSEO,Power gurdy troll,145,191.7857
2021,S15B,SSEO,Power gurdy troll,145,18.7233
2022,S05B,CSEO,Hand troll,145,2
2022,S05B,NSEO,Hand troll,145,2
2022,S15B,CSEO,Power gurdy troll,145,1466.1754
2022,S15B,EYKT,Power gurdy troll,145,100
2022,S15B,NSEO,Power gurdy troll,145,386.8182
2022,S15B,SSEO,Power gurdy troll,145,63.29
2023,S05B,CSEO,Hand troll,145,4
2023,S15B,CSEO,Power gurdy troll,145,575.36
2023,S15B,EYKT,Power gurdy troll,145,17
2023,S15B,NSEO,Power gurdy troll,145,164.1571
2023,S15B,SSEO,Power gurdy troll,145,18.3673
2024,S15B,CSEO,Power gurdy troll,145,122.18
2024,S15B,EYKT,Power gurdy troll,145,7.95
2024,S15B,NSEO,Power gurdy troll,145,29
2024,S15B,SSEO,Power gurdy troll,145,41.449
