Year,Trip Target Name,Species Common Name,FMP Area,FMP Gear,Retained/Discarded,Weight Posted (Tons),Confidential Flag - Fed,AKFIN Load Date
2013,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,0.634127481,N,6/26/2023 10:40
2013,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.17126065,N,6/26/2023 10:40
2013,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,97.23041877,N,6/26/2023 10:40
2013,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,107.3857941,N,6/26/2023 10:40
2013,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.073935556,C,6/26/2023 10:40
2013,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,0.529801591,N,6/26/2023 10:40
2013,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,10.70867109,N,6/26/2023 10:40
2013,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.025854765,C,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,0.690821384,N,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.840778817,C,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,49.13348414,N,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,82.74854896,N,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.02156878,N,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,2.757490238,N,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,12.55600051,N,6/26/2023 10:40
2014,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.046673729,C,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,0.301414898,N,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,0.862279096,N,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,27.57541498,N,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,84.58543734,N,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",GOA,JIG,Retained,0.106316497,N,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Discarded,1.23182929,N,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",INSD,HAL,Retained,14.37270475,N,6/26/2023 10:40
2015,Halibut,"rockfish, yelloweye (red snapper)",INSD,JIG,Retained,0.00740559,C,6/26/2023 10:40
2016,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Discarded,0.649187314,N,6/26/2023 10:40
2016,Halibut,"rockfish, yelloweye (red snapper)",BSAI,HAL,Retained,1.31270869,N,6/26/2023 10:40
2016,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Discarded,44.52081872,N,6/26/2023 10:40
2016,Halibut,"rockfish, yelloweye (red snapper)",GOA,HAL,Retained,91.70114321,N,6/26/2023 10:40
