,Area,,,,,,,,,,,,Area,,,,,,,,,
Year,2A.mt,2B.mt,2C.mt,3A.mt,3B.mt,4,4A,4B,4CDE,Total,,Year,2A,2B,2C,3A,3B,4,4A,4B,4CDE,Total
1888,31.75,403.7,226.8,0,0,0,NA,NA,NA,666.78,,1888,46.54779553,591.8533875,332.5051976,0,0,0,NA,NA,NA,977.5476882
1889,31.75,358.34,199.58,0,0,0,NA,NA,NA,585.13,,1889,46.54779553,525.352348,292.5987096,0,0,0,NA,NA,NA,857.8428849
1890,31.75,381.02,213.19,0,0,0,NA,NA,NA,621.42,,1890,46.54779553,558.6028677,312.5519536,0,0,0,NA,NA,NA,911.0466487
1891,49.9,589.67,331.12,0,0,0,NA,NA,NA,966.15,,1891,73.15700777,864.4988531,485.44586,0,0,0,NA,NA,NA,1416.445753
1892,63.5,766.57,426.38,0,0,0,NA,NA,NA,1256.45,,1892,93.09559105,1123.847043,625.1039073,0,0,0,NA,NA,NA,1842.046541
1893,72.57,889.04,494.42,0,0,0,NA,NA,NA,1460.57,,1893,106.3928668,1303.396918,724.8554666,0,0,0,NA,NA,NA,2141.301219
1894,86.18,1038.73,580.6,0,0,0,NA,NA,NA,1705.51,,1894,126.3461108,1522.85328,851.2015774,0,0,0,NA,NA,NA,2500.400968
1895,95.25,1174.8,657.71,0,0,0,NA,NA,NA,1927.77,,1895,139.6433866,1722.341738,964.2504124,0,0,0,NA,NA,NA,2826.250198
1896,122.47,1501.39,834.61,0,0,0,NA,NA,NA,2458.47,,1896,179.5498746,2201.14629,1223.598602,0,0,0,NA,NA,NA,3604.294767
1897,149.69,1823.44,1016.05,0,0,0,NA,NA,NA,2989.17,,1897,219.4563626,2673.294875,1489.60276,0,0,0,NA,NA,NA,4382.339337
1898,176.9,2145.49,1197.48,0,0,0,NA,NA,NA,3524.41,,1898,259.3481899,3145.443459,1755.592258,0,0,0,NA,NA,NA,5167.039875
1899,204.12,2472.08,1378.92,0,0,0,NA,NA,NA,4055.11,,1899,299.2546779,3624.248011,2021.596416,0,0,0,NA,NA,NA,5945.084444
1900,308.44,3705.85,2068.38,0,0,0,NA,NA,NA,6082.67,,1900,452.1953402,5433.044033,3032.394624,0,0,0,NA,NA,NA,8917.633997
1901,408.23,4944.15,2757.84,0,0,0,NA,NA,NA,8105.69,,1901,598.494695,7248.481362,4043.192832,0,0,0,NA,NA,NA,11883.52758
1902,512.56,6177.92,3447.3,0,0,0,NA,NA,NA,10133.25,,1902,751.4500181,9057.277384,5053.99104,0,0,0,NA,NA,NA,14856.07713
1903,576.06,6971.71,3887.28,0,0,0,NA,NA,NA,11435.05,,1903,844.5456091,10221.03091,5699.03353,0,0,0,NA,NA,NA,16764.61005
1904,639.56,7765.5,4331.8,0,0,0,NA,NA,NA,12736.86,,1904,937.6412002,11384.78445,6350.731989,0,0,0,NA,NA,NA,18673.15763
1905,503.49,6082.67,3392.87,0,0,0,NA,NA,NA,9979.02,,1905,738.1527423,8917.633997,4974.192725,0,0,0,NA,NA,NA,14629.9648
1906,821,9956.34,5551.97,0,0,0,NA,NA,NA,16329.31,,1906,1203.645358,14596.71428,8139.589427,0,0,0,NA,NA,NA,23939.94907
1907,1143.05,13825.48,7711.06,0,0,0,NA,NA,NA,22679.6,,1907,1675.793943,20269.15326,11304.97147,0,0,0,NA,NA,NA,33249.93334
1908,1156.66,13997.85,7806.32,0,0,0,NA,NA,NA,22960.83,,1908,1695.747187,20521.86014,11444.62952,0,0,0,NA,NA,NA,33662.23685
1909,1170.27,14165.68,7901.57,0,0,0,NA,NA,NA,23237.52,,1909,1715.700431,20767.91106,11584.2729,0,0,0,NA,NA,NA,34067.88439
1910,1183.88,14338.04,7996.83,0,0,0,NA,NA,NA,23518.75,,1910,1735.653675,21020.60328,11723.93095,0,0,0,NA,NA,NA,34480.18791
1911,1301.81,15744.18,8781.54,0,0,0,NA,NA,NA,25822.99,,1911,1908.547581,23082.10618,12874.37255,0,0,0,NA,NA,NA,37858.37034
