DOL Year,CFEC Fishery Code,Mgt Area District,Gear Name,Species Code,Whole Weight (sum)
2015,B06B,CSEO,Longline,145,55359.361
2015,B06B,EYKT,Longline,145,41583.8161
2015,B06B,NSEO,Longline,145,23085.12
2015,B06B,SSEO,Longline,145,16462.5294
2015,B25B,CSEO,Dinglebar troll,145,36
2015,B61B,CSEO,Longline,145,125
2015,B61B,EYKT,Longline,145,678
2015,B61B,NSEO,Longline,145,708.4694
2015,C06B,CSEO,Longline,145,961.1
2015,C06B,EYKT,Longline,145,492.09
2015,C06B,NSEO,Longline,145,704.51
2015,C06B,SSEO,Longline,145,1480.0224
2015,C61B,CSEO,Longline,145,300
2015,C61B,NSEO,Longline,145,1129.1225
2015,I25B,CSEO,Dinglebar troll,145,3802
2015,I25B,EYKT,Dinglebar troll,145,5461.2449
2015,I25B,NSEO,Dinglebar troll,145,744.3878
2015,I25B,SSEO,Dinglebar troll,145,11
2015,I26B,CSEO,Mechanical jigs,145,129
2015,I26B,EYKT,Mechanical jigs,145,873
2015,M05B,CSEO,Hand troll,145,128
2015,M05G,SSEO,Hand troll,145,97
2015,M25B,SSEO,Dinglebar troll,145,428.4092
2015,M26G,NSEO,Mechanical jigs,145,24
2015,Y06A,EYKT,Longline,145,24716
2015,Y61A,EYKT,Longline,145,47175
2016,B06B,CSEO,Longline,145,61816.0766
2016,B06B,EYKT,Longline,145,41751.5498
2016,B06B,NSEO,Longline,145,25378.5727
2016,B06B,SSEO,Longline,145,16652.7262
2016,B61B,CSEO,Longline,145,945.6
2016,B61B,EYKT,Longline,145,7212
2016,B61B,NSEO,Longline,145,423.3
2016,C06B,CSEO,Longline,145,801.25
2016,C06B,EYKT,Longline,145,1188
2016,C06B,NSEO,Longline,145,518
2016,C06B,SSEO,Longline,145,1651.5133
2016,C61B,CSEO,Longline,145,5.95
2016,C61B,EYKT,Longline,145,1.05
2016,I05B,CSEO,Hand troll,145,87.1224
2016,I25B,CSEO,Dinglebar troll,145,2580.32
2016,I25B,EYKT,Dinglebar troll,145,5790.7272
2016,I25B,NSEO,Dinglebar troll,145,331.68
2016,I25B,SSEO,Dinglebar troll,145,1457.2829
2016,I26B,CSEO,Mechanical jigs,145,728.44
2016,I26B,NSEO,Mechanical jigs,145,41.56
2016,M05B,CSEO,Hand troll,145,168.0816
2016,M05G,CSEO,Hand troll,145,245
2016,M05G,NSEO,Hand troll,145,137
2016,M26B,CSEO,Mechanical jigs,145,19
2016,Y06A,EYKT,Longline,145,55363
2016,Y61A,EYKT,Longline,145,19006
2017,B06B,CSEO,Longline,145,71026.3031
2017,B06B,EYKT,Longline,145,49482.6963
2017,B06B,NSEO,Longline,145,19661.59
2017,B06B,SSEO,Longline,145,28370.8402
2017,B61B,CSEO,Longline,145,2408.5
2017,B61B,EYKT,Longline,145,8630.3469
2017,B61B,NSEO,Longline,145,2224.5
2017,C06B,CSEO,Longline,145,2767.7449
2017,C06B,EYKT,Longline,145,4143
2017,C06B,NSEO,Longline,145,546
2017,C06B,SSEO,Longline,145,197.8673
2017,C61B,CSEO,Longline,145,468
2017,C61B,EYKT,Longline,145,208
2017,C61B,NSEO,Longline,145,988
2017,I05B,CSEO,Hand troll,145,307.1429
2017,I05B,NSEO,Hand troll,145,44.3182
2017,I25B,CSEO,Dinglebar troll,145,5061.8667
2017,I25B,EYKT,Dinglebar troll,145,5207.1632
2017,I25B,NSEO,Dinglebar troll,145,1760.5655
2017,I25B,SSEO,Dinglebar troll,145,527.6
2017,I26B,CSEO,Mechanical jigs,145,193.8775
2017,I26B,EYKT,Mechanical jigs,145,1342
2017,M05B,CSEO,Hand troll,145,563.3468
2017,M05G,CSEO,Hand troll,145,55.1019
2017,M05G,NSEO,Hand troll,145,87.7551
2017,M25B,NSEO,Dinglebar troll,145,5
2017,Y06A,EYKT,Longline,145,45074
2017,Y61A,EYKT,Longline,145,25089
2018,B06B,CSEO,Longline,145,55275.8789
2018,B06B,EYKT,Longline,145,49779.19
2018,B06B,NSEO,Longline,145,21985.5842
2018,B06B,SSEO,Longline,145,22894.4015
2018,B09B,CSEO,Pot,145,12
2018,B61B,CSEO,Longline,145,283
2018,B61B,EYKT,Longline,145,6696.4449
2018,B61B,NSEO,Longline,145,448.3
2018,C06B,CSEO,Longline,145,1604
2018,C06B,EYKT,Longline,145,992.4816
2018,C06B,NSEO,Longline,145,1241.2364
2018,C06B,SSEO,Longline,145,2264.4898
2018,C09B,CSEO,Pot,145,146
2018,C09B,EYKT,Pot,145,30
2018,C61B,CSEO,Longline,145,1.8
2018,C61B,EYKT,Longline,145,10.3
2018,C61B,NSEO,Longline,145,0.3
2018,C61B,SSEO,Longline,145,3.6
2018,I05B,CSEO,Hand troll,145,387.9693
2018,I25B,CSEO,Dinglebar troll,145,6021.2408
2018,I25B,EYKT,Dinglebar troll,145,4461.3461
2018,I25B,NSEO,Dinglebar troll,145,931.171
2018,I25B,SSEO,Dinglebar troll,145,1849.8841
2018,I26B,CSEO,Mechanical jigs,145,167.0408
2018,I26B,EYKT,Mechanical jigs,145,718.3673
2018,M05B,CSEO,Hand troll,145,15
2018,M05G,CSEO,Hand troll,145,5
2018,M25G,NSEO,Dinglebar troll,145,66.3266
2018,M26G,CSEO,Mechanical jigs,145,27
2018,Y06A,CSEO,Longline,145,90800.9471
2018,Y61A,CSEO,Longline,145,14735
2019,B06B,CSEO,Longline,145,64613.6583
2019,B06B,EYKT,Longline,145,51694.3014
2019,B06B,NSEO,Longline,145,24387.0064
2019,B06B,SSEO,Longline,145,24497.4847
2019,B61B,CSEO,Longline,145,239
2019,B61B,EYKT,Longline,145,3513.6408
2019,B61B,NSEO,Longline,145,116.4
2019,B61B,SSEO,Longline,145,181
2019,C06B,CSEO,Longline,145,2440.8
