Year,"IPHC
Regulatory Area","IPHC 
Statistical Area",Net wt (lb),Unique vessels
2023,2A ,008/009,23273.00,17
2023,2A ,10,99508.00,38
2023,2A ,20,137543.00,41
2023,2A ,30,19141.00,5
2023,2A ,40,21113.00,21
2023,2A ,50,131363.00,86
2023,2B ,60,115198.00,15
2023,2B ,70,73887.00,11
2023,2B ,80,68677.00,37
2023,2B ,90,133859.00,35
2023,2B ,91,225440.00,45
2023,2B ,92,13425.00,10
2023,2B ,100,171186.00,33
2023,2B ,102,536673.00,55
2023,2B ,103,19231.00,9
2023,2B ,110,43564.00,19
2023,2B ,112,885238.00,65
2023,2B ,114,92552.00,12
2023,2B ,120,35010.00,16
2023,2B ,121,183735.00,26
2023,2B ,122,7808.00,8
2023,2B ,130,264250.00,43
2023,2B ,131,513916.00,45
2023,2B ,132,389223.00,47
2023,2B ,133,590434.00,46
2023,2B ,134,24963.00,10
2023,2B ,135,528249.00,55
2023,2C ,140,17035.00,11
2023,2C ,141,16890.00,4
2023,2C ,142,58171.00,8
2023,2C ,143,57953.00,32
2023,2C ,144,23587.00,6
2023,2C ,150,148426.00,24
2023,2C ,151,230756.00,42
2023,2C ,152,253260.00,53
2023,2C ,153,51072.00,21
2023,2C ,160,397483.00,89
2023,2C ,161,221005.00,44
2023,2C ,162,616012.00,84
2023,2C ,163,73006.00,26
2023,2C ,170,230022.00,68
2023,2C ,171,149312.00,52
2023,2C ,173,29196.00,16
2023,2C ,174,17160.00,11
2023,2C ,181,252071.00,48
2023,2C ,182,171425.00,45
2023,2C ,183,29032.00,13
2023,2C ,184,83151.00,11
2023,3A ,185,582257.00,83
2023,3A ,190,683455.00,69
2023,3A ,200,726121.00,54
2023,3A ,210,522022.00,45
2023,3A ,220,397653.00,52
2023,3A ,230,304219.00,54
2023,3A ,232,131852.00,35
2023,3A ,240,407831.00,62
2023,3A ,242,186095.00,43
2023,3A ,250,530110.00,78
2023,3A ,260,438309.00,76
2023,3A ,261,529815.00,70
2023,3A ,270,505768.00,96
2023,3A ,271,370098.00,52
2023,3A ,280,652285.00,59
2023,3A ,281,151448.00,19
2023,3B ,290,1507409.00,115
2023,3B ,300,448613.00,42
2023,3B ,310,71745.00,15
2023,3B ,320,254309.00,32
2023,3B ,330,312398.00,24
2023,3B ,340,169780.00,23
2023,4A ,350,186705.00,24
2023,4A ,360,244361.00,23
2023,4A ,370,75194.00,15
2023,4A ,380/390,45714.00,11
2023,4A ,Bering Sea,374808.00,44
2023,4B ,400,20763.00,3
2023,4B ,410,73644.00,6
2023,4B ,420,31000.00,6
2023,4B ,430,14550.00,6
2023,4B ,440/450/480/490,42455.00,4
2023,4B ,Bering Sea,220966.00,13
2023,4CDE,Bering Sea,1258392.00,37
2022,2A ,8,4013.00,4
2022,2A ,9,24363.00,19
2022,2A ,10,98974.00,29
2022,2A ,20,66459.00,49
2022,2A ,30,44258.00,12
2022,2A ,40,24843.00,24
2022,2A ,50,517079.00,161
2022,2B ,60,234216.00,14
2022,2B ,70,107017.00,13
2022,2B ,80,122732.00,35
2022,2B ,81,6634.00,5
2022,2B ,90,167130.00,37
2022,2B ,91,432137.00,51
2022,2B ,92,27706.00,14
2022,2B ,100,173031.00,36
2022,2B ,102,733585.00,53
2022,2B ,103,29186.00,10
2022,2B ,110,37098.00,17
2022,2B ,112,769048.00,58
2022,2B ,114,73395.00,20
2022,2B ,120,30511.00,11
2022,2B ,121,106613.00,23
2022,2B ,122,30823.00,14
2022,2B ,130,334907.00,37
2022,2B ,131,556370.00,42
2022,2B ,132,483354.00,48
2022,2B ,133,386221.00,48
2022,2B ,134,70945.00,21
2022,2B ,135,628382.00,53
2022,2C ,140,41585.00,12
2022,2C ,141,5764.00,4
2022,2C ,142,33026.00,9
2022,2C ,143,53714.00,30
2022,2C ,144,15263.00,7
2022,2C ,150,150896.00,28
2022,2C ,151,288029.00,44
2022,2C ,152,232376.00,53
2022,2C ,153,44785.00,18
2022,2C ,160,366210.00,88
2022,2C ,161,237631.00,45
2022,2C ,162,680270.00,80
2022,2C ,163,99361.00,23
2022,2C ,170,202703.00,80
2022,2C ,171,93194.00,35
2022,2C ,173,35444.00,15
2022,2C ,174,16315.00,14
2022,2C ,181,351376.00,58
2022,2C ,182,195141.00,49
2022,2C ,183,32202.00,13
2022,2C ,184,89785.00,10
2022,3A ,185,948789.00,101
2022,3A ,190,717713.00,70
2022,3A ,200,806659.00,61
2022,3A ,210,424280.00,47
2022,3A ,220,528316.00,35
2022,3A ,230,266963.00,46
2022,3A ,232,320846.00,44
2022,3A ,240,556399.00,63
2022,3A ,242,628453.00,57
2022,3A ,250,542606.00,76
2022,3A ,260,400125.00,65
2022,3A ,261,532839.00,67
2022,3A ,270,832433.00,98
2022,3A ,271,401873.00,51
2022,3A ,280,727266.00,60
2022,3A ,281,145054.00,18
2022,3B ,290,1529683.00,114
2022,3B ,300,297432.00,44
2022,3B ,310,173470.00,25
2022,3B ,320,397912.00,42
2022,3B ,330,290390.00,25
2022,3B ,340,150333.00,27
2022,4A ,350,212148.00,29
2022,4A ,360,337419.00,32
2022,4A ,370,167528.00,20
2022,4A ,380,89312.00,17
2022,4A ,390,1125.00,3
2022,4A ,Bering Sea,463775.00,49
2022,4B ,400,52054.00,7
2022,4B ,410,67654.00,6
2022,4B ,420,41797.00,5
2022,4B ,430,26701.00,7
2022,4B ,440/450,60193.00,7
2022,4B ,480,3997.00,3
2022,4B ,490,15557.00,3
2022,4B ,Bering Sea,278645.00,16
2022,4CDE,Bering Sea,1570978.00,36
