DOL Year,Mgt Area,CFEC Fishery Code,Gear Code and Name,Whole Weight (sum)
2007,CSEO,B06B,61 - Longline,1792394.731
2007,CSEO,B61B,61 - Longline,213534.5688
2007,CSEO,C61B,61 - Longline,1100
2007,EYKT,B06B,61 - Longline,2781137.399
2007,EYKT,B61B,61 - Longline,208175.3467
2007,EYKT,C61B,61 - Longline,
2007,NSEI,B06B,61 - Longline,4881794.423
2007,NSEI,B61B,61 - Longline,99119.8432
2007,NSEI,C61A,61 - Longline,
2007,NSEO,B06B,61 - Longline,981149.7969
2007,NSEO,B61B,61 - Longline,40220.9842
2007,NSEO,C61B,61 - Longline,
2007,SSEI,9999,61 - Longline,52445.3336
2007,SSEI,B06B,61 - Longline,1386067.921
2007,SSEI,B61B,61 - Longline,18588.2881
2007,SSEO,B06B,61 - Longline,1697249.327
2007,SSEO,B61B,61 - Longline,82985.4176
2008,CSEO,B06B,61 - Longline,1345145.089
2008,CSEO,B61B,61 - Longline,153767.7123
2008,CSEO,C61B,61 - Longline,90
2008,EYKT,B06B,61 - Longline,2676538.233
2008,EYKT,B61B,61 - Longline,211914.6806
2008,EYKT,C61B,61 - Longline,
2008,NSEI,B06B,61 - Longline,3750327.881
2008,NSEI,B61B,61 - Longline,60491.5282
2008,NSEO,B06B,61 - Longline,767894.058
2008,NSEO,B61B,61 - Longline,31459.9626
2008,NSEO,C61B,61 - Longline,
2008,SSEI,9999,61 - Longline,54680
2008,SSEI,B06B,61 - Longline,1158542.717
2008,SSEI,B61B,61 - Longline,12272.0853
2008,SSEO,B06B,61 - Longline,957304.2101
2008,SSEO,B61B,61 - Longline,55600.976
2008,SSEO,C61B,61 - Longline,120
2009,CSEO,B06B,61 - Longline,1042538.213
2009,CSEO,B61B,61 - Longline,68789.7764
2009,CSEO,C61B,61 - Longline,275
2009,CSEO,M6AB,61 - Longline,
2009,EYKT,B06B,61 - Longline,2390112.697
2009,EYKT,B61B,61 - Longline,114630.9895
2009,EYKT,C61B,61 - Longline,300
2009,NSEI,B06B,61 - Longline,2994515.962
2009,NSEI,B61B,61 - Longline,50789.0215
2009,NSEI,C61A,61 - Longline,20
2009,NSEO,B06B,61 - Longline,624529.9076
2009,NSEO,B61B,61 - Longline,22551.6947
2009,NSEO,C61B,61 - Longline,88
2009,SSEI,9999,61 - Longline,39195.9998
2009,SSEI,B06B,61 - Longline,962502.9573
2009,SSEI,B61B,61 - Longline,12871.6001
2009,SSEO,B06B,61 - Longline,732186.37
2009,SSEO,B61B,61 - Longline,84349.7039
2009,SSEO,C61B,61 - Longline,325
2009,SSEO,M6AB,61 - Longline,
2010,CSEO,B06B,61 - Longline,948617.1011
2010,CSEO,B61B,61 - Longline,53638.5975
2010,CSEO,C61B,61 - Longline,8
2010,EYKT,B06B,61 - Longline,2289246.833
2010,EYKT,B61B,61 - Longline,255550.365
2010,EYKT,C61B,61 - Longline,839.49
2010,NSEI,B06B,61 - Longline,2793358.791
2010,NSEI,B61B,61 - Longline,72462.7734
2010,NSEO,B06B,61 - Longline,553026.2086
2010,NSEO,B61B,61 - Longline,30828.3695
2010,NSEO,C61B,61 - Longline,10.51
2010,SSEI,9999,61 - Longline,59885.3331
2010,SSEI,B06B,61 - Longline,889379.2884
2010,SSEI,B61B,61 - Longline,13636.5334
2010,SSEO,B06B,61 - Longline,631440.4712
2010,SSEO,B61B,61 - Longline,39881.7842
2010,SSEO,C61B,61 - Longline,75
2011,CSEO,B06B,61 - Longline,481437.8041
2011,CSEO,B61B,61 - Longline,39167.456
2011,CSEO,C61B,61 - Longline,996
2011,EYKT,B06B,61 - Longline,1719140.901
2011,EYKT,B61B,61 - Longline,269694.7552
2011,EYKT,C61B,61 - Longline,7325
2011,NSEI,B06B,61 - Longline,1469781.945
2011,NSEI,B61B,61 - Longline,32414.0879
2011,NSEI,C61A,61 - Longline,
2011,NSEI,M06G,61 - Longline,1708.728
2011,NSEO,B06B,61 - Longline,308399.2263
2011,NSEO,B61B,61 - Longline,13403.0054
2011,SSEI,9999,61 - Longline,82596.0002
2011,SSEI,B06B,61 - Longline,533602.3993
2011,SSEI,B61B,61 - Longline,7289.3333
2011,SSEO,B06B,61 - Longline,277191.4335
2011,SSEO,B61B,61 - Longline,7484.6612
2011,SSEO,C61B,61 - Longline,45
2012,CSEO,B06B,61 - Longline,528348.7137
2012,CSEO,B61B,61 - Longline,46827.7494
2012,CSEO,C61B,61 - Longline,510
2012,CSEO,Y61A,61 - Longline,70
2012,EYKT,B06B,61 - Longline,1543168.968
2012,EYKT,B61B,61 - Longline,205528.8463
2012,EYKT,C61B,61 - Longline,6116
2012,NSEI,B06B,61 - Longline,1627761.312
2012,NSEI,B61B,61 - Longline,26273.7067
2012,NSEO,B06B,61 - Longline,366182.1576
2012,NSEO,B61B,61 - Longline,30335.7486
2012,NSEO,Y61A,61 - Longline,30
2012,SSEI,9999,61 - Longline,65316
2012,SSEI,B06B,61 - Longline,593766.186
2012,SSEI,B61B,61 - Longline,8221.3334
2012,SSEO,B06B,61 - Longline,308794.0035
2012,SSEO,B61B,61 - Longline,2513.6481
2012,SSEO,C61B,61 - Longline,130
2013,CSEO,B06B,61 - Longline,553984.4281
2013,CSEO,B61B,61 - Longline,65327.3817
2013,CSEO,C61B,61 - Longline,40
2013,CSEO,M6AB,61 - Longline,
2013,EYKT,B06B,61 - Longline,1419300.184
2013,EYKT,B61B,61 - Longline,235999.7678
2013,EYKT,C61B,61 - Longline,97.6
2013,NSEI,B06B,61 - Longline,1908911.506
2013,NSEI,B61B,61 - Longline,20663.2
2013,NSEI,M06B,61 - Longline,485.688
2013,NSEO,B06B,61 - Longline,371726.1437
2013,NSEO,B61B,61 - Longline,16789.6476
2013,SSEI,9999,61 - Longline,73320.0001
2013,SSEI,B06B,61 - Longline,616478.3357
2013,SSEI,B61B,61 - Longline,4077.92
2013,SSEO,B06B,61 - Longline,375688.4704
2013,SSEO,B61B,61 - Longline,3248.3787
2013,SSEO,C61B,61 - Longline,29
2013,SSEO,M6AB,61 - Longline,
2014,CSEO,B06B,61 - Longline,699605.004
2014,CSEO,B61B,61 - Longline,44123.7329
2014,CSEO,C61B,61 - Longline,1466
2014,EYKT,B06B,61 - Longline,1047330.551
2014,EYKT,B61B,61 - Longline,138676.5195
2014,EYKT,C61B,61 - Longline,630.5
2014,NSEI,B06B,61 - Longline,2020835.251
2014,NSEI,B61B,61 - Longline,46545.9092
2014,NSEI,C61A,61 - Longline,
2014,NSEO,B06B,61 - Longline,431489.5116
2014,NSEO,B61B,61 - Longline,23566.6156
2014,SSEI,9999,61 - Longline,106236.0001
2014,SSEI,B06B,61 - Longline,771691.2694
2014,SSEO,B06B,61 - Longline,358343.8253
2014,SSEO,B61B,61 - Longline,2577.2347
2014,SSEO,C61B,61 - Longline,20
2015,CSEO,B06B,61 - Longline,788621.1751
2015,CSEO,B61B,61 - Longline,54619.4508
2015,CSEO,C61B,61 - Longline,447.5
2015,CSEO,M6AB,61 - Longline,
2015,EYKT,B06B,61 - Longline,1125348.065
2015,EYKT,B61B,61 - Longline,100168.9363
2015,EYKT,C06B,61 - Longline,100
2015,EYKT,C61B,61 - Longline,497
2015,EYKT,M6AB,61 - Longline,
2015,NSEI,B06B,61 - Longline,2251872.981
2015,NSEI,B61B,61 - Longline,51604.4292
2015,NSEO,B06B,61 - Longline,449691.2854
2015,NSEO,B61B,61 - Longline,14320.4134
2015,NSEO,C61B,61 - Longline,
2015,SSEI,9999,61 - Longline,89482.6675
2015,SSEI,B06B,61 - Longline,830951.6334
2015,SSEI,B61B,61 - Longline,6742.0799
2015,SSEO,B06B,61 - Longline,375308.4614
2015,SSEO,B61B,61 - Longline,7350.392
2015,SSEO,M6AB,61 - Longline,
2016,CSEO,B06B,61 - Longline,715102.2272
2016,CSEO,B61B,61 - Longline,64272.1066
2016,CSEO,C06B,61 - Longline,20
2016,CSEO,C61B,61 - Longline,43
2016,EYKT,B06B,61 - Longline,1073167.489
2016,EYKT,B61B,61 - Longline,185527.2232
2016,EYKT,C61B,61 - Longline,0.9
2016,NSEI,B06B,61 - Longline,2517081.383
2016,NSEI,B61B,61 - Longline,52732.7067
2016,NSEI,C61A,61 - Longline,137
2016,NSEO,B06B,61 - Longline,421635.0822
2016,NSEO,B61B,61 - Longline,27847.1441
2016,NSEO,C61B,61 - Longline,0.9
2016,SSEI,9999,61 - Longline,106322.6669
2016,SSEI,B06B,61 - Longline,1019430.031
2016,SSEI,B61B,61 - Longline,5293.3067
2016,SSEO,B06B,61 - Longline,372798.1317
2016,SSEO,B61B,61 - Longline,941.4613
2017,CSEO,B06B,61 - Longline,899861.039
2017,CSEO,B61B,61 - Longline,62543.208
2017,CSEO,C61B,61 - Longline,219.25
2017,EYKT,B06B,61 - Longline,1250587.381
2017,EYKT,B61B,61 - Longline,222419.8623
2017,EYKT,C06B,61 - Longline,3457.44
2017,EYKT,C61B,61 - Longline,29.7
2017,NSEI,B06B,61 - Longline,2613939.833
2017,NSEI,B61B,61 - Longline,49225.008
2017,NSEO,B06B,61 - Longline,435935.6782
2017,NSEO,B61B,61 - Longline,35906.808
2017,NSEO,C06B,61 - Longline,2107.392
2017,NSEO,C61B,61 - Longline,38
2017,SSEI,9998,61 - Longline,492
2017,SSEI,9999,61 - Longline,86261.3331
2017,SSEI,B06B,61 - Longline,959749.3362
2017,SSEI,B61B,61 - Longline,5455.4639
2017,SSEO,B06B,61 - Longline,447499.0729
2017,SSEO,B61B,61 - Longline,4826.304
2017,SSEO,C61B,61 - Longline,2.5
2018,CSEO,B06B,61 - Longline,741221.3982
2018,CSEO,B61B,61 - Longline,21369.096
2018,CSEO,C61B,61 - Longline,6506
2018,EYKT,B06B,61 - Longline,1133918.294
2018,EYKT,B61B,61 - Longline,187743.665
2018,EYKT,C61B,61 - Longline,494
