Year,SEO,SEI
1980,6180,9880
1981,6180,9880
1982,6180,9880
1983,6180,9880
1984,6180,9880
1985,6180,9880
1986,6180,9880
1987,6180,9880
1988,6180,9880
1989,6180,9880
1990,6180,9880
1991,6180,9880
1992,6180,9880
1993,6180,9880
1994,6180,9880
1995,6180,9880
1996,6180,9880
1997,6180,9880
1998,6180,9880
1999,6180,9880
2000,6180,9880
2001,6180,9880
2002,6180,9880
2003,7666,9322
2004,7415,14485
2005,4426,8956
2006,7135,12479
2007,6920,10675
2008,6858,10012
2009,5657,9727
2010,5396,8456
2011,5615,7392
2012,4710,7294
2013,6180,9880
2014,6180,9880
2015,6180,9880
2016,6180,9880
2017,6180,9880
2018,6180,9880
2019,6180,9880
2020,6180,9880
2021,6180,9880
