DOL Year,Mgt Area,CFEC Fishery Code,Gear Code and Name,Whole Weight (sum)
2007,CSEO,B05B,05 - Hand troll,769.6266
2007,CSEO,B06B,61 - Longline,1792394.731
2007,CSEO,B25B,25 - Dinglebar troll,358.0267
2007,CSEO,B61B,61 - Longline,213365.5688
2007,CSEO,I25B,25 - Dinglebar troll,210.6667
2007,CSEO,S05B,05 - Hand troll,99.3067
2007,CSEO,S15B,15 - Power gurdy troll,7234.8193
2007,CSEO,S15B,99 - Other/unspecified/missing,38.808
2007,EYKT,B06B,61 - Longline,2781137.399
2007,EYKT,B61B,61 - Longline,208175.3467
2007,EYKT,S15B,15 - Power gurdy troll,19780.1337
2007,NSEI,B05B,05 - Hand troll,1517.04
2007,NSEI,B06B,61 - Longline,4867658.81
2007,NSEI,B61B,61 - Longline,99119.8432
2007,NSEI,S05B,05 - Hand troll,487.4667
2007,NSEI,S15B,15 - Power gurdy troll,3208.4832
2007,NSEO,B06B,61 - Longline,981149.7969
2007,NSEO,B61B,61 - Longline,40220.9842
2007,NSEO,S05B,05 - Hand troll,179.0133
2007,NSEO,S15B,15 - Power gurdy troll,2965.48
2007,SSEI,9999,61 - Longline,52445.3336
2007,SSEI,B05B,05 - Hand troll,3645.4667
2007,SSEI,B06B,61 - Longline,1385129.06
2007,SSEI,B61B,61 - Longline,18588.2881
2007,SSEI,S05B,05 - Hand troll,462.6666
2007,SSEI,S15B,15 - Power gurdy troll,4200.6438
2007,SSEO,B05B,05 - Hand troll,338.5333
2007,SSEO,B06B,61 - Longline,1697249.327
2007,SSEO,B61B,61 - Longline,82985.4176
2007,SSEO,S15B,15 - Power gurdy troll,3304.954
2008,CSEO,B05B,05 - Hand troll,467.7866
2008,CSEO,B06B,61 - Longline,1345145.089
2008,CSEO,B61B,61 - Longline,153367.7123
2008,CSEO,I25B,25 - Dinglebar troll,377.6268
2008,CSEO,S05B,05 - Hand troll,13.0666
2008,CSEO,S15B,15 - Power gurdy troll,7038.6423
2008,EYKT,B06B,61 - Longline,2676501.646
2008,EYKT,B61B,61 - Longline,211574.6806
2008,EYKT,S15B,15 - Power gurdy troll,6205.752
2008,NSEI,B05B,05 - Hand troll,1237.4133
2008,NSEI,B06B,61 - Longline,3737833.926
2008,NSEI,B61B,61 - Longline,60264.5282
2008,NSEI,S05B,05 - Hand troll,103.6799
2008,NSEI,S15B,15 - Power gurdy troll,958.0375
2008,NSEO,B06B,61 - Longline,767894.058
2008,NSEO,B61B,61 - Longline,31459.9626
2008,NSEO,S15B,15 - Power gurdy troll,1600.2744
2008,SSEI,9999,61 - Longline,54680
