year,mgmt_area,fishery,fishery_type,gear,whole_pounds
1986,SSEI,B05B,Halibut Incidental,Hand troll,30.76191496
1986,CSEO,B61B,Halibut Incidental,Longline,276.2623463
1986,SSEI,B61B,Halibut Incidental,Longline,229.4326157
1986,SSEO,B61B,Halibut Incidental,Longline,4.109414119
1986,CSEO,M05B,Misc Incidental,Hand troll,1.166435247
1986,SSEI,M05B,Misc Incidental,Hand troll,11.45238727
1986,CSEO,M06B,Misc Incidental,Longline,56.80539655
1986,NSEI,M06B,Misc Incidental,Longline,833.8192178
1986,SSEI,M06B,Misc Incidental,Longline,509.3298551
1986,SSEO,M06B,Misc Incidental,Longline,1.557808287
1986,CSEO,M26B,Misc Incidental,Mechanical jigs,160.1515595
1986,NSEI,M26B,Misc Incidental,Mechanical jigs,25.40156685
1986,SSEI,M26B,Misc Incidental,Mechanical jigs,187.1561184
1986,SSEO,M26B,Misc Incidental,Mechanical jigs,1.197204517
1986,CSEO,M61B,Misc Incidental,Longline,1772.281715
1986,EYKT,M61B,Misc Incidental,Longline,24.27244582
1986,NSEI,M61B,Misc Incidental,Longline,3473.195445
1986,NSEO,M61B,Misc Incidental,Longline,975.4311171
1986,SSEI,M61B,Misc Incidental,Longline,4849.820798
1986,SSEO,M61B,Misc Incidental,Longline,44.98940717
1986,NSEO,0,Mixed,Non-pelagic/bottom trawl,16.7587318
1986,NSEI,C61A,Sablefish Incidental,Longline,16.60056348
1986,CSEO,C61B,Sablefish Incidental,Longline,15.84885067
1986,EYKT,C61B,Sablefish Incidental,Longline,67.85575984
1986,NSEO,C61B,Sablefish Incidental,Longline,266.2652917
1986,SSEI,C61B,Sablefish Incidental,Longline,3.0432691
1986,SSEO,C61B,Sablefish Incidental,Longline,172.4118593
1986,SSEI,S05B,Salmon Incidental,troll/salmon,0.520661668
1986,CSEO,S15B,Salmon Incidental,Power gurdy troll,46.97021566
1986,SSEI,S15B,Salmon Incidental,Power gurdy troll,5.380170568
1986,SSEI,S15B,Salmon Incidental,troll/salmon,1.735538893
1987,NSEO,B06B,Halibut Incidental,Longline,85.582665
1987,SSEI,B06B,Halibut Incidental,Longline,508.8533433
1987,CSEO,B61B,Halibut Incidental,Longline,916.0277799
1987,EYKT,B61B,Halibut Incidental,Longline,128.5099468
1987,NSEI,B61B,Halibut Incidental,Longline,26.81240472
1987,NSEO,B61B,Halibut Incidental,Longline,7.726212813
1987,SSEI,B61B,Halibut Incidental,Longline,2999.100855
1987,SSEO,B61B,Halibut Incidental,Longline,36.98472707
1987,CSEO,M05B,Misc Incidental,Hand troll,0.699861148
1987,SSEI,M05B,Misc Incidental,Hand troll,110.9073294
1987,SSEO,M05B,Misc Incidental,Hand troll,1.110659612
1987,CSEO,M06B,Misc Incidental,Longline,58.24186156
1987,NSEI,M06B,Misc Incidental,Longline,1094.142658
1987,NSEO,M06B,Misc Incidental,Longline,82.03433334
1987,SSEI,M06B,Misc Incidental,Longline,993.0425282
1987,SSEO,M06B,Misc Incidental,Longline,6.048527238
1987,CSEO,M26B,Misc Incidental,Mechanical jigs,46.89069695
1987,NSEI,M26B,Misc Incidental,Mechanical jigs,111.3236453
1987,SSEI,M26B,Misc Incidental,Mechanical jigs,292.9400113
1987,SSEO,M26B,Misc Incidental,Mechanical jigs,13.18367384
1987,CSEO,M61B,Misc Incidental,Longline,1570.138487
1987,EYKT,M61B,Misc Incidental,Longline,64.73684211
1987,NSEI,M61B,Misc Incidental,Longline,4155.256497
1987,NSEO,M61B,Misc Incidental,Longline,1168.855207
