"","year.landed","mgmt.area","permit.fishery","gear.description","round.lbs"
"1",1975,"CSEO","","Hand troll",36703
"2",1975,"CSEO","","Longline",280542
"3",1975,"CSEO","","Other/unspecified/missing",169
"4",1975,"EYKT","","Hand troll",7559
"5",1975,"EYKT","","Longline",378684
"6",1975,"NSEI","","Hand troll",107928
"7",1975,"NSEI","","Longline",1523773
"8",1975,"NSEI","","Other/unspecified/missing",540
"9",1975,"NSEO","","Longline",351474
"10",1975,"SSEI","","Hand troll",83279
"11",1975,"SSEI","","Longline",441560
"12",1975,"SSEI","","Other/unspecified/missing",165
"13",1975,"SSEO","","Hand troll",65357
"14",1975,"SSEO","","Longline",406932
"15",1976,"CSEO","","Hand troll",13159
"16",1976,"CSEO","","Longline",288488
"17",1976,"EYKT","","Hand troll",21954
"18",1976,"EYKT","","Longline",493810
"19",1976,"EYKT","","Other/unspecified/missing",28
"20",1976,"NSEI","","Hand troll",72607
"21",1976,"NSEI","","Longline",1266282
"22",1976,"NSEI","","Other/unspecified/missing",96
"23",1976,"NSEO","","Hand troll",9376
"24",1976,"NSEO","","Longline",205143
"25",1976,"SSEI","","Hand troll",63109
"26",1976,"SSEI","","Longline",441170
"27",1976,"SSEO","","Hand troll",24377
"28",1976,"SSEO","","Longline",317725
"29",1977,"CSEO","","Hand troll",731
"30",1977,"CSEO","","Longline",25643
"31",1977,"CSEO","B06B","Hand troll",209
"32",1977,"CSEO","B06B","Longline",6661
"33",1977,"CSEO","B61B","Hand troll",781
"34",1977,"CSEO","B61B","Longline",181329
"35",1977,"CSEO","C61B","Hand troll",45
"36",1977,"CSEO","C61B","Longline",3357
"37",1977,"CSEO","S05B","Hand troll",1125
"38",1977,"CSEO","S05B","Longline",384
"39",1977,"CSEO","S15B","Power gurdy troll",11051
"40",1977,"EYKT","","Hand troll",1361
"41",1977,"EYKT","","Longline",61508
"42",1977,"EYKT","B06B","Longline",3280
"43",1977,"EYKT","B61B","Hand troll",955
"44",1977,"EYKT","B61B","Longline",284071
"45",1977,"EYKT","M06B","Longline",75
"46",1977,"EYKT","S05B","Hand troll",301
"47",1977,"EYKT","S15B","Power gurdy troll",5753
"48",1977,"NSEI","","Hand troll",3580
"49",1977,"NSEI","","Longline",48292
"50",1977,"NSEI","B05B","Longline",329
"51",1977,"NSEI","B06B","Hand troll",460
"52",1977,"NSEI","B06B","Longline",27687
"53",1977,"NSEI","B61B","Hand troll",535
"54",1977,"NSEI","B61B","Longline",556015
"55",1977,"NSEI","C61B","Longline",2730
"56",1977,"NSEI","M61B","Longline",995
"57",1977,"NSEI","S03A","Hand troll",71
"58",1977,"NSEI","S05B","Hand troll",9811
"59",1977,"NSEI","S05B","Longline",462
"60",1977,"NSEI","S15B","Power gurdy troll",9257
"61",1977,"NSEO","","Hand troll",577
"62",1977,"NSEO","","Longline",3021
"63",1977,"NSEO","B06B","Longline",133
"64",1977,"NSEO","B61B","Hand troll",22
"65",1977,"NSEO","B61B","Longline",99837
"66",1977,"NSEO","C61B","Longline",443
"67",1977,"NSEO","S05B","Hand troll",29
"68",1977,"NSEO","S05B","Longline",1357
"69",1977,"NSEO","S15B","Power gurdy troll",2924
"70",1977,"SSEI","","Hand troll",1964
"71",1977,"SSEI","","Longline",29699
"72",1977,"SSEI","","Power gurdy troll",23
"73",1977,"SSEI","B06B","Hand troll",25
"74",1977,"SSEI","B06B","Longline",18260
"75",1977,"SSEI","B61B","Hand troll",1639
"76",1977,"SSEI","B61B","Longline",216659
"77",1977,"SSEI","C61B","Longline",26
"78",1977,"SSEI","M06B","Hand troll",31
"79",1977,"SSEI","S05B","Hand troll",5085
"80",1977,"SSEI","S05B","Longline",813
"81",1977,"SSEI","S15B","Power gurdy troll",10363
"82",1977,"SSEO","","Hand troll",828
"83",1977,"SSEO","","Longline",18883
"84",1977,"SSEO","B06B","Hand troll",90
"85",1977,"SSEO","B06B","Longline",5438
"86",1977,"SSEO","B61B","Hand troll",59
"87",1977,"SSEO","B61B","Longline",127002
"88",1977,"SSEO","S05B","Hand troll",1219
"89",1977,"SSEO","S05B","Longline",36
"90",1977,"SSEO","S15B","Power gurdy troll",4534
"91",1978,"CSEO","","Hand troll",3337
"92",1978,"CSEO","","Longline",32482
"93",1978,"CSEO","","Other/unspecified/missing",1227
"94",1978,"CSEO","B06B","Longline",12023
"95",1978,"CSEO","B61B","Longline",361570
"96",1978,"CSEO","C61B","Longline",389
"97",1978,"CSEO","M06B","Longline",44
"98",1978,"CSEO","S05B","Hand troll",2602
"99",1978,"CSEO","S05B","Longline",33
