Year,Region,Catch 000 Lbs,Effort Skates,"Total Catch (US Tons, Round Weight)"
1971,SE-O,2345,32279,1559.425
1971,SE-I,4108,61619,2731.82
1972,SE-O,2326,31522,1546.79
1972,SE-I,3309,48630,2200.485
1973,SE-O,1954,26164,1299.41
1973,SE-I,3776,64423,2511.04
1974,SE-O,2291,39407,1523.515
1974,SE-I,3314,59474,2203.81
1975,SE-O,2449,43631,1628.585
1975,SE-I,3794,75141,2523.01
1976,SE-O,2264,54343,1505.56
1976,SE-I,3263,77509,2169.895
1977,SE-O,1545,28509,1027.425
1977,SE-I,1641,43484,1091.265
1978,SE-O,2271,33184,1510.215
1978,SE-I,2045,44211,1359.925
1979,SE-O,1834,20941,1219.61
1979,SE-I,2696,34765,1792.84
1980,SE-O,996,9744,662.34
1980,SE-I,2242,29769,1490.93
1981,SE-O,1118,6653,743.47
1981,SE-I,2892,20801,1923.18
1982,SE-O,1191,8249,792.015
1982,SE-I,2294,12316,1525.51
