DOL Year,CFEC Fishery Code,Gear Code and Name,Mgt Area,Whole Weight (sum)
2007,B06B,61 - Longline,CSEO,1792395.00
2007,B06B,61 - Longline,EYKT,2781137.00
2007,B06B,61 - Longline,NSEO,981150.00
2007,B06B,61 - Longline,SSEO,1697249.00
2007,B61B,61 - Longline,CSEO,213535.00
2007,B61B,61 - Longline,EYKT,208175.00
2007,B61B,61 - Longline,NSEO,40221.00
2007,B61B,61 - Longline,SSEO,82985.00
2008,B06B,61 - Longline,CSEO,1345145.00
2008,B06B,61 - Longline,EYKT,2676538.00
2008,B06B,61 - Longline,NSEO,767894.00
2008,B06B,61 - Longline,SSEO,957304.00
2008,B61B,61 - Longline,CSEO,153768.00
2008,B61B,61 - Longline,EYKT,211915.00
2008,B61B,61 - Longline,NSEO,31460.00
2008,B61B,61 - Longline,SSEO,55601.00
2009,B06B,61 - Longline,CSEO,1042538.00
2009,B06B,61 - Longline,EYKT,2390113.00
2009,B06B,61 - Longline,NSEO,624530.00
2009,B06B,61 - Longline,SSEO,732186.00
2009,B61B,61 - Longline,CSEO,68790.00
2009,B61B,61 - Longline,EYKT,114631.00
2009,B61B,61 - Longline,NSEO,22552.00
2009,B61B,61 - Longline,SSEO,84350.00
2010,B06B,61 - Longline,CSEO,948617.00
2010,B06B,61 - Longline,EYKT,2289247.00
2010,B06B,61 - Longline,NSEO,553026.00
2010,B06B,61 - Longline,SSEO,631440.00
2010,B61B,61 - Longline,CSEO,53639.00
2010,B61B,61 - Longline,EYKT,255550.00
2010,B61B,61 - Longline,NSEO,30828.00
2010,B61B,61 - Longline,SSEO,39882.00
2011,B06B,61 - Longline,CSEO,481438.00
2011,B06B,61 - Longline,EYKT,1719141.00
2011,B06B,61 - Longline,NSEO,308399.00
2011,B06B,61 - Longline,SSEO,277191.00
2011,B61B,61 - Longline,CSEO,39167.00
2011,B61B,61 - Longline,EYKT,269695.00
2011,B61B,61 - Longline,NSEO,13403.00
2011,B61B,61 - Longline,SSEO,7485.00
2012,B06B,61 - Longline,CSEO,528349.00
2012,B06B,61 - Longline,EYKT,1543169.00
2012,B06B,61 - Longline,NSEO,366182.00
2012,B06B,61 - Longline,SSEO,308794.00
2012,B61B,61 - Longline,CSEO,46828.00
2012,B61B,61 - Longline,EYKT,205529.00
2012,B61B,61 - Longline,NSEO,30336.00
2012,B61B,61 - Longline,SSEO,2514.00
2013,B06B,61 - Longline,CSEO,553984.00
2013,B06B,61 - Longline,EYKT,1419300.00
2013,B06B,61 - Longline,NSEO,371726.00
2013,B06B,61 - Longline,SSEO,375688.00
2013,B61B,61 - Longline,CSEO,65327.00
2013,B61B,61 - Longline,EYKT,236000.00
2013,B61B,61 - Longline,NSEO,16790.00
2013,B61B,61 - Longline,SSEO,3248.00
2014,B06B,61 - Longline,CSEO,699605.00
2014,B06B,61 - Longline,EYKT,1047331.00
2014,B06B,61 - Longline,NSEO,431490.00
2014,B06B,61 - Longline,SSEO,358344.00
2014,B61B,61 - Longline,CSEO,44124.00
2014,B61B,61 - Longline,EYKT,138677.00
2014,B61B,61 - Longline,NSEO,23567.00
2014,B61B,61 - Longline,SSEO,2577.00
2015,B06B,61 - Longline,CSEO,788621.00
2015,B06B,61 - Longline,EYKT,1125348.00
2015,B06B,61 - Longline,NSEO,449691.00
2015,B06B,61 - Longline,SSEO,375308.00
2015,B61B,61 - Longline,CSEO,54619.00
2015,B61B,61 - Longline,EYKT,100169.00
2015,B61B,61 - Longline,NSEO,14320.00
2015,B61B,61 - Longline,SSEO,7350.00
2016,B06B,61 - Longline,CSEO,715102.00
2016,B06B,61 - Longline,EYKT,1073167.00
2016,B06B,61 - Longline,NSEO,421635.00
2016,B06B,61 - Longline,SSEO,372798.00
2016,B61B,61 - Longline,CSEO,64272.00
2016,B61B,61 - Longline,EYKT,185527.00
2016,B61B,61 - Longline,NSEO,27847.00
2016,B61B,61 - Longline,SSEO,941.00
2017,B06B,61 - Longline,CSEO,899861.00
2017,B06B,61 - Longline,EYKT,1250587.00
2017,B06B,61 - Longline,NSEO,435936.00
2017,B06B,61 - Longline,SSEO,447499.00
2017,B61B,61 - Longline,CSEO,62543.00
2017,B61B,61 - Longline,EYKT,222420.00
2017,B61B,61 - Longline,NSEO,35907.00
2017,B61B,61 - Longline,SSEO,4826.00
2018,B06B,61 - Longline,CSEO,741221.00
2018,B06B,61 - Longline,EYKT,1133918.00
2018,B06B,61 - Longline,NSEO,342261.00
2018,B06B,61 - Longline,SSEO,408144.00
2018,B61B,61 - Longline,CSEO,21369.00
2018,B61B,61 - Longline,EYKT,187744.00
2018,B61B,61 - Longline,NSEO,17999.00
2018,B61B,61 - Longline,SSEO,15202.00
2019,B06B,61 - Longline,CSEO,676511.00
2019,B06B,61 - Longline,EYKT,1238899.00
2019,B06B,61 - Longline,NSEO,453372.00
2019,B06B,61 - Longline,SSEO,386651.00
2019,B61B,61 - Longline,CSEO,4798.00
2019,B61B,61 - Longline,EYKT,196686.00
2019,B61B,61 - Longline,NSEO,10116.00
2019,B61B,61 - Longline,SSEO,11498.00
2020,B06B,61 - Longline,CSEO,631205.00
2020,B06B,61 - Longline,EYKT,1060292.00
2020,B06B,61 - Longline,NSEO,488187.00
2020,B06B,61 - Longline,SSEO,357817.00
2020,B61B,61 - Longline,CSEO,18182.00
2020,B61B,61 - Longline,EYKT,165963.00
2020,B61B,61 - Longline,NSEO,2746.00
2020,B61B,61 - Longline,SSEO,19098.00
2021,B06B,61 - Longline,CSEO,599274.00
2021,B06B,61 - Longline,EYKT,1592173.00
2021,B06B,61 - Longline,NSEO,493936.00
2021,B06B,61 - Longline,SSEO,294824.00
2021,B61B,61 - Longline,CSEO,25899.00
2021,B61B,61 - Longline,EYKT,209043.00
2021,B61B,61 - Longline,NSEO,779.00
2021,B61B,61 - Longline,SSEO,4194.00
2022,B06B,61 - Longline,CSEO,382510.00
2022,B06B,61 - Longline,EYKT,1001335.00
2022,B06B,61 - Longline,NSEO,194481.00
2022,B06B,61 - Longline,SSEO,317223.00
2022,B61B,61 - Longline,CSEO,36318.00
2022,B61B,61 - Longline,EYKT,108737.00
2022,B61B,61 - Longline,NSEO,32500.00
2022,B61B,61 - Longline,SSEO,1747.00
