Year,"IPHC
Regulatory Area","IPHC 
Statistical Area",Net wt (lb),Unique vessels
2025,2A ,009,16428,9
2025,2A ,010,57321,19
2025,2A ,020,165277,45
2025,2A ,030,8847,3
2025,2A ,040,25514,30
2025,2A ,050,101110,84
2025,2B ,060,119287,20
2025,2B ,080/081,27204,10
2025,2B ,091,516542,46
2025,2B ,100,138408,13
2025,2B ,102,220262,16
2025,2B ,112/121,545633,29
2025,2B ,131,696744,34
2025,2B ,133,663893,34
2025,2B ,135,521921,34
2025,2C ,140,66811,9
2025,2C ,141,12667,4
2025,2C ,142,28938,12
2025,2C ,143,72831,9
2025,2C ,144,4389,3
2025,2C ,150,125905,19
2025,2C ,151,219828,31
2025,2C ,152,201904,45
2025,2C ,153,29959,15
2025,2C ,160,257087,63
2025,2C ,161,259417,43
2025,2C ,162,524819,78
2025,2C ,163,3661,3
2025,2C ,170,157310,65
2025,2C ,171,141753,41
2025,2C ,173,48798,16
2025,2C ,174,10527,14
2025,2C ,181,264532,46
2025,2C ,182,79482,29
2025,2C ,183,4465,3
2025,2C ,184,73174,9
2025,3A ,185,291283,62
2025,3A ,190,435549,58
2025,3A ,200,466847,47
2025,3A ,210,366567,35
2025,3A ,220,484183,47
2025,3A ,230,228329,39
2025,3A ,232,88760,27
2025,3A ,240,260519,52
2025,3A ,242,167939,33
2025,3A ,250,368545,54
2025,3A ,260,361886,65
2025,3A ,261,431664,61
2025,3A ,270,341412,60
2025,3A ,271,346923,48
2025,3A ,280,429043,48
2025,3A ,281,143725,25
2025,3B ,290,1024710,83
2025,3B ,300,385479,40
2025,3B ,310,69415,12
2025,3B ,320,275473,33
2025,3B ,330,131254,13
2025,3B ,340,86180,9
2025,4A ,350,150696,16
2025,4A ,360,236167,18
2025,4A ,370,74029,9
2025,4A ,380,15493,4
2025,4A ,Bering Sea,164403,24
2025,4B ,"400, 420, 430, 440, 490",33093,4
2025,4B ,Bering Sea,133224,7
2025,4CDE,Bering Sea,522700,29
2024,2A ,006/007,14165,12
2024,2A ,008,12734,8
2024,2A ,009,18887,19
2024,2A ,010,44491,29
2024,2A ,020,119754,49
2024,2A ,030,24781,11
2024,2A ,040,22266,37
2024,2A ,050,513560,140
2024,2B ,060,94345,12
2024,2B ,070,20040,12
2024,2B ,080,77382,27
2024,2B ,081,3960,6
2024,2B ,090,80774,30
2024,2B ,091,143089,43
2024,2B ,092,32277,17
2024,2B ,100,113602,30
2024,2B ,102,565478,55
2024,2B ,103,14182,13
2024,2B ,110,51525,21
2024,2B ,112,983325,67
2024,2B ,114,120071,24
2024,2B ,120,24035,16
2024,2B ,121,168058,32
2024,2B ,122,27259,12
2024,2B ,130,272253,39
2024,2B ,131,510427,35
2024,2B ,132,296368,40
2024,2B ,133,257844,34
2024,2B ,134,9130,10
2024,2B ,135,479845,45
2024,2C ,140,69071,7
2024,2C ,141,13594,6
2024,2C ,142,24699,12
2024,2C ,143,62977,38
2024,2C ,144,11601,5
2024,2C ,150,222991,25
2024,2C ,151,295599,46
2024,2C ,152,183404,47
2024,2C ,153,48761,23
2024,2C ,160,353266,81
2024,2C ,161,308677,60
2024,2C ,162,567921,82
2024,2C ,163,67752,25
2024,2C ,170,187995,69
2024,2C ,171,127503,41
2024,2C ,173,56505,17
2024,2C ,174,25699,19
2024,2C ,181,216998,45
2024,2C ,182,194019,44
2024,2C ,183,22792,10
2024,2C ,184,67884,15
2024,3A ,185,483077,76
2024,3A ,190,525183,53
2024,3A ,200,675013,50
2024,3A ,210,698219,44
2024,3A ,220,433192,46
2024,3A ,230,316775,50
2024,3A ,232,91600,31
2024,3A ,240,405124,72
2024,3A ,242,157781,40
2024,3A ,250,635970,80
2024,3A ,260,493983,75
2024,3A ,261,522716,73
2024,3A ,270,441283,79
2024,3A ,271,284319,52
2024,3A ,280,654086,68
2024,3A ,281,85691,21
2024,3B ,290,1449135,109
2024,3B ,300,416013,48
2024,3B ,310,86244,22
2024,3B ,320,330056,33
2024,3B ,330,193136,15
2024,3B ,340,99474,13
2024,4A ,350,157064,15
2024,4A ,360,240450,26
2024,4A ,370,85344,15
2024,4A ,380/390,30426,11
2024,4A ,Bering Sea,201790,27
2024,4B ,400/410,74402,5
2024,4B ,420,8863,3
2024,4B ,430/440,21097,3
2024,4B ,490,32326,3
2024,4B ,Bering Sea,150638,10
2024,4CDE,Bering Sea,801481,37
2023,2A ,006/007,12016,7
2023,2A ,008/009,23819,18
2023,2A ,010,99460,38
2023,2A ,020,128038,39
2023,2A ,030,25894,6
2023,2A ,040,23051,23
2023,2A ,050,433875,93
2023,2B ,060,112744,15
2023,2B ,070,76317,12
2023,2B ,080,67757,37
2023,2B ,081,2507,3
2023,2B ,090,134694,36
2023,2B ,091,205663,42
2023,2B ,092,13474,11
2023,2B ,100,179854,33
2023,2B ,102,540153,57
2023,2B ,103,25750,11
2023,2B ,110,46475,20
2023,2B ,112,894932,66
2023,2B ,114,96042,15
2023,2B ,120,36210,18
2023,2B ,121,201044,27
2023,2B ,122,7757,8
2023,2B ,130,263327,44
2023,2B ,131,529126,46
2023,2B ,132,388702,48
2023,2B ,133,548374,45
2023,2B ,134,29893,12
2023,2B ,135,531814,54
2023,2C ,140,17035,11
2023,2C ,141,16890,4
2023,2C ,142,58172,8
2023,2C ,143,50892,31
2023,2C ,144,23587,6
2023,2C ,150,143196,25
2023,2C ,151,245870,46
2023,2C ,152,255159,53
2023,2C ,153,49283,22
2023,2C ,160,382241,87
2023,2C ,161,202699,43
2023,2C ,162,597850,85
2023,2C ,163,97688,28
2023,2C ,170,226486,68
2023,2C ,171,137556,49
2023,2C ,173,30958,17
2023,2C ,174,18406,13
2023,2C ,181,218699,46
2023,2C ,182,201342,46
2023,2C ,183,39695,17
2023,2C ,184,89551,11
2023,3A ,185,584149,86
2023,3A ,190,683089,69
2023,3A ,200,688462,52
2023,3A ,210,568511,47
2023,3A ,220,406060,54
2023,3A ,230,308626,56
2023,3A ,232,133297,36
2023,3A ,240,409187,62
2023,3A ,242,190866,43
2023,3A ,250,541257,75
2023,3A ,260,422959,74
2023,3A ,261,527364,71
2023,3A ,270,535033,100
2023,3A ,271,347096,50
2023,3A ,280,635972,59
2023,3A ,281,152639,19
2023,3B ,290,1524743,115
2023,3B ,300,449331,43
2023,3B ,310,71546,15
2023,3B ,320,254744,32
2023,3B ,330,312742,24
2023,3B ,340,169388,23
2023,4A ,350,186801,23
2023,4A ,360,254251,24
2023,4A ,370,72654,15
2023,4A ,380/390,45571,11
2023,4A ,Bering Sea,377333,43
2023,4B ,400,20849,3
2023,4B ,410,73771,6
2023,4B ,420,31110,6
2023,4B ,430,12452,6
2023,4B ,440/450/480/490,41112,4
2023,4B ,Bering Sea,224313,13
2023,4CDE,Bering Sea,1254754,36
2022,2A ,008,4013,4
2022,2A ,009,24346,19
2022,2A ,010,98972,29
2022,2A ,020,66474,49
2022,2A ,030,44262,12
2022,2A ,040,24843,24
2022,2A ,050,517079,161
2022,2B ,060,233984,14
2022,2B ,070,107125,13
2022,2B ,080,122745,34
2022,2B ,081,6608,5
2022,2B ,090,168289,37
2022,2B ,091,431165,51
2022,2B ,092,27529,14
2022,2B ,100,173973,36
2022,2B ,102,726666,53
2022,2B ,103,29251,10
2022,2B ,110,34773,17
2022,2B ,112,778010,58
2022,2B ,114,73645,20
2022,2B ,120,30422,11
2022,2B ,121,106761,23
2022,2B ,122,30464,13
2022,2B ,130,333768,37
2022,2B ,131,559229,42
2022,2B ,132,484358,47
2022,2B ,133,384523,48
2022,2B ,134,71039,21
2022,2B ,135,626714,53
2022,2C ,140,41585,12
2022,2C ,141,5764,4
2022,2C ,142,33023,9
2022,2C ,143,53717,30
2022,2C ,144,15263,7
2022,2C ,150,149777,28
