Year,"IPHC
Regulatory Area","IPHC 
Statistical Area",Net wt (lb),Unique vessels
2022,2A,007/009,13088,10
2022,2A,010,103606,38
2022,2A,020,119792,53
2022,2A,030,3375,4
2022,2A,040,28388,25
2022,2A,050,509762,156
2022,2B,060/070,148269,15
2022,2B,080/081,98906,15
2022,2B,091,1161709,53
2022,2B,100,103301,17
2022,2B,102,378806,28
2022,2B,112,379229,27
2022,2B,131/132,811310,37
2022,2B,133,1027810,39
2022,2B,135,860765,47
2022,2C,140,41798,12
2022,2C,141,4530,3
2022,2C,142,32764,9
2022,2C,143,47044,25
2022,2C,144,15263,7
2022,2C,150,179940,33
2022,2C,151,249705,36
2022,2C,152,235728,54
2022,2C,153,42459,15
2022,2C,160,343902,87
2022,2C,161,253306,44
2022,2C,162,766536,82
2022,2C,163,3970,3
2022,2C,170,242604,86
2022,2C,171,111627,38
2022,2C,173,47574,16
2022,2C,174,15688,10
2022,2C,181,374790,61
2022,2C,182,127279,39
2022,2C,183,8471,4
2022,2C,184,83873,10
2022,3A,185,834099,91
2022,3A,190,737076,64
2022,3A,200,894367,55
2022,3A,210,424395,41
2022,3A,220,443597,32
2022,3A,230,242117,44
2022,3A,232,254902,39
2022,3A,240,400299,50
2022,3A,242,673509,54
2022,3A,250,666344,67
2022,3A,260,490564,74
2022,3A,261,455713,62
2022,3A,270,643653,78
2022,3A,271,642466,54
2022,3A,280,843551,67
2022,3A,281,135473,24
2022,3B,290,1336094,107
2022,3B,300,371835,45
2022,3B,310,176976,23
2022,3B,320,370935,39
2022,3B,330,248242,23
2022,3B,340,199101,27
2022,4A,350,241323,28
2022,4A,360,254468,29
2022,4A,370,220638,22
2022,4A,380/390/395,58061,11
2022,4A,Bering Sea,506505,50
2022,4B,400,51041,7
2022,4B,410,70608,8
2022,4B,420,34481,4
2022,4B,430,22244,5
2022,4B,440/450/480,41091,5
2022,4B,490,17883,4
2022,4BCDE,Bering Sea,1847953,44
