"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","cv"
"1471","Bseo[1]",28695.491,4939.812,19986.451,28475.405,39750.346,FALSE,1,1,3000,0.172145930522673
"1472","Bseo[2]",28795.672,4872.325,20087.155,28497.188,39387.93,FALSE,1,1,3000,0.169203378896662
"1473","Bseo[3]",28903.141,4764.392,20326.83,28641.112,39275.161,FALSE,1,1,3000,0.164839939022544
"1474","Bseo[4]",29013.661,4669.857,20657.203,28679.875,38890.865,FALSE,1,1,2545,0.160953731416383
"1475","Bseo[5]",28989.737,4578.277,20633.963,28577.254,38876.516,FALSE,1,1,2826,0.157927510691111
"1476","Bseo[6]",28817.371,4421.817,20723.251,28532.59,38300.212,FALSE,1,1,3000,0.153442762006291
"1477","Bseo[7]",28495.09,4312.266,20732.736,28240.907,37628.509,FALSE,1,1,3000,0.15133365081493
"1478","Bseo[8]",28210.618,4154.04,20678.842,27919.991,37326.497,FALSE,1,1,3000,0.147250939344895
"1479","Bseo[9]",27590.667,3960.39,20467.922,27307.579,36183.688,FALSE,1,1,3000,0.143540929981867
"1480","Bseo[10]",27121.112,3803.981,20185.732,26886.648,35416.528,FALSE,1,1,3000,0.140259035101511
"1481","Bseo[11]",26856.412,3625.099,20305.946,26591.654,34685.26,FALSE,1,1,3000,0.134980763625461
"1482","Bseo[12]",26674.882,3406.104,20505.529,26497.384,34042.834,FALSE,1,1,2993,0.127689562038175
"1483","Bseo[13]",26330.166,3179.057,20656.894,26190.759,33052.538,FALSE,1,1,2096,0.120738205752292
"1484","Bseo[14]",26044.428,2952.819,20570,25904.01,32364.915,FALSE,1,1.001,1677,0.113376227729018
"1485","Bseo[15]",25710.097,2700.433,20631.21,25599.174,31407.491,FALSE,1,1.001,1421,0.105033948335551
"1486","Bseo[16]",25555.779,2599.895,20646.128,25408.86,30915.819,FALSE,1,1.001,1248,0.101734132228957
"1487","Bseo[17]",25452.874,2500.304,20974.626,25345.207,30691.418,FALSE,1,1,3000,0.0982326789501256
"1488","Bseo[18]",25126.567,2357.383,20828.791,24984.355,30004.677,FALSE,1,1,3000,0.0938203376529711
"1489","Bseo[19]",24959.447,2275.655,20743.164,24866.74,29506.876,FALSE,1,1.001,2709,0.0911740953235062
"1490","Bseo[20]",23944.387,2062.123,20129.681,23884.198,28165.709,FALSE,1,1.002,1551,0.0861213527830134
"1491","Bseo[21]",23176.549,2002.03,19503.469,23081.951,27316.449,FALSE,1,1.001,3000,0.0863817128253218
"1492","Bseo[22]",22391.646,1924.985,18937.872,22329.407,26382.068,FALSE,1,1.002,3000,0.0859688921484379
"1493","Bseo[23]",21803.256,1883.685,18480.3,21740.44,25793.481,FALSE,1,1.001,3000,0.0863946650903883
"1494","Bseo[24]",21466.348,1827.422,18196.058,21417.368,25258.341,FALSE,1,1.001,3000,0.0851296177626488
"1495","Bseo[25]",20957.801,1784.252,17698.465,20910.191,24592.121,FALSE,1,1.001,2771,0.0851354586294621
"1496","Bseo[26]",20185.28,1671.723,16977.317,20111.578,23656.147,FALSE,1,1.001,1925,0.0828189155661948
"1497","Bseo[27]",19229.385,1556.691,16237.365,19207.107,22371.677,FALSE,1,1,2384,0.0809537590515765
"1498","Bseo[28]",18243.496,1472.5,15445.795,18220.889,21179.465,FALSE,1,1.001,1749,0.0807136965414962
"1499","Bseo[29]",17545.348,1432.121,14851.361,17508.21,20457.192,FALSE,1,1.001,1190,0.0816239723486818
"1500","Bseo[30]",17234.35,1392.141,14643.833,17201.112,20066.99,FALSE,1,1.001,1980,0.0807771108280846
"1501","Bseo[31]",16778.701,1345.55,14240.703,16752.536,19432.773,FALSE,1,1.001,1885,0.0801939315802814
"1502","Bseo[32]",16275.183,1258.969,13889.204,16249.731,18783.664,FALSE,1,1,3000,0.0773551363447035
"1503","Bseo[33]",16027.019,1173.485,13858.384,15980.353,18403.162,FALSE,1,1.001,1867,0.0732191682058903
"1504","Bseo[34]",15984.1,1148.196,13850.193,15980.518,18293.274,FALSE,1,1.001,2057,0.0718336346744577
"1505","Bseo[35]",16179.916,1131.693,14091.339,16165.191,18472.814,FALSE,1,1,3000,0.0699443062621586
"1506","Bseo[36]",16303.31,1111.029,14244.885,16264.343,18590.618,FALSE,1,1.001,2377,0.0681474498123387
"1507","Bseo[37]",16484.655,1053.229,14489.215,16486.424,18520.783,FALSE,1,1,2969,0.063891479682165
"1508","Bseo[38]",16645.72,1033.82,14686.359,16612.319,18725.497,FALSE,1,1,3000,0.0621072563998433
"1509","Bseo[39]",16980.062,1046.415,15017.902,16957.724,19061.781,FALSE,1,1,2600,0.0616261000695993
"1510","Bseo[40]",17330.167,1142.655,15210.862,17290.598,19691.521,FALSE,1,1,2551,0.0659344482946991
"1511","Bseo[41]",17764.898,1267.7,15361.56,17694.12,20469.641,FALSE,1,1,3000,0.0713598243007081
"1512","Bseo[42]",17953.069,1444.737,15303.513,17864.149,20899.039,FALSE,1,1,3000,0.0804729820845673
"1513","Bseo[43]",17973.948,1621.739,15094.653,17859.933,21337.27,FALSE,1,1.001,1569,0.0902271999451651
"1514","Bseo[44]",18009.058,1855.073,14737.914,17871.782,21989.739,FALSE,1,1,3000,0.103007775309514
"1515","Bseo[45]",18037.312,2038.341,14475.218,17864.595,22480.446,FALSE,1,1,2675,0.113006915886358
"1516","Bseo[46]",18084.552,2269.085,14078.309,17880.044,22961.072,FALSE,1,1,3000,0.12547089914088
"1517","Bseo[47]",18111.631,2452.933,13785.267,17944.25,23370.427,FALSE,1,1,3000,0.135434130697561
"1518","Bseo[48]",18152.128,2625.984,13545.046,17961.878,23800.128,FALSE,1,1,3000,0.144665352734401
"1519","Bseo[49]",18202.797,2803.395,13453.445,17934.717,24288.519,FALSE,1,1.001,1844,0.154009023997796
"1520","Bseo[50]",18236.348,2963.644,13209.634,17953.405,24509.037,FALSE,1,1.001,1998,0.1625130206991
"1521","Bseo[51]",18272.011,3127.579,13015.617,17938.22,24966.694,FALSE,1,1,3000,0.171167749406456
"1522","Bseo[52]",18277.795,3278.333,12745.817,17881.305,25454.817,FALSE,1,1,2992,0.179361514887326
"1523","Bseo[53]",18278.846,3446.696,12555.573,17904.757,25837.495,FALSE,1,1,3000,0.188562013159912
"1524","Bseo[54]",18300.667,3601.461,12238.904,17937.699,26103.615,FALSE,1,1,3000,0.196793974776985
"1525","Bseo[55]",18362.335,3733.456,12245.004,17997.45,26488.663,FALSE,1,1,3000,0.203321418545082
"1526","Bseo[56]",18354.615,3869.678,11928.703,17958.004,27073.52,FALSE,1,1,3000,0.210828611768757
"1527","Bseo[57]",18386.244,4049.813,11741.281,17971.67,27301.374,FALSE,1,1,2966,0.220263203294811
