Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect_Number,Dive_Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2018NSEO_Dive_07_10-48-03.000.avi,62447,11:22:50,40970,,,585,825,QC,EricaEbert,85,N/A,2018,7,64,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_08_11-54-23.000.avi,101,11:54:27,42867,,,597,839,QC,EricaEbert,100,N/A,2018,8,63,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_08_11-54-23.000.avi,26758,12:09:16,43756,,,592,829,QC,EricaEbert,100,N/A,2018,8,63,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2018NSEO_Dive_08_11-54-23.000.avi,27120,12:09:28,43768,,,578,822,QC,EricaEbert,100,N/A,2018,8,63,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_08_11-54-23.000.avi,33882,12:13:13,43993,,,588,825,QC,EricaEbert,100,N/A,2018,8,63,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2018NSEO_Dive_08_11-54-23.000.avi,34094,12:13:20,44000,,,590,827,QC,EricaEbert,100,N/A,2018,8,63,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_08_11-54-23.000.avi,66231,12:31:12,45072,,,597,832,QC,EricaEbert,100,N/A,2018,8,63,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_09_13-00-18.000.avi,136,13:00:32,46832,,,595,834,QC,EricaEbert,80,N/A,2018,9,62,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_09_13-00-18.000.avi,64352,13:36:12,48972,,,602,832,QC,EricaEbert,80,N/A,2018,9,62,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_10_14-21-17.000.avi,248,14:21:31,51691,,,603,842,QC,EricaEbert,115,N/A,2018,10,61,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_10_14-21-17.000.avi,57187,14:53:09,53589,,,603,835,QC,EricaEbert,115,N/A,2018,10,61,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_11_15-47-33.000.avi,133,15:47:38,56858,,,608,834,QC,EricaEbert,120,N/A,2018,11,56,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_11_15-47-33.000.avi,45023,16:12:35,58355,,,602,840,QC,EricaEbert,120,N/A,2018,11,56,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_11_15-47-33.000.avi,45439,16:12:49,58369,,,610,847,QC,EricaEbert,120,N/A,2018,11,56,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_11_15-47-33.000.avi,55982,16:18:40,58720,,,585,824,QC,EricaEbert,120,N/A,2018,11,56,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_11_15-47-33.000.avi,56222,16:18:48,58728,,,603,844,QC,EricaEbert,120,N/A,2018,11,56,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_11_15-47-33.000.avi,57318,16:19:25,58765,,,595,829,QC,EricaEbert,120,N/A,2018,11,56,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_12_17-15-14.000.avi,161,17:15:25,62125,,,583,822,QC,EricaEbert,65,N/A,2018,12,59,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_12_17-15-14.000.avi,61432,17:49:28,64168,,,585,822,QC,EricaEbert,65,N/A,2018,12,59,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_13_08-11-57.000.avi,237,8:12:06,29526,,,593,839,QC,EricaEbert,90,N/A,2018,13,60,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_13_08-11-57.000.avi,70720,8:51:15,31875,,,598,830,QC,EricaEbert,90,N/A,2018,13,60,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_14_09-39-24.000.avi,369,9:39:39,34779,,,613,847,QC,EricaEbert,110,N/A,2018,14,57,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_14_09-39-24.000.avi,57533,10:11:25,36685,,,607,835,QC,EricaEbert,110,N/A,2018,14,57,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2018NSEO_Dive_15_11-05-29.000.avi,154,11:05:43,39943,,,602,844,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2018NSEO_Dive_15_11-05-29.000.avi,6485,11:09:14,40154,,,587,822,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,6759,11:09:23,40163,,,587,830,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,7167,11:09:37,40177,,,580,818,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,lost bottom visual,BLB,BLB,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,8549,11:10:23,40223,,,587,832,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,9441,11:10:53,40253,,,578,818,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Bad,lost bottom visual,BLB,BLB,1,AD,Passing,,,
SL_2018NSEO_Dive_15_11-05-29.000.avi,10014,11:11:12,40272,,,607,845,QC,EricaEbert,135,N/A,2018,15,55,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
