Filename,Frame,Time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,Family,Genus,Species,Code,Number,Stage,Activity,Check ID
SL_2018NSEO_Dive_01_13-04-18.000.avi,2292,13:05:35,549.296,62.271,3.458,4532.77,28.269,24.356,20.703,2080.796,528.132,-3992.164,1,KelliiWood,110,N/A,2018,1,70,Line,greenling,lingcod,130,130,1,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,5978,13:07:38,730.427,51.466,3.69,4778.71,25.616,1.254,21.443,1876.725,863.916,-4309.017,1,KelliiWood,110,N/A,2018,1,70,Line,halibut,halibut,200,200,2,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,6035,13:07:40,,9.463,2.78,2103.722,27.289,,,642.684,-728.591,-1865.948,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,3,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,7281,13:08:22,,91.498,0.258,6610.512,21.763,,,1357.092,2010.026,-6149.551,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,4,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,7490,13:08:29,,54.98,4.03,5274.195,30.911,,,-2387.094,1258.896,-4531.457,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,5,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,9739,13:09:44,,115.921,1.873,7553.885,21.905,,,-1028.516,2588.363,-7021.66,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,6,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,11749,13:10:51,,104.348,0.18,7034.283,23.912,,,-1853.1,2134.499,-6441.356,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,7,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,13571,13:11:51,,85.83,2.677,6631.106,22.096,,,360.76,2437.172,-6156.429,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,quillback,147,147,8,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,13791,13:11:59,,58.36,1.004,5467.539,16.983,,,-456.682,1503.949,-5236.751,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,quillback,147,147,9,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,20049,13:15:27,,56.444,1.294,5214.592,25.935,,,2103.465,857.543,-4693.828,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,10,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,20799,13:15:52,,28.152,0.757,3774.238,25.989,,,-1610.403,359.648,-3394.425,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,11,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,21582,13:16:18,,47.588,7.222,5076.219,32.564,,,-2574.742,892.627,-4282.747,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,12,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,22354,13:16:44,,23.712,1.737,3386.174,25.367,,,1359.046,492.071,-3062.194,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,13,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,22802,13:16:59,,19.215,0.209,3009.15,29.095,,,1023.606,1032.305,-2634.683,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,14,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,22994,13:17:05,,78.744,0.849,6230.795,20.061,,,-875.302,1920.318,-5862.51,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,15,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,23270,13:17:15,,34.505,0.927,4213.473,18.515,,,1335.681,59.193,-3995.723,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,16,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,24584,13:17:58,,2.859,0.899,1166.333,29.417,,,-394.785,-420.209,-1013.855,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,17,,,
SL_2018NSEO_Dive_01_13-04-18.000.avi,26003,13:18:46,,16.822,3.504,2979.527,11.22,,,537.202,203.231,-2923.644,1,KelliiWood,110,N/A,2018,1,70,Line,rockfish,rosethorn,150,150,18,,,
