"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"433","D[22]",269.512,81.601,147.548,257.073,462.417,FALSE,1,1.001,1844
"434","D[23]",270.818,80.785,147.395,260.362,464.427,FALSE,1,1,3000
"435","D[24]",297.714,88.797,160.319,284.184,499.427,FALSE,1,1,3000
"436","D[25]",313.733,89.574,175.514,302.751,519.583,FALSE,1,1,3000
"437","D[26]",323.561,94.877,180.046,310.8,545.3,FALSE,1,1,3000
"438","D[27]",299.958,94.319,158.855,283.588,521.978,FALSE,1,1,3000
"439","D[28]",302.005,92.273,160.006,290.297,514.674,FALSE,1,1.001,3000
"440","D[29]",215.789,71.722,109.509,205.224,380.217,FALSE,1,1.001,3000
"441","D[30]",214.229,72.748,108.381,202.56,387.328,FALSE,1,1.002,3000
"442","D[31]",172.039,59.197,85.442,162.701,308.842,FALSE,1,1,3000
"443","D[32]",179.843,61.844,84.309,171.604,321.032,FALSE,1,1,3000
"444","D[33]",211.368,68.927,105.84,201.253,375.462,FALSE,1,1.001,3000
"445","D[34]",203.626,68.776,103.454,191.961,368.664,FALSE,1,1,3000
"446","D[35]",176.499,61.501,86.79,166.176,320.672,FALSE,1,1.002,1857
"447","D[36]",214.458,74.525,105.092,203.51,391.752,FALSE,1,1,3000
"448","D[37]",228.391,77.211,113.382,215.775,407.872,FALSE,1,1.002,3000
"449","D[38]",193.319,70.342,92.961,182.266,359.868,FALSE,1,1.002,1371
"450","D[39]",177.023,65.744,83.528,165.586,335.493,FALSE,1,1,3000
"451","D[40]",185.425,70.611,87.373,171.567,359.538,FALSE,1,1.001,1999
"452","D[41]",188.228,68.295,85.382,177.871,353.821,FALSE,1,1.001,3000
"453","D[42]",361.965,98.446,208.793,350.491,591.965,FALSE,1,1,3000
"454","D[43]",306.562,87.173,172.583,294.887,511.799,FALSE,1,1.001,1770
"455","D[44]",279.427,78.213,157.784,269.007,450.507,FALSE,1,1.001,3000
"456","D[45]",285.463,82.531,158.221,274.37,472.8,FALSE,1,1,3000
"457","D[46]",306.397,89.625,166.342,294.592,507.476,FALSE,1,1,3000
"458","D[47]",290.218,85.392,159.108,281.155,493.536,FALSE,1,1,3000
"459","D[48]",315.043,91.479,176.639,301.616,519.17,FALSE,1,1.002,1014
"460","D[49]",335.46,98.402,179.681,322.375,565.488,FALSE,1,1,3000
"461","D[50]",274.202,83.673,146.295,263.438,461.034,FALSE,1,1,3000
