"","Year","SEdist","cpue","upper","lower","cv","CPUE","no.stations"
"1","2023","EYKT",0.100091298086722,0.168969917853523,0.0444086086717231,0.063551688358061,"Bootstrap index",27
"2","2023","SSEO",0.223518067927368,0.31976153459965,0.139191013231231,0.0921278170247037,"Bootstrap index",33
"3","2023","CSEO",0.291055389998753,0.443787080122755,0.150960760405298,0.149401183529314,"Bootstrap index",20
"4","2023","NSEO",0.0435705580357408,0.105814212372513,0,0.0539868430472007,"Bootstrap index",6
"5","2022","EYKT",0.141762248688252,0.284219453431644,0.033472651353387,0.127932041876662,"Bootstrap index",18
"6","2022","SSEO",0.233308014355795,0.380293145967947,0.108050052956049,0.138899537250968,"Bootstrap index",16
"7","2022","CSEO",0.22440434635293,0.36303298003837,0.109841302003054,0.129179427569039,"Bootstrap index",20
"8","2022","NSEO",0.078391794145423,0.149312273415606,0.00747131487524002,0.0723678359899826,"Bootstrap index",4
"9","2021","EYKT",0.115435423909265,0.201204618096347,0.0515439962780543,0.0763574601113739,"Bootstrap index",23
"10","2021","SSEO",0.103590717922211,0.1494942671763,0.060714968163142,0.0452955607209991,"Bootstrap index",34
"11","2021","CSEO",0.196971968630687,0.319657816189182,0.0986056004202553,0.112781742739248,"Bootstrap index",19
"12","2021","NSEO",0.265123013329678,0.600925933340688,0.0105580725462482,0.301208092242061,"Bootstrap index",7
"13","2020","EYKT",0.09104714037161,0.148976763192423,0.0386834201174539,0.0562721138137598,"Bootstrap index",28
"14","2020","SSEO",0.111854001046894,0.178587261235875,0.0513033411332769,0.0649407755625501,"Bootstrap index",32
"15","2020","CSEO",0.161108745451304,0.280964751242027,0.0658317466539633,0.109761737034726,"Bootstrap index",22
"16","2020","NSEO",0.06183233648311,0.128647404279191,0.0153681307849142,0.0577955477011615,"Bootstrap index",6
"17","2019","EYKT",0.0475661201705614,0.0821267033949252,0.0180439508768169,0.032695281896994,"Bootstrap index",23
"18","2019","SSEO",0.0970064966655131,0.158296776910844,0.0514184995224771,0.0545297333614117,"Bootstrap index",32
"19","2019","CSEO",0.129038754264974,0.190938834852687,0.0726854894415428,0.0603333394954817,"Bootstrap index",18
"20","2019","NSEO",0.116818614493964,0.194868580658859,0.0438337741017006,0.0770585747740604,"Bootstrap index",7
"21","2018","EYKT",0.0733105986566494,0.110269244618292,0.0408080326289855,0.035439393872095,"Bootstrap index",26
"22","2018","SSEO",0.0894027743803597,0.136576242246064,0.0519787533672276,0.0431619841218551,"Bootstrap index",35
"23","2018","CSEO",0.122755231490445,0.191218175372482,0.0641323593142928,0.0648397020705049,"Bootstrap index",20
"24","2018","NSEO",0.0719263081683261,0.158337638331119,0,0.0807845093526117,"Bootstrap index",5
"25","2017","EYKT",0.147376973044207,0.235334717141169,0.0740408320872963,0.0822927984968741,"Bootstrap index",28
"26","2017","SSEO",0.0939340872379592,0.13826725413325,0.0545347498243388,0.0427206654637301,"Bootstrap index",31
