"","model","iter","harv_hist","Hmax","runtime","iterations","param_not_conv","div_trans","over_max_treedepth","r_e_1","K_e_1","Bterm_e_1","q_e_1","rbias_1","r_wi_bnds_1","Kbias_1","K_wi_bnds_1","SSbias_1","SS_wi_bnds_1","qbias_1","q_wi_bnds_1","MSYbias_1","MSYS_wi_bnds_1","Bmsybias_1","Bmsy_wi_bnds_1","Fmsybias_1","Fmsy_wi_bnds_1","r_e_2","K_e_2","Bterm_e_2","q_e_2","rbias_2","r_wi_bnds_2","Kbias_2","K_wi_bnds_2","SSbias_2","SS_wi_bnds_2","qbias_2","q_wi_bnds_2","MSYbias_2","MSYS_wi_bnds_2","Bmsybias_2","Bmsy_wi_bnds_2","Fmsybias_2","Fmsy_wi_bnds_2","r_e_3","K_e_3","Bterm_e_3","q_e_3","rbias_3","r_wi_bnds_3","Kbias_3","K_wi_bnds_3","SSbias_3","SS_wi_bnds_3","qbias_3","q_wi_bnds_3","MSYbias_3","MSYS_wi_bnds_3","Bmsybias_3","Bmsy_wi_bnds_3","Fmsybias_3","Fmsy_wi_bnds_3"
"1","ko_estB",1,"Harv_mix",3,14.4320312341054,12000,0,8061,0,0.0875745252050812,210162.195025619,148489.948388229,1.16196800873583e-05,0.695381566243201,"FALSE",0.152291268601782,"FALSE",-0.0654057415323545,"TRUE",-0.0772408911124887,"FALSE",0.954411238327278,"FALSE",0.152291268601782,"FALSE",0.695381566243202,"FALSE",0.0875745252050812,110021.209295783,94805.8588433594,8.48505185712247e-05,0.780372627805413,"FALSE",-0.0225318538303629,"TRUE",0.0290840011675372,"TRUE",-0.0253357384812152,"FALSE",0.743546430282634,"FALSE",-0.0225318538303628,"TRUE",0.780372627805413,"FALSE",0.0875745252050812,114481.029445192,63675.640828781,3.01508909468253e-05,0.828908845669571,"FALSE",0.019151212843829,"TRUE",-0.0282078557650683,"TRUE",-0.0368804615928517,"FALSE",0.865001354453276,"FALSE",0.019151212843829,"TRUE",0.828908845669572,"FALSE"
"2","ko_estB",2,"Harv_mix",3,1.02813778320948,2000,0,3495,0,0.0838585503221695,122249.384450636,79679.9100248022,1.47108317225293e-05,0.669353243308607,"FALSE",0.0480139883456715,"TRUE",-0.0554820815119928,"TRUE",0.000641092235744369,"FALSE",0.757596084685554,"FALSE",0.0480139883456715,"TRUE",0.669353243308607,"FALSE",0.0838585503221695,141216.441802558,80320.1629114423,5.53982950920363e-05,0.656324800517563,"FALSE",-0.0450314281280437,"TRUE",0.181651574770135,"FALSE",-0.0511801318314257,"FALSE",0.587843870058711,"FALSE",-0.0450314281280436,"TRUE",0.656324800517563,"FALSE",0.0838585503221695,133801.822917299,104671.372965822,2.60060464005818e-05,0.684550291835691,"FALSE",-0.0337986254918708,"TRUE",0.0647276482078564,"TRUE",-0.0529912724686084,"FALSE",0.634381904149067,"FALSE",-0.0337986254918708,"TRUE",0.684550291835691,"FALSE"
"3","ko_estB",3,"Harv_mix",3,1.62773171663284,2000,0,147,0,0.0859130648673307,135312.448895843,89619.1766881079,8.07920276412566e-05,0.70684902510192,"FALSE",-0.025634591459626,"TRUE",0.0614777586610986,"TRUE",-0.0487787688409905,"FALSE",0.665613608333448,"FALSE",-0.025634591459626,"TRUE",0.70684902510192,"FALSE",0.0859130648673307,146484.938465955,113542.27011442,2.15076893129836e-05,0.656796476068353,"FALSE",0.0157732182975758,"TRUE",0.083818820254005,"TRUE",-0.0662562015999433,"FALSE",0.680380072431985,"FALSE",0.015773218297576,"TRUE",0.656796476068353,"FALSE",0.0859130648673307,175721.232189844,133469.021046956,2.19128263602928e-05,0.736633046492685,"FALSE",-0.0975417112278977,"TRUE",0.120363823998089,"TRUE",-0.0554498508759456,"FALSE",0.57364108299698,"FALSE",-0.0975417112278976,"TRUE",0.736633046492685,"FALSE"
"4","ko_estB",4,"Harv_mix",3,1.18624710241954,2000,0,2006,0,0.0831272945419661,127701.069026906,71200.2127967006,2.81002938954126e-05,0.673819552490314,"FALSE",-0.245461828272867,"FALSE",0.369745018202653,"FALSE",-0.0854977711602458,"FALSE",0.265589558581299,"FALSE",-0.245461828272867,"FALSE",0.673819552490314,"FALSE",0.0831272945419661,146257.400607066,106334.150493377,9.0016949832946e-05,0.741341845350468,"FALSE",-0.114148102404641,"TRUE",0.148511545204084,"FALSE",0.00530394358852675,"FALSE",0.551444996006839,"FALSE",-0.114148102404641,"TRUE",0.741341845350468,"FALSE",0.0831272945419661,162153.994546519,129775.749762384,1.6258789093177e-05,0.725306908497825,"FALSE",-0.0474349510744287,"TRUE",0.121301472910349,"TRUE",-0.0151806206630487,"FALSE",0.648407704636896,"FALSE",-0.0474349510744286,"TRUE",0.725306908497825,"FALSE"
"5","ko_estB",5,"Harv_mix",3,1.0271358648936,2000,0,126,0,0.0839030901136752,114663.346858411,70568.0163320198,6.18984898959642e-05,0.61624946787589,"FALSE",0.0359076520569906,"TRUE",-0.023568480638531,"TRUE",-0.0433073240363684,"FALSE",0.682159620120561,"FALSE",0.0359076520569907,"TRUE",0.616249467875891,"FALSE",0.0839030901136752,152800.191549168,130325.752469709,5.73718650327954e-05,0.698641691677294,"FALSE",-0.13732928531059,"FALSE",0.171534264026442,"FALSE",-0.00832541743938708,"FALSE",0.470117697585813,"FALSE",-0.13732928531059,"FALSE",0.698641691677294,"FALSE",0.0839030901136752,135481.035022208,94154.2642779849,5.06904821313687e-05,0.663469225256337,"FALSE",-0.02595673878416,"TRUE",0.0585438497092234,"TRUE",-0.0464179081151382,"FALSE",0.620578754318333,"FALSE",-0.0259567387841598,"TRUE",0.663469225256337,"FALSE"
"6","ko_estB",6,"Harv_mix",3,0.943874299526215,2000,0,1,0,0.0767403049449453,138693.833512319,70320.1301555769,7.96807697295872e-05,0.595923930476725,"FALSE",-0.0215470300504731,"TRUE",0.0615114907445423,"TRUE",-0.0194176044483383,"FALSE",0.559536885792816,"FALSE",-0.0215470300504729,"TRUE",0.595923930476725,"FALSE",0.0767403049449453,135570.98904417,87362.7282854394,8.84604264709144e-05,0.511996067133238,"FALSE",0.0966334106345747,"TRUE",0.0401862985825786,"TRUE",-0.099178994397891,"FALSE",0.658399381869812,"FALSE",0.0966334106345746,"TRUE",0.511996067133238,"FALSE",0.0767403049449453,104979.116849418,59331.7248389817,7.28939768106167e-05,0.496302326077715,"FALSE",-0.0601686780827187,"TRUE",0.0889191170499569,"TRUE",0.0144260395445986,"FALSE",0.405888820012732,"FALSE",-0.0601686780827186,"TRUE",0.496302326077715,"FALSE"
"7","ko_estB",7,"Harv_mix",3,0.921087952454885,2000,0,1,0,0.0884032541351379,211758.59048461,144171.599359687,7.60632976582991e-05,0.765497963517467,"FALSE",0.0813907044613765,"TRUE",-0.0329370831338493,"TRUE",-0.0773657064993137,"FALSE",0.908597880764979,"FALSE",0.0813907044613765,"TRUE",0.765497963517467,"FALSE",0.0884032541351379,156507.184069097,134425.511386858,7.42797589367083e-05,0.685147904127168,"FALSE",0.0990525259399564,"TRUE",-0.0496534565034828,"TRUE",-0.0294310465204121,"FALSE",0.858613505548209,"FALSE",0.0990525259399565,"TRUE",0.685147904127168,"FALSE",0.0884032541351379,135704.123358002,96283.8072491606,8.92599234002806e-05,0.803317368981198,"FALSE",-0.00775209181496435,"TRUE",0.0772603028671207,"TRUE",-0.0536492774732649,"FALSE",0.786489271815293,"FALSE",-0.0077520918149644,"TRUE",0.803317368981198,"FALSE"
"8","ko_estB",8,"Harv_mix",3,1.1383318344752,2000,0,13,0,0.0849486981155027,133468.235963208,72886.9188428181,5.75350761300849e-05,0.660354571458102,"FALSE",-0.106944660588887,"TRUE",0.172822588707809,"FALSE",-0.0107665196506149,"FALSE",0.482590177051819,"FALSE",-0.106944660588887,"TRUE",0.660354571458102,"FALSE",0.0849486981155027,129990.317811794,100082.309786846,4.42843497931667e-05,0.675316515571578,"FALSE",-0.139901435272388,"FALSE",0.20863007779203,"FALSE",0.0625332536015386,"FALSE",0.44615732109593,"FALSE",-0.139901435272388,"FALSE",0.675316515571578,"FALSE",0.0849486981155027,175039.332552897,120813.560948668,3.4452678898742e-05,0.667175276308554,"FALSE",0.0132245225392246,"TRUE",-0.0944847947450578,"TRUE",0.012273193705019,"FALSE",0.693495530622793,"FALSE",0.0132245225392247,"TRUE",0.667175276308554,"FALSE"
"9","ko_estB",9,"Harv_mix",3,0.920429317156474,2000,0,19,0,0.0857436686856614,133485.275831256,90333.659885449,7.27476856604142e-05,0.755165048735538,"FALSE",-0.0795981465755177,"TRUE",0.0218971393884247,"TRUE",0.0478346290024182,"FALSE",0.625738507458427,"FALSE",-0.0795981465755177,"TRUE",0.755165048735538,"FALSE",0.0857436686856614,104634.977573365,69564.0076785547,5.98990395367733e-05,0.681785563168066,"FALSE",0.0223809338869744,"TRUE",0.0401671394326455,"TRUE",-0.0313590921236663,"FALSE",0.726759498325147,"FALSE",0.0223809338869745,"TRUE",0.681785563168066,"FALSE",0.0857436686856614,196717.843581849,113120.68894787,7.72303962888137e-05,0.686695906274781,"FALSE",-0.00558716189540148,"TRUE",-0.0414131161856938,"TRUE",-0.0172027887109144,"FALSE",0.687958101656827,"FALSE",-0.00558716189540137,"TRUE",0.686695906274781,"FALSE"
"10","ko_estB",10,"Harv_mix",3,0.950538484255473,2000,0,30,0,0.0787998113426582,105012.599084769,61525.8982452697,9.32286134680654e-05,0.598392746308657,"FALSE",-0.0422529263611341,"TRUE",0.0803427796790661,"TRUE",-0.0488608752103017,"FALSE",0.53596482209805,"FALSE",-0.0422529263611341,"TRUE",0.598392746308656,"FALSE",0.0787998113426582,135624.535265718,86567.6634738479,6.32282384135181e-05,0.609638337248099,"FALSE",-0.18477111949329,"FALSE",0.287117726085813,"FALSE",-0.00331420841917352,"FALSE",0.313337993340414,"FALSE",-0.18477111949329,"FALSE",0.609638337248099,"FALSE",0.0787998113426582,135804.280283188,67803.3150698593,6.65783904442598e-05,0.601149037584074,"FALSE",0.0339368777638928,"TRUE",0.101905071125977,"TRUE",-0.0617748350607705,"FALSE",0.660734455822245,"FALSE",0.0339368777638928,"TRUE",0.601149037584074,"FALSE"
