"","model","iter","harv_hist","Hmax","runtime","iterations","param_not_conv","div_trans","over_max_treedepth","r_e_1","K_e_1","Bterm_e_1","q_e_1","rbias_1","r_wi_bnds_1","Kbias_1","K_wi_bnds_1","SSbias_1","SS_wi_bnds_1","qbias_1","q_wi_bnds_1","MSYbias_1","MSYS_wi_bnds_1","Bmsybias_1","Bmsy_wi_bnds_1","Fmsybias_1","Fmsy_wi_bnds_1","r_e_2","K_e_2","Bterm_e_2","q_e_2","rbias_2","r_wi_bnds_2","Kbias_2","K_wi_bnds_2","SSbias_2","SS_wi_bnds_2","qbias_2","q_wi_bnds_2","MSYbias_2","MSYS_wi_bnds_2","Bmsybias_2","Bmsy_wi_bnds_2","Fmsybias_2","Fmsy_wi_bnds_2","r_e_3","K_e_3","Bterm_e_3","q_e_3","rbias_3","r_wi_bnds_3","Kbias_3","K_wi_bnds_3","SSbias_3","SS_wi_bnds_3","qbias_3","q_wi_bnds_3","MSYbias_3","MSYS_wi_bnds_3","Bmsybias_3","Bmsy_wi_bnds_3","Fmsybias_3","Fmsy_wi_bnds_3"
"1","ko_estI",1,"Harv3",3,5.47473028103511,2000,0,33,0,0.0809365811588929,114577.404706316,69114.4005760056,7.12444093779378e-05,0.603811555826982,"FALSE",-0.22422030518849,"TRUE",0.0228600594247171,"TRUE",0.221603848267611,"FALSE",0.243700512247397,"TRUE",-0.22422030518849,"TRUE",0.603811555826982,"FALSE",0.0809365811588929,108074.885212604,56758.432799982,3.36484306260104e-05,0.616671848483956,"FALSE",0.0149997438012526,"TRUE",0.18532539184368,"TRUE",-0.185343632566023,"FALSE",0.625445877835435,"FALSE",0.0149997438012527,"TRUE",0.616671848483956,"FALSE",0.0809365811588929,128802.862302083,71843.3218668725,5.86289722165492e-05,0.628554119338459,"FALSE",-0.241004580948451,"TRUE",0.223744145157607,"FALSE",0.161084237837302,"FALSE",0.233808833978606,"TRUE",-0.241004580948451,"TRUE",0.628554119338459,"FALSE"
"2","ko_estI",2,"Harv3",3,5.52559571663539,2000,0,0,0,0.0837052881060538,113460.247396087,55144.9134177546,6.72016870751541e-05,0.745434045655666,"FALSE",-0.387720833232298,"FALSE",0.123239579352029,"TRUE",0.457006606347554,"FALSE",0.0662490431007607,"TRUE",-0.387720833232298,"FALSE",0.745434045655666,"FALSE",0.0837052881060538,123793.592877399,75662.823150859,0.000132538053675186,0.641503352942798,"FALSE",-0.326308764006615,"FALSE",-0.0508519920732551,"TRUE",0.458935322763069,"FALSE",0.104723318096469,"TRUE",-0.326308764006615,"FALSE",0.641503352942799,"FALSE",0.0837052881060538,119653.708245836,60568.6430050185,4.19558562652095e-05,0.664326275639525,"FALSE",-0.350768009604489,"FALSE",0.122319748408999,"TRUE",0.450068760540356,"FALSE",0.0789202140441028,"TRUE",-0.350768009604489,"FALSE",0.664326275639525,"FALSE"
"3","ko_estI",3,"Harv3",3,3.95492188533147,2000,0,7,0,0.0842242324556708,113849.764343996,56005.2727926276,5.90996708904961e-05,0.645017325257357,"FALSE",-0.357263303052096,"FALSE",-0.026322988475281,"TRUE",0.612527341861155,"FALSE",0.0575707654301356,"TRUE",-0.357263303052096,"FALSE",0.645017325257357,"FALSE",0.0842242324556708,124690.411827284,70234.5939111698,4.36355588720779e-05,0.728988885742457,"FALSE",-0.130505553559564,"TRUE",0.172610440482043,"TRUE",0.0587273825758983,"FALSE",0.481511352182752,"FALSE",-0.130505553559564,"TRUE",0.728988885742457,"FALSE",0.0842242324556708,131579.958077623,72754.0554792762,0.000130688576536701,0.723721056364634,"FALSE",-0.196491575858052,"TRUE",-0.0687544996162527,"TRUE",0.334223358444507,"FALSE",0.380868550920183,"FALSE",-0.196491575858052,"TRUE",0.723721056364634,"FALSE"
"4","ko_estI",4,"Harv3",3,5.59857886632284,2000,0,954,0,0.0744673747614295,80627.2602101392,37249.3226164354,3.82434976585141e-05,0.495161919829468,"FALSE",-0.203313650312561,"TRUE",0.212967862447035,"TRUE",0.00753466033908415,"FALSE",0.175232975673364,"TRUE",-0.203313650312561,"TRUE",0.495161919829468,"FALSE",0.0744673747614295,91368.525410633,52244.9699309147,1.16899507333848e-05,0.434986460982242,"FALSE",-0.185707116442722,"FALSE",0.095371063988467,"TRUE",0.0488369309764777,"FALSE",0.165087911338447,"TRUE",-0.185707116442722,"FALSE",0.434986460982242,"FALSE",0.0744673747614295,111067.824786852,49836.7539054378,0.000111773270747929,0.547556722293451,"FALSE",-0.175433627180773,"TRUE",-0.10842328679181,"TRUE",0.368912846460725,"FALSE",0.26777320118031,"TRUE",-0.175433627180773,"TRUE",0.547556722293451,"FALSE"
"5","ko_estI",5,"Harv3",3,4.17984181642532,2000,0,177,0,0.0853788588375137,117313.437064859,81988.6184948051,2.34208947120424e-05,0.681538760641837,"FALSE",0.132827899120285,"TRUE",0.0733071525459023,"TRUE",-0.204739976752049,"FALSE",0.903771360550962,"FALSE",0.132827899120285,"TRUE",0.681538760641837,"FALSE",0.0853788588375137,160204.679692972,92696.2114721996,0.000120505847587587,0.761471174331069,"FALSE",-0.145540805289075,"TRUE",-0.10440163140268,"TRUE",0.305120695563256,"FALSE",0.495380003696854,"FALSE",-0.145540805289075,"TRUE",0.761471174331069,"FALSE",0.0853788588375137,60345.5465835017,32919.5507158475,6.93234739651511e-05,0.767187180299076,"FALSE",-0.41367266523477,"FALSE",0.0866422275100431,"TRUE",0.59942740179172,"FALSE",0.0359342238709481,"TRUE",-0.41367266523477,"FALSE",0.767187180299075,"FALSE"
"6","ko_estI",6,"Harv3",3,3.71584238211314,2000,0,207,0,0.0776238322569946,131162.922123518,79973.4312005419,8.31755659750353e-05,0.652186811858977,"FALSE",-0.175502506722791,"TRUE",0.207315855113074,"FALSE",0.0362362267806146,"FALSE",0.358801944616623,"TRUE",-0.175502506722791,"TRUE",0.652186811858977,"FALSE",0.0776238322569946,173066.161274468,97388.1138956884,3.06923687885207e-05,0.514318768634223,"FALSE",0.246229951845188,"TRUE",0.150470947259003,"TRUE",-0.333667394749094,"FALSE",0.887703232871455,"FALSE",0.246229951845188,"TRUE",0.514318768634223,"FALSE",0.0776238322569946,170368.644619698,82370.340395616,1.83937441937725e-05,0.563833586431561,"FALSE",-0.10079423853432,"TRUE",0.0983003566137751,"TRUE",-0.0183791212866496,"FALSE",0.400019305498927,"TRUE",-0.10079423853432,"TRUE",0.56383358643156,"FALSE"
"7","ko_estI",7,"Harv3",3,4.45814963579178,2000,0,41,0,0.0819448822349755,182608.277757702,112504.194088463,4.03690092832615e-05,0.624755320379476,"FALSE",0.284288747584808,"TRUE",0.243956418720726,"FALSE",-0.396581174907223,"FALSE",1.09058788948674,"FALSE",0.284288747584808,"TRUE",0.624755320379476,"FALSE",0.0819448822349755,65470.958629058,24779.7323954634,8.24916261344984e-05,0.573128483230559,"FALSE",-0.426824213368458,"FALSE",-0.0166993828831999,"TRUE",0.795743734190416,"FALSE",-0.0982867242051337,"TRUE",-0.426824213368458,"FALSE",0.573128483230559,"FALSE",0.0819448822349755,276425.619668808,230786.344258206,2.30997968227385e-05,0.68687147023055,"FALSE",1.07863527388965,"FALSE",0.0436967632873808,"TRUE",-0.538076163102577,"FALSE",2.51370360242259,"FALSE",1.07863527388965,"FALSE",0.68687147023055,"FALSE"
"8","ko_estI",8,"Harv3",3,6.00626211563746,2000,0,319,0,0.0777061921426797,154353.068202757,79486.5499274633,1.47734108217422e-05,0.569447665473305,"FALSE",0.325704590011837,"TRUE",-0.0736848945206967,"TRUE",-0.212082711596897,"FALSE",1.05717321677972,"FALSE",0.325704590011837,"TRUE",0.569447665473305,"FALSE",0.0777061921426797,95410.2171769983,38240.004332247,6.49229217970597e-05,0.481043664001761,"FALSE",-0.400930897151274,"FALSE",-0.0729489469665283,"TRUE",0.781953033112229,"FALSE",-0.113553744027013,"TRUE",-0.400930897151274,"FALSE",0.481043664001761,"FALSE",0.0777061921426797,111831.845128891,54470.2484847956,1.68122407981807e-05,0.491364085397301,"FALSE",-0.251164075888844,"TRUE",0.137857593866584,"TRUE",0.235096533671942,"FALSE",0.115340227760266,"TRUE",-0.251164075888844,"TRUE",0.491364085397301,"FALSE"
"9","ko_estI",9,"Harv3",3,4.73477882941564,2000,0,0,0,0.0785937712207893,113935.527686737,72694.7482048122,6.05506299610504e-05,0.55107907571053,"FALSE",-0.0890354833296741,"TRUE",0.027358809045279,"TRUE",0.111865731172213,"FALSE",0.412186660079936,"FALSE",-0.089035483329674,"TRUE",0.55107907571053,"FALSE",0.0785937712207893,131594.050194725,47369.9762772585,4.07161860697003e-05,0.643561553310697,"FALSE",-0.339238066522785,"FALSE",-0.132362629228719,"TRUE",0.819711930590568,"FALSE",0.0846772400395136,"TRUE",-0.339238066522785,"FALSE",0.643561553310697,"FALSE",0.0785937712207893,74650.595492342,43565.6143101139,9.84707288634521e-05,0.592398266108051,"FALSE",-0.335354664434247,"TRUE",0.117946095129033,"TRUE",0.350768748370496,"FALSE",0.0600734247625712,"TRUE",-0.335354664434247,"TRUE",0.592398266108052,"FALSE"
"10","ko_estI",10,"Harv3",3,4.39168668190638,2000,0,77,0,0.0734202368361522,135512.518697034,84101.967649337,6.48091563381763e-05,0.48659984252076,"FALSE",0.134990547839085,"TRUE",0.34144568923035,"FALSE",-0.339411015626147,"FALSE",0.672650002868359,"FALSE",0.134990547839085,"TRUE",0.48659984252076,"FALSE",0.0734202368361522,132315.88775527,76848.1113353974,2.01876793015304e-05,0.483353866222953,"FALSE",0.115088920551271,"TRUE",-0.129896921784892,"TRUE",0.0587130643692204,"FALSE",0.643822463080413,"FALSE",0.115088920551271,"TRUE",0.483353866222953,"FALSE",0.0734202368361522,124418.043771671,45892.3118233401,0.000106726658333978,0.455548758278572,"FALSE",-0.20181329730321,"TRUE",-0.00481435526915493,"TRUE",0.262992111599248,"FALSE",0.159245641086839,"TRUE",-0.20181329730321,"TRUE",0.455548758278572,"FALSE"
