"GFMU","Year","Average Weight","SD","#YE"
"CSEO",1981,"3.647","1.707","40"
"CSEO",1982,"-","-","-"
"CSEO",1983,"-","-","-"
"CSEO",1984,"5.402","0.823","4"
"CSEO",1985,"-","-","-"
"CSEO",1986,"-","-","-"
"CSEO",1987,"-","-","-"
"CSEO",1988,"3.175","1.426","1161"
"CSEO",1989,"3.152","1.441","834"
"CSEO",1990,"3.117","1.564","52"
"CSEO",1991,"-","-","-"
"CSEO",1992,"2.292","1.082","99"
"CSEO",1993,"-","-","-"
"CSEO",1994,"-","-","-"
"CSEO",1995,"3.138","1.354","443"
"CSEO",1996,"3.118","1.227","580"
"CSEO",1997,"3.008","1.131","439"
"CSEO",1998,"3.178","1.229","153"
"CSEO",1999,"3.177","1.137","657"
"CSEO",2000,"3.148","0.931","120"
"CSEO",2001,"3.278","1.176","542"
"CSEO",2002,"3.149","1.205","484"
"CSEO",2003,"3.004","1.166","442"
"CSEO",2004,"2.957","1.131","199"
"CSEO",2005,"-","-","-"
"CSEO",2006,"-","-","-"
"CSEO",2007,"-","-","-"
"CSEO",2008,"3.208","1.237","388"
"CSEO",2009,"3.572","1.251","559"
"CSEO",2010,"3.515","1.216","485"
"CSEO",2011,"3.219","1.241","562"
"CSEO",2012,"3.405","1.132","866"
"CSEO",2013,"3.189","1.128","566"
"CSEO",2014,"3.404","1.208","503"
"CSEO",2015,"3.473","1.176","455"
"CSEO",2016,"3.525","1.215","559"
"CSEO",2017,"3.574","1.138","560"
"CSEO",2018,"3.634","1.195","738"
"CSEO",2019,"3.49","1.226","493"
"CSEO",2020,"3.424","1.05","84"
"CSEO",2021,"3.5","1.095","175"
"CSEO",2022,"-","-","-"
"CSEO",2023,"3.747","1.468","57"
"CSEO",2024,"3.636","1.239","410"
"CSEO",2025,"3.73","1.193","554"
"CSEO",2026,"3.3","1.013","181"
"EYKT",1981,"-","-","-"
"EYKT",1982,"-","-","-"
"EYKT",1983,"-","-","-"
"EYKT",1984,"-","-","-"
"EYKT",1985,"-","-","-"
"EYKT",1986,"-","-","-"
"EYKT",1987,"-","-","-"
"EYKT",1988,"-","-","-"
"EYKT",1989,"-","-","-"
"EYKT",1990,"-","-","-"
"EYKT",1991,"-","-","-"
"EYKT",1992,"-","-","-"
"EYKT",1993,"-","-","-"
"EYKT",1994,"3.545","1.485","50"
"EYKT",1995,"3.439","0.976","200"
"EYKT",1996,"3.466","1.187","349"
"EYKT",1997,"3.812","1.303","396"
"EYKT",1998,"4.064","1.36","423"
"EYKT",1999,"3.776","1.032","260"
"EYKT",2000,"3.564","1.006","130"
"EYKT",2001,"4.302","1.422","344"
"EYKT",2002,"-","-","-"
"EYKT",2003,"-","-","-"
"EYKT",2004,"3.849","1.329","707"
"EYKT",2005,"4.129","1.576","376"
"EYKT",2006,"-","-","-"
"EYKT",2007,"-","-","-"
"EYKT",2008,"3.679","1.489","548"
"EYKT",2009,"3.986","1.513","548"
"EYKT",2010,"4.236","1.625","260"
"EYKT",2011,"4.35","1.611","481"
"EYKT",2012,"4.372","1.597","966"
"EYKT",2013,"4.064","1.546","555"
"EYKT",2014,"3.688","1.137","561"
"EYKT",2015,"3.961","1.377","581"
"EYKT",2016,"3.927","1.455","589"
"EYKT",2017,"3.874","1.35","550"
"EYKT",2018,"3.947","1.557","560"
"EYKT",2019,"4.081","1.671","182"
"EYKT",2020,"4.169","1.222","55"
"EYKT",2021,"4.263","1.529","333"
"EYKT",2022,"4.916","1.395","77"
"EYKT",2023,"4.803","1.766","116"
"EYKT",2024,"3.97","1.353","124"
"EYKT",2025,"-","-","-"
"EYKT",2026,"4.594","1.602","552"
"NSEO",1981,"-","-","-"
"NSEO",1982,"-","-","-"
"NSEO",1983,"-","-","-"
"NSEO",1984,"-","-","-"
"NSEO",1985,"-","-","-"
"NSEO",1986,"-","-","-"
"NSEO",1987,"-","-","-"
"NSEO",1988,"3.454","1.573","83"
"NSEO",1989,"3.151","0.979","65"
"NSEO",1990,"-","-","-"
"NSEO",1991,"-","-","-"
"NSEO",1992,"-","-","-"
"NSEO",1993,"-","-","-"
"NSEO",1994,"-","-","-"
"NSEO",1995,"-","-","-"
"NSEO",1996,"-","-","-"
"NSEO",1997,"-","-","-"
"NSEO",1998,"-","-","-"
"NSEO",1999,"-","-","-"
"NSEO",2000,"-","-","-"
"NSEO",2001,"-","-","-"
"NSEO",2002,"-","-","-"
"NSEO",2003,"-","-","-"
"NSEO",2004,"-","-","-"
"NSEO",2005,"-","-","-"
"NSEO",2006,"-","-","-"
"NSEO",2007,"-","-","-"
"NSEO",2008,"4.024","1.363","100"
"NSEO",2009,"3.348","1.339","183"
"NSEO",2010,"3.92","1.733","172"
"NSEO",2011,"3.433","1.179","129"
"NSEO",2012,"3.241","1.261","94"
"NSEO",2013,"-","-","-"
"NSEO",2014,"3.708","1.121","123"
"NSEO",2015,"3.95","1.39","312"
"NSEO",2016,"3.764","1.344","575"
"NSEO",2017,"3.707","1.352","410"
"NSEO",2018,"3.539","1.276","378"
"NSEO",2019,"3.368","1.202","40"
"NSEO",2020,"3.864","1.245","85"
"NSEO",2021,"3.43","1.244","63"
"NSEO",2022,"3.331","1.519","54"
"NSEO",2023,"4.083","1.257","60"
"NSEO",2024,"3.271","1.514","60"
"NSEO",2025,"-","-","-"
"NSEO",2026,"-","-","-"
"SEO",1981,"-","-","-"
"SEO",1982,"-","-","-"
"SEO",1983,"-","-","-"
"SEO",1984,"-","-","-"
"SEO",1985,"-","-","-"
"SEO",1986,"-","-","-"
"SEO",1987,"-","-","-"
"SEO",1988,"-","-","-"
"SEO",1989,"-","-","-"
"SEO",1990,"-","-","-"
"SEO",1991,"-","-","-"
"SEO",1992,"-","-","-"
"SEO",1993,"-","-","-"
