Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2020,20200206,STW,3016,1,2C,141,Ketchikan,Standard Grid,2-Jul-20,Y,,54.6668,-133.1677,148,54.6665,-133.0983,120,54.6667,-133.133,129,54.667,-133.15,29,10,782,89,7,7,113,7.94,556,,,,,,,,,,,
2,2020,20200207,STW,3015,2,2C,141,Ketchikan,Standard Grid,2-Jul-20,Y,,54.6665,-132.8872,86,54.6663,-132.8195,70,54.6663,-132.8533,75,54.667,-132.85,36,30,955,241,8,8,98,7.87,630,,,,,,,,,,,
3,2020,20200208,STW,3024,3,2C,141,Ketchikan,Standard Grid,3-Jul-20,Y,,54.8332,-133.3985,73,54.8332,-133.4673,62,54.8332,-133.433,66,54.833,-133.433,8,53,232,331,8,8,99,7.95,437,,,,,,,,,,,
4,2020,20200209,STW,3023,4,2C,141,Ketchikan,Standard Grid,3-Jul-20,Y,,54.8332,-133.1152,98,54.8333,-133.1783,105,54.8333,-133.1467,107,54.833,-133.15,85,24,2349,207,8,8,99,7.95,541,,,,,,,,,,,
5,2020,20200210,STW,3034,5,2C,141,Ketchikan,Standard Grid,4-Jul-20,Y,,55.1512,-133.4332,52,55.1925,-133.4332,28,55.1718,-133.4332,37,55.167,-133.433,21,1,1026,9,8,5,98,4.77,526,,,,,,,,,,,
6,2020,20200211,STW,3029,6,2C,141,Ketchikan,Standard Grid,4-Jul-20,Y,,54.981,-133.4333,61,55.0185,-133.426,52,54.9997,-133.4297,51,55,-133.433,34,26,1053,206,8,8,99,7.95,635,,,,,,,,,,,
7,2020,20200212,STW,3030,7,2C,140,Ketchikan,Standard Grid,4-Jul-20,Y,,54.993,-133.751,58,55.0003,-133.6837,52,54.9967,-133.7173,55,55,-133.717,17,40,704,239,8,8,99,7.95,696,,,,,,,,,,,
8,2020,20200213,STW,3026,8,2C,140,Ketchikan,Standard Grid,5-Jul-20,Y,,54.8127,-134.0165,107,54.8517,-134.0095,105,54.8322,-134.013,106,54.833,-134.017,32,8,1190,66,8,8,99,7.95,446,,,,,,,,,,,
9,2020,20200214,STW,3025,9,2C,140,Ketchikan,Standard Grid,5-Jul-20,N,PP,54.8087,-133.7097,82,54.8522,-133.7098,72,54.8305,-133.7098,76,54.833,-133.717,76,59,2173,445,8,8,97,7.79,589,,,,,,,,,,,
10,2020,20200215,STW,3019,10,2C,140,Ketchikan,Standard Grid,6-Jul-20,Y,,54.6838,-133.9998,121,54.6475,-133.9992,125,54.6657,-133.9995,123,54.667,-134,38,16,951,122,8,8,98,7.87,479,,,,,,,,,,,
11,2020,20200216,STW,3018,11,2C,140,Ketchikan,Standard Grid,6-Jul-20,Y,,54.6667,-133.6835,142,54.6672,-133.7517,132,54.6668,-133.7177,131,54.667,-133.717,62,9,1899,85,8,8,98,7.87,546,,,,,,,,,,,
12,2020,20200217,STW,3201,12,2C,140,Ketchikan,Standard Grid,6-Jul-20,N,DS,54.4878,-133.9875,172,54.525,-133.988,158,54.5065,-133.9878,146,54.5,-134,67,6,1882,55,8,8,98,7.87,645,,,,,,,,,,,
13,2020,20200218,STW,3001,13,2C,142,Ketchikan,Standard Grid,9-Jul-20,Y,,54.5,-131.985,152,54.4998,-132.0552,146,54.4998,-132.02,150,54.5,-132.017,13,1,576,10,8,8,99,7.95,439,,,,,,,,,,,
14,2020,20200219,STW,3013,14,2C,142,Ketchikan,Standard Grid,9-Jul-20,Y,,54.6663,-132.2467,63,54.6672,-132.3072,59,54.6667,-132.2768,59,54.667,-132.283,39,68,1006,557,8,8,98,7.87,592,,,,,,,,,,,
15,2020,20200220,STW,3022,15,2C,144,Ketchikan,Standard Grid,10-Jul-20,Y,,54.8135,-132.5667,165,54.854,-132.5668,179,54.8338,-132.5668,180,54.833,-132.567,17,4,601,29,8,8,99,7.95,428,,,,,,,,,,,
16,2020,20200221,STW,3205,16,2C,144,Ketchikan,Standard Grid,10-Jul-20,Y,,55,-132.835,195,54.9932,-132.8932,83,54.9967,-132.8642,86,55,-132.86,21,1,881,10,8,8,99,7.95,580,,,,,,,,,,,
17,2020,20200222,STW,3014,17,2C,142,Ketchikan,Standard Grid,11-Jul-20,Y,,54.666,-132.5325,114,54.6667,-132.5932,64,54.6663,-132.5628,101,54.667,-132.567,66,35,1886,299,8,8,98,7.87,431,,,,,,,,,,,
