Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2020,20200035,ALL,4199,1,3A,260,Gore Pt.,Standard Grid,28-Jun-20,Y,,58.1665,-149.8175,76,58.1678,-149.896,76,58.1672,-149.8567,76,58.167,-149.85,89,30,1296,277,8,8,99,7.95,567,,,,,,,,,,,
2,2020,20200036,ALL,4204,2,3A,260,Gore Pt.,Standard Grid,28-Jun-20,Y,,58.3145,-149.8508,40,58.3555,-149.8503,47,58.335,-149.8505,43,58.333,-149.85,19,77,323,567,8,8,100,8.03,615,,,,,,,,,,,
3,2020,20200037,ALL,4203,3,3A,250,Gore Pt.,Standard Grid,28-Jun-20,Y,,58.3405,-149.4942,87,58.3345,-149.5582,82,58.3375,-149.5262,84,58.333,-149.533,36,52,538,429,8,8,98,7.87,679,,,,,,,,,,,
4,2020,20200038,ALL,4195,4,3A,250,Gore Pt.,Standard Grid,29-Jun-20,Y,,57.998,-149.217,75,58.0007,-149.2523,86,57.9993,-149.2347,76,58,-149.217,214,65,3126,543,8,8,99,7.95,540,,,,,,,,,,,
5,2020,20200039,ALL,4549,5,3A,250,Gore Pt.,Standard Grid,29-Jun-20,Y,,58.0207,-148.9007,160,57.9832,-148.9015,195,58.0018,-148.9012,138,58,-148.902,149,5,2976,46,8,8,99,7.95,624,,,,,,,,,,,
6,2020,20200040,ALL,4200,6,3A,250,Gore Pt.,Standard Grid,30-Jun-20,Y,,58.3553,-148.5835,84,58.3155,-148.5838,125,58.3353,-148.5837,97,58.333,-148.583,94,17,1611,139,8,8,99,7.95,493,,,,,,,,,,,
7,2020,20200041,ALL,4201,7,3A,250,Gore Pt.,Standard Grid,30-Jun-20,Y,,58.3533,-148.8978,68,58.3168,-148.9002,70,58.3352,-148.899,68,58.333,-148.9,24,37,355,207,8,8,99,7.95,564,,,,,,,,,,,
8,2020,20200042,ALL,4196,8,3A,250,Gore Pt.,Standard Grid,30-Jun-20,Y,,58.1868,-148.8997,71,58.1523,-148.9007,71,58.1697,-148.9002,71,58.167,-148.9,70,39,1145,289,8,8,98,7.87,650,,,,,,,,,,,
9,2020,20200043,ALL,4202,9,3A,250,Gore Pt.,Standard Grid,1-Jul-20,Y,,58.3523,-149.2153,84,58.3105,-149.2177,84,58.3315,-149.2165,84,58.333,-149.217,115,51,1701,435,8,8,99,7.95,510,,,,,,,,,,,
10,2020,20200044,ALL,4197,10,3A,250,Gore Pt.,Standard Grid,1-Jul-20,Y,,58.1872,-149.2177,64,58.15,-149.2177,62,58.1687,-149.2177,62,58.167,-149.217,69,43,1225,317,8,8,99,7.95,607,,,,,,,,,,,
