Row number,Year,Stlkey,Vessel code,Station,Setno,Gear,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2023,20230165,BDP,4006,1,Fixed Hook,3A,185,Fairweather,Standard Grid,6-Jun-23,Y,,58.1672,-136.8903,104,58.1667,-136.9458,106,58.1668,-136.9182,108,58.167,-136.917,23,8,376,62,6,6,98,5.9,495,,,,,,,,,,,
2,2023,20230166,BDP,4007,2,Fixed Hook,3A,185,Fairweather,Standard Grid,6-Jun-23,Y,,58.1673,-137.2112,68,58.1667,-137.1552,67,58.167,-137.1832,66,58.167,-137.183,41,33,920,251,6,6,99,5.96,557,,,,,,,,,,,
3,2023,20230167,BDP,4013,3,Fixed Hook,3A,185,Fairweather,Standard Grid,6-Jun-23,Y,,58.3333,-137.1975,98,58.3335,-137.1432,90,58.3333,-137.1703,92,58.333,-137.167,4,3,69,15,6,6,99,5.96,660,,,,,,,,,,,
4,2023,20230168,BDP,4036,4,Fixed Hook,3A,190,Fairweather,Standard Grid,7-Jun-23,Y,,58.8335,-138.1133,36,58.8335,-138.0552,24,58.8335,-138.0842,30,58.833,-138.083,3,11,48,66,6,6,99,5.96,481,,,,,,,,,,,
5,2023,20230169,BDP,4029,5,Fixed Hook,3A,190,Fairweather,Standard Grid,7-Jun-23,Y,,58.6665,-138.0757,53,58.6682,-138.1308,49,58.6673,-138.1033,51,58.667,-138.1,24,53,704,372,6,6,99,5.96,557,,,,,,,,,,,
6,2023,20230170,BDP,4030,6,Fixed Hook,3A,190,Fairweather,Standard Grid,7-Jun-23,Y,,58.6668,-138.3897,74,58.6667,-138.4477,72,58.6668,-138.4187,73,58.667,-138.417,0,1,0,4,6,6,98,5.9,637,,,,,,,,,,,
7,2023,20230171,BDP,4038,7,Fixed Hook,3A,190,Fairweather,Standard Grid,8-Jun-23,Y,,58.8333,-138.7653,69,58.8333,-138.7095,68,58.8333,-138.7373,68,58.833,-138.733,2,2,27,12,6,6,99,5.96,499,,,,,,,,,,,
8,2023,20230172,BDP,4037,8,Fixed Hook,3A,190,Fairweather,Standard Grid,8-Jun-23,Y,,58.8337,-138.4258,43,58.8333,-138.3717,40,58.8335,-138.3987,41,58.833,-138.4,4,1,170,10,6,6,98,5.9,584,,,,,,,,,,,
9,2023,20230173,BDP,4043,9,Fixed Hook,3A,190,Fairweather,Standard Grid,8-Jun-23,Y,,59.0002,-138.3737,34,58.9998,-138.4313,35,59,-138.4025,34,59,-138.4,6,10,179,62,6,6,99,5.96,666,,,,,,,,,,,
10,2023,20230174,BDP,4044,10,Fixed Hook,3A,190,Fairweather,Standard Grid,8-Jun-23,Y,,59.0002,-138.6883,85,59,-138.75,90,59.0002,-138.7192,86,59,-138.717,2,0,60,0,6,6,99,5.96,751,,,,,,,,,,,
11,2023,20230175,BDP,4039,11,Fixed Hook,3A,190,Fairweather,Standard Grid,9-Jun-23,Y,,58.8338,-139.021,114,58.8333,-139.077,101,58.8335,-139.049,107,58.833,-139.05,13,12,268,87,6,6,99,5.96,494,,,,,,,,,,,
12,2023,20230176,BDP,4045,12,Fixed Hook,3A,190,Fairweather,Standard Grid,9-Jun-23,Y,,59.0002,-139.0082,58,59,-139.0663,58,59.0002,-139.0372,58,59,-139.033,11,25,180,172,6,6,98,5.9,568,,,,,,,,,,,
13,2023,20230177,BDP,4046,13,Fixed Hook,3A,190,Fairweather,Standard Grid,9-Jun-23,Y,,59,-139.3392,60,59,-139.3973,62,59,-139.3683,61,59,-139.367,0,17,0,107,6,6,98,5.9,658,,,,,,,,,,,
14,2023,20230178,BDP,4040,14,Fixed Hook,3A,190,Fairweather,Standard Grid,9-Jun-23,Y,,58.8328,-139.3935,76,58.8333,-139.3383,74,58.8332,-139.3658,74,58.833,-139.367,4,15,88,87,6,6,99,5.96,753,,,,,,,,,,,
15,2023,20230179,BDP,4047,15,Fixed Hook,3A,200,Fairweather,Standard Grid,10-Jun-23,Y,,59.0002,-139.6575,68,59,-139.7157,68,59.0002,-139.6867,68,59,-139.683,6,60,91,373,6,6,99,5.96,458,,,,,,,,,,,
16,2023,20230180,BDP,4041,16,Fixed Hook,3A,200,Fairweather,Standard Grid,10-Jun-23,Y,,58.8332,-139.6727,89,58.8333,-139.7278,91,58.8332,-139.7003,89,58.833,-139.7,3,17,35,124,6,6,99,5.96,516,,,,,,,,,,,
17,2023,20230181,BDP,4042,17,Fixed Hook,3A,200,Fairweather,Standard Grid,10-Jun-23,Y,,58.8195,-140.016,97,58.8487,-140.0168,94,58.8342,-140.0163,95,58.833,-140.017,22,65,454,429,6,6,99,5.96,604,,,,,,,,,,,
18,2023,20230229,BDP,4050,18,Fixed Hook,3A,200,Fairweather,Standard Grid,13-Jun-23,Y,,59.3213,-139.3332,15,59.332,-139.3892,21,59.3267,-139.3612,17,59.333,-139.35,12,67,184,424,6,6,99,5.96,474,,,,,,,,,,,
19,2023,20230230,BDP,4049,19,Fixed Hook,3A,200,Fairweather,Standard Grid,13-Jun-23,Y,,59.1502,-139.35,55,59.18,-139.3503,54,59.1652,-139.3502,54,59.167,-139.35,1,9,39,50,6,6,99,5.96,534,,,,,,,,,,,
20,2023,20230231,BDP,4048,20,Fixed Hook,3A,190,Fairweather,Standard Grid,13-Jun-23,Y,,59.1475,-139.0332,33,59.1765,-139.033,29,59.162,-139.0332,31,59.167,-139.033,7,23,87,134,6,6,99,5.96,620,,,,,,,,,,,
21,2023,20230232,BDP,4026,21,Fixed Hook,3A,190,Fairweather,Standard Grid,14-Jun-23,Y,,58.4983,-139.0937,58,58.5,-139.0395,54,58.4992,-139.0667,56,58.5,-139.067,12,60,199,381,6,6,99,5.96,493,,,,,,,,,,,
22,2023,20230233,BDP,4032,22,Fixed Hook,3A,190,Fairweather,Standard Grid,14-Jun-23,Y,,58.6665,-139.092,92,58.666,-139.034,70,58.6662,-139.063,80,58.667,-139.067,18,17,271,109,6,6,99,5.96,586,,,,,,,,,,,
23,2023,20230234,BDP,4031,23,Fixed Hook,3A,190,Fairweather,Standard Grid,14-Jun-23,Y,,58.6663,-138.7642,55,58.6667,-138.7055,53,58.6665,-138.7348,55,58.667,-138.733,13,13,219,103,6,6,99,5.96,662,,,,,,,,,,,
24,2023,20230235,BDP,4025,24,Fixed Hook,3A,190,Fairweather,Standard Grid,14-Jun-23,Y,,58.5163,-138.7508,55,58.485,-138.7492,53,58.5007,-138.75,55,58.5,-138.75,5,9,160,60,6,6,99,5.96,751,,,,,,,,,,,
25,2023,20230236,BDP,4019,25,Fixed Hook,3A,190,Fairweather,Standard Grid,14-Jun-23,Y,,58.3198,-139.0848,65,58.3487,-139.0833,60,58.3342,-139.0842,63,58.333,-139.083,11,7,271,47,6,6,99,5.96,489,,,,,,,,,,,
26,2023,20230237,BDP,4018,26,Fixed Hook,3A,190,Fairweather,Standard Grid,15-Jun-23,Y,,58.318,-138.7667,75,58.3468,-138.7672,64,58.3325,-138.767,70,58.333,-138.767,6,27,130,181,6,6,99,5.96,607,,,,,,,,,,,
27,2023,20230238,BDP,4012,27,Fixed Hook,3A,190,Fairweather,Standard Grid,15-Jun-23,Y,,58.1527,-138.7667,147,58.1815,-138.7668,98,58.1672,-138.7667,106,58.167,-138.767,10,10,148,68,6,6,99,5.96,692,,,,,,,,,,,
28,2023,20230239,BDP,4020,28,Fixed Hook,3A,190,Fairweather,Standard Grid,16-Jun-23,Y,,58.3202,-139.4027,192,58.352,-139.4025,132,58.336,-139.4027,147,58.333,-139.4,56,9,796,72,6,6,98,5.9,530,,,,,,,,,,,
29,2023,20230240,BDP,4027,29,Fixed Hook,3A,190,Fairweather,Standard Grid,16-Jun-23,Y,,58.484,-139.3835,97,58.5153,-139.3837,93,58.4997,-139.3837,93,58.5,-139.383,15,43,356,270,6,6,98,5.9,651,,,,,,,,,,,
30,2023,20230241,BDP,4028,30,Fixed Hook,3A,190,Fairweather,Standard Grid,16-Jun-23,Y,,58.4807,-139.7007,133,58.5165,-139.7005,136,58.4985,-139.7005,136,58.5,-139.7,36,16,623,128,6,6,99,5.96,735,,,,,,,,,,,
31,2023,20230242,BDP,4035,31,Fixed Hook,3A,200,Fairweather,Standard Grid,17-Jun-23,Y,,58.653,-140.0162,107,58.6855,-140.0167,104,58.6693,-140.0163,104,58.667,-140.017,40,92,840,579,6,6,99,5.96,528,,,,,,,,,,,
32,2023,20230243,BDP,4034,32,Fixed Hook,3A,190,Fairweather,Standard Grid,17-Jun-23,Y,,58.6492,-139.7,104,58.6817,-139.6997,102,58.6653,-139.6998,102,58.667,-139.7,12,27,214,187,6,6,99,5.96,599,,,,,,,,,,,
33,2023,20230244,BDP,4033,33,Fixed Hook,3A,190,Fairweather,Standard Grid,17-Jun-23,Y,,58.6487,-139.3832,139,58.6775,-139.385,137,58.663,-139.3842,138,58.667,-139.383,22,6,448,51,6,6,99,5.96,701,,,,,,,,,,,
34,2023,20230245,BDP,4001,34,Fixed Hook,3A,185,Fairweather,Standard Grid,18-Jun-23,Y,,57.8458,-137.2405,141,57.8238,-137.2043,170,57.8348,-137.2225,162,57.833,-137.217,0,7,0,52,6,6,99,5.96,480,,,,,,,,,,,
35,2023,20230246,BDP,4003,35,Fixed Hook,3A,185,Fairweather,Standard Grid,18-Jun-23,Y,,58.0077,-137.2132,92,57.988,-137.1728,161,57.9978,-137.193,121,58,-137.2,26,9,407,74,6,6,98,5.9,544,,,,,,,,,,,
36,2023,20230247,BDP,4002,36,Fixed Hook,3A,185,Fairweather,Standard Grid,18-Jun-23,Y,,57.9985,-136.9247,234,58.0005,-136.8678,220,57.9995,-136.8962,227,58,-136.9,0,2,0,18,6,6,98,5.9,643,,,,,,,,,,,
37,2023,20230282,BDP,4004,37,Fixed Hook,3A,185,Fairweather,Standard Grid,22-Jun-23,Y,,57.991,-137.5165,93,58.02,-137.5165,88,58.0055,-137.5165,90,58,-137.517,13,6,283,46,6,6,98,5.9,492,,,,,,,,,,,
38,2023,20230283,BDP,4008,38,Fixed Hook,3A,185,Fairweather,Standard Grid,22-Jun-23,Y,,58.145,-137.5003,77,58.1742,-137.4998,78,58.1595,-137.5002,78,58.167,-137.5,11,6,348,39,6,6,99,5.96,583,,,,,,,,,,,
39,2023,20230284,BDP,4009,39,Fixed Hook,3A,185,Fairweather,Standard Grid,22-Jun-23,Y,,58.1662,-137.7778,84,58.1668,-137.8335,84,58.1665,-137.8057,85,58.167,-137.817,22,10,543,76,6,6,99,5.96,685,,,,,,,,,,,
40,2023,20230285,BDP,4005,40,Fixed Hook,3A,185,Fairweather,Standard Grid,22-Jun-23,Y,,58.0252,-137.8335,95,57.9955,-137.8338,101,58.0103,-137.8337,98,58,-137.833,20,22,405,159,6,6,99,5.96,776,,,,,,,,,,,
41,2023,20230286,BDP,4014,41,Fixed Hook,3A,185,Fairweather,Standard Grid,23-Jun-23,Y,,58.3328,-137.519,104,58.3333,-137.4643,103,58.3332,-137.4917,103,58.333,-137.483,1,1,18,10,6,6,99,5.96,486,,,,,,,,,,,
