Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2021,20210001,STW,3043,1,2C,140,Ommaney,Standard Grid,30-May-21,Y,,54.9998,-133.974,78,54.9998,-134.0335,87,54.9998,-134.0038,83,55,-134.017,51,32,1134.00,249.00,8,8,99,7.95,475,54.9995,-133.9807,143,8.7905,19,8.173,31.675,,6.8582,,
2,2021,20210002,STW,3044,2,2C,140,Ommaney,Standard Grid,30-May-21,Y,,55.0002,-134.3313,123,55.0003,-134.2767,114,55.0003,-134.304,118,55,-134.3,20,2,488.00,16.00,8,8,100,8.03,614,55.0022,-134.2635,223,5.7309,216,7.59,33.836,,2.1636,,
3,2021,20210003,STW,3211,4,2C,151,Ommaney,Standard Grid,31-May-21,Y,,55.3337,-133.4033,17,55.3332,-133.4677,20,55.3335,-133.4355,53,55.333,-133.433,10,9,387.00,72.00,8,8,100,8.03,"1,075",,,,,,,,,,,
4,2021,20210004,STW,3212,3,2C,151,Ommaney,Standard Grid,1-Jun-21,Y,,55.5058,-133.1343,14,55.5355,-133.1228,31,55.5207,-133.1287,27,55.5,-133.141,2,0,196.00,0.00,8,8,99,7.95,453,55.5342,-133.1218,57,8.0789,45,8.104,31.063,,6.3083,,
5,2021,20210005,STW,3045,5,2C,141,Ommaney,Standard Grid,1-Jun-21,Y,,55.1672,-133.684,91,55.1668,-133.7492,86,55.167,-133.7167,89,55.167,-133.717,12,111,162.00,757.00,8,8,100,8.03,439,55.1663,-133.6815,163,6.4571,149,7.804,32.728,,4.3916,,
6,2021,20210006,STW,3046,6,2C,150,Ommaney,Standard Grid,1-Jun-21,Y,,55.1667,-133.9852,88,55.1667,-134.0543,100,55.1667,-134.0198,96,55.167,-134.017,60,67,1064.00,550.00,8,8,100,8.03,559,55.169,-133.867,157,6.2649,143,7.753,33.129,,3.6485,,
7,2021,20210007,STW,3049,7,2C,150,Ommaney,Standard Grid,1-Jun-21,Y,,55.3333,-134.2817,105,55.3333,-134.3445,106,55.3333,-134.313,104,55.333,-134.317,42,34,1508.00,278.00,8,8,99,7.95,627,55.3332,-134.34531,190,6.0359,177,7.699,33.579,,2.8255,,
8,2021,20210008,STW,3048,8,2C,150,Ommaney,Standard Grid,2-Jun-21,Y,,55.3097,-134.0167,69,55.3498,-134.0167,65,55.3298,-134.0167,67,55.333,-134.017,18,91,254.00,618.00,8,8,100,8.03,455,55.3523,-134.019,117,6.4054,103,7.867,32.565,,4.6652,,
9,2021,20210009,STW,3047,9,2C,151,Ommaney,Standard Grid,2-Jun-21,Y,,55.3158,-133.7335,44,55.352,-133.7333,37,55.3338,-133.7335,40,55.333,-133.733,17,42,376.00,262.00,8,8,99,7.95,517,55.3523,-133.731,62,7.1055,56,8.017,32.119,,5.4886,,
10,2021,20210010,STW,3051,10,2C,151,Ommaney,Standard Grid,2-Jun-21,Y,,55.4812,-134.0167,54,55.4913,-134.017,51,55.4862,-134.0168,52,55.5,-134.017,8,37,168.00,225.00,8,8,100,8.03,834,55.5147,-134.0195,95,6.5438,81,7.938,32.359,,5.1941,,
11,2021,20210011,STW,3052,11,2C,150,Ommaney,Standard Grid,3-Jun-21,Y,,55.3345,-134.3172,94,55.5238,-134.3162,96,55.4292,-134.3167,94,55.5,-134.317,18,21,313.00,146.00,8,8,99,7.95,476,55.5235,-134.32001,176,6.1574,159,7.738,33.36,,3.16,,
12,2021,20210012,STW,3081,12,2C,152,Ommaney,Standard Grid,4-Jun-21,Y,,56.3813,-133.733,54,56.5033,-133.7338,49,56.4423,-133.7335,49,56.483,-133.733,2,1,91.00,4.00,8,8,99,7.95,530,56.4675,-133.73579,177,6.5789,168,7.848,32.527,,4.2001,,
13,2021,20210013,STW,3220,13,2C,152,Ommaney,Standard Grid,4-Jun-21,Y,,56.3502,-133.1012,30,56.3498,-133.1702,89,56.35,-133.1357,54,56.35,-133.134,22,3,1193.00,30.00,8,8,100,8.03,607,,,,,,,,,,,
14,2021,20210044,BDP,3088,1,2C,162,Sitka,Standard Grid,29-May-21,Y,,56.8335,-132.8673,112,56.8333,-132.7993,113,56.8335,-132.8333,112,56.833,-132.833,40,23,872.00,179.00,8,8,98,7.87,484,56.8348,-132.87331,203,5.4004,191,7.667,32.566,,3.8179,,
15,2021,20210045,BDP,3095,2,2C,162,Sitka,Standard Grid,30-May-21,Y,,57.1667,-134.0135,167,57.1667,-134.0853,144,57.1667,-134.0493,159,57.167,-134.05,124,87,2269.00,671.00,8,8,99,7.95,516,57.1667,-134.0135,305,5.4053,294,7.644,33.399,,2.5573,,
16,2021,20210046,BDP,3227,3,2C,162,Sitka,Standard Grid,30-May-21,Y,,56.9952,-134.0312,29,57.0238,-134.0808,124,57.0095,-134.056,46,57,-134.044,19,27,435.00,184.00,8,8,99,7.95,610,57.0263,-134.07651,241,5.3263,232,7.625,33.576,,2.1928,,
17,2021,20210047,BDP,3091,4,2C,162,Sitka,Standard Grid,30-May-21,Y,,57,-134.3208,189,57,-134.3965,169,57,-134.3587,187,57,-134.35,89,44,1774.00,362.00,8,8,99,7.95,752,56.9935,-134.323,347,5.2263,335,7.587,33.842,,1.6742,,
18,2021,20210048,BDP,3105,5,2C,171,Sitka,Standard Grid,31-May-21,Y,,57.5382,-134.6325,61,57.4985,-134.635,250,57.5183,-134.6338,145,57.517,-134.633,17,21,487.00,141.00,8,8,99,7.95,503,57.5355,-134.63029,95,5.4874,85,7.834,32.259,,4.9138,,
19,2021,20210049,BDP,3231,6,2C,171,Sitka,Standard Grid,31-May-21,N,GI,57.3547,-134.6645,305,57.318,-134.664,294,57.3363,-134.6643,319,57.333,-134.667,1,0,64.00,0.00,8,0,99,0.3,577,,,,,,,,,,,
20,2021,20210050,BDP,3096,7,2C,161,Sitka,Standard Grid,31-May-21,Y,,57.1892,-134.666,88,57.1475,-134.6645,98,57.1683,-134.6652,159,57.167,-134.667,10,3,356.00,17.00,8,8,98,7.87,702,57.1913,-134.6628,117,6.0323,107,7.891,32.154,,5.1559,,
21,2021,20210051,BDP,3094,8,2C,162,Sitka,Standard Grid,1-Jun-21,N,DO,57.1668,-133.7857,180,57.1667,-133.711,177,57.1668,-133.7483,179,57.167,-133.75,123,45,2196.00,343.00,8,8,99,7.95,472,57.1702,-133.7162,324,5.4066,313,7.64,33.366,,2.5671,,
22,2021,20210052,BDP,3100,9,2C,163,Sitka,Standard Grid,1-Jun-21,Y,,57.3543,-133.7492,236,57.3152,-133.7502,214,57.3348,-133.7497,194,57.333,-133.75,167,31,3144.00,279.00,8,8,99,7.95,592,57.3168,-133.748,393,5.3974,239,7.651,33.208,,2.8611,,
23,2021,20210053,BDP,3099,10,2C,163,Sitka,Standard Grid,1-Jun-21,Y,,57.3333,-133.403,62,57.3333,-133.4745,86,57.3333,-133.4387,76,57.333,-133.433,11,10,513.00,65.00,8,8,99,7.95,719,,,,,,,,,,,
24,2021,20210054,BDP,3234,11,2C,173,Sitka,Standard Grid,2-Jun-21,Y,,57.6828,-134.0222,65,57.6522,-133.9762,107,57.6675,-133.9992,91,57.666,-134.061,19,21,759.00,163.00,8,8,98,7.87,462,57.6815,-134.0235,84,5.3159,74,7.739,32.092,,4.3967,,
25,2021,20210055,BDP,3104,12,2C,163,Sitka,Standard Grid,2-Jun-21,Y,,57.4995,-133.7837,147,57.501,-133.712,128,57.5003,-133.7478,126,57.5,-133.75,55,40,879.00,304.00,8,8,99,7.95,590,57.4977,-133.7793,296,5.3941,280,7.625,33.269,,2.6707,,
26,2021,20210056,BDP,3107,13,2C,173,Sitka,Standard Grid,2-Jun-21,Y,,57.6673,-133.712,175,57.6667,-133.782,188,57.667,-133.747,181,57.667,-133.75,40,34,730.00,288.00,8,8,99,7.95,725,57.6695,-133.7847,342,5.7092,26,7.97,31.059,,5.7038,,
27,2021,20210057,BDP,3236,14,2C,173,Sitka,Standard Grid,3-Jun-21,Y,,57.8132,-133.7402,45,57.8507,-133.7683,73,57.8318,-133.7543,77,57.833,-133.75,1,0,64.00,0.00,8,8,99,7.95,448,57.8522,-133.76849,97,5.6453,96,7.63,32.402,,3.3312,,
28,2021,20210058,BDP,3238,15,2C,173,Sitka,Standard Grid,3-Jun-21,Y,,57.9832,-133.7348,78,58.0195,-133.765,108,58.0013,-133.7498,94,58,-133.752,6,0,186.00,0.00,8,8,99,7.95,570,57.9858,-133.7347,141,5.769,130,7.567,32.547,,2.7488,,
29,2021,20210059,BDP,3112,16,2C,173,Sitka,Standard Grid,3-Jun-21,Y,,57.983,-134.0515,126,58.0172,-134.081,122,58,-134.0663,124,58,-134.067,3,2,69.00,18.00,8,8,98,7.87,666,57.9857,-134.054,229,5.8246,217,7.576,32.778,,2.4337,,
30,2021,20210061,PRE,4326,1,3A,270,Albatross,Standard Grid,1-Jun-21,Y,,57.482,-151.3832,50,57.5177,-151.3835,45,57.4998,-151.3833,47,57.5,-151.383,30,41,528.00,303.00,8,8,98,7.87,505,,,,,,,,,,,
31,2021,20210062,PRE,4327,2,3A,270,Albatross,Standard Grid,1-Jun-21,Y,,57.4822,-151.7017,50,57.5197,-151.6972,82,57.501,-151.6995,60,57.5,-151.7,55,62,794.00,483.00,8,8,101,8.11,683,,,,,,,,,,,
32,2021,20210063,PRE,4329,3,3A,270,Albatross,Standard Grid,1-Jun-21,Y,,57.6848,-151.719,34,57.6508,-151.719,37,57.6678,-151.719,36,57.667,-151.717,21,45,351.00,355.00,8,8,99,7.95,785,,,,,,,,,,,
33,2021,20210064,PRE,4325,4,3A,270,Albatross,Standard Grid,2-Jun-21,Y,,57.5173,-151.0865,44,57.479,-151.0798,46,57.4982,-151.0832,45,57.5,-151.083,42,83,800.00,609.00,8,8,97,7.79,478,,,,,,,,,,,
34,2021,20210065,PRE,4320,5,3A,270,Albatross,Standard Grid,2-Jun-21,Y,,57.3147,-151.0678,50,57.3485,-151.0667,51,57.3315,-151.0672,50,57.333,-151.067,83,86,1399.00,681.00,8,8,98,7.87,608,57.5125,-151.089,79,5.6614,68,8.054,32.109,,7.1247,,
35,2021,20210066,PRE,4316,6,3A,270,Albatross,Standard Grid,3-Jun-21,Y,,57.1822,-151.6813,37,57.1438,-151.6823,45,57.163,-151.6818,42,57.167,-151.683,55,30,1124.00,230.00,8,8,97,7.79,751,57.3532,-151.0697,93,5.1327,81,7.96,32.515,,5.5923,,
36,2021,20210067,PRE,4321,7,3A,270,Albatross,Standard Grid,3-Jun-21,Y,,57.3508,-151.3865,77,57.3125,-151.3813,74,57.3317,-151.3838,74,57.333,-151.383,183,113,2701.00,976.00,8,8,98,7.87,528,57.1815,-151.6825,137,5.3589,127,7.849,32.74,,4.924,,
37,2021,20210068,PRE,4322,8,3A,270,Albatross,Standard Grid,3-Jun-21,Y,,57.3498,-151.681,35,57.3132,-151.6842,35,57.3315,-151.6825,34,57.333,-151.683,38,11,980.00,93.00,8,8,99,7.95,650,57.3492,-151.38651,139,5.4573,49,8.072,32.016,,7.0991,,
38,2021,20210069,PRE,4324,9,3A,270,Albatross,Standard Grid,4-Jun-21,Y,,57.3042,-152.2623,37,57.2803,-152.3212,37,57.2922,-152.2918,37,57.333,-152.3,17,20,305.00,157.00,8,8,98,7.87,486,57.3455,-151.681,60,5.4903,57,8.078,32.028,,7.1073,,
39,2021,20210070,PRE,4323,10,3A,270,Albatross,Standard Grid,4-Jun-21,Y,,57.3323,-151.9692,40,57.3322,-152.0422,41,57.3322,-152.0057,40,57.333,-152,29,23,553.00,165.00,8,8,99,7.95,558,57.3042,-152.2623,64,5.3346,58,8.065,32.002,,7.0258,,
40,2021,20210071,PRE,4317,11,3A,270,Albatross,Standard Grid,4-Jun-21,Y,,57.1843,-151.9863,40,57.1475,-151.9827,39,57.166,-151.9845,39,57.167,-151.983,7,12,147.00,92.00,8,8,98,7.87,634,57.3308,-152.0448,71,5.3457,62,8.07,32.007,,7.0274,,
41,2021,20210072,KSU,4243,1,3A,270,Portlock,Standard Grid,30-May-21,Y,,57.5002,-150.8043,53,57.5,-150.7325,56,57.5002,-150.7685,54,57.5,-150.767,71,86,1119.00,601.00,8,8,100,8.03,575,57.4997,-150.8062,93,5.4447,79,8.25,32.338,,6.4084,,
42,2021,20210073,KSU,4240,2,3A,270,Portlock,Standard Grid,30-May-21,Y,,57.3535,-150.7665,82,57.3113,-150.7673,96,57.3325,-150.767,88,57.333,-150.767,51,33,752.00,286.00,8,8,101,8.11,678,57.3537,-150.76981,146,5.3848,132,7.962,33.374,,3.3546,,
43,2021,20210074,KSU,4376,3,3A,270,Portlock,Standard Grid,30-May-21,Y,,57.3332,-150.4872,299,57.3207,-150.4117,309,57.3268,-150.4495,305,57.333,-150.45,2,0,30.00,0.00,8,8,99,7.95,836,,,,,,,,,,,
44,2021,20210075,KSU,4242,4,3A,270,Portlock,Standard Grid,31-May-21,Y,,57.5198,-150.4667,75,57.479,-150.4675,97,57.4995,-150.467,86,57.5,-150.467,76,38,1025.00,328.00,8,8,100,8.03,588,57.5188,-150.4705,134,5.3652,121,8.13,32.707,,5.2946,,
45,2021,20210076,KSU,4241,5,3A,260,Portlock,Standard Grid,31-May-21,Y,,57.5207,-150.1507,208,57.4827,-150.149,290,57.5017,-150.1498,244,57.5,-150.15,76,33,1024.00,307.00,8,8,100,8.03,718,57.5187,-150.15829,375,4.042,350,7.76,34.023,,0.7157,,
