Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose Code,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.),Profiler Lat,Profiler Lon,Profiler Bottom Depth (m),Temp C,Max Pressure (db),pH,Salinity PSU,Sigma-t,Oxygen_ml,Oxygen_umol,Oxygen_sat
1,2022,20220030,PEN,4074,1,3A,200,Yakutat,Standard Grid,31-May-22,Y,,59.5007,-140.6183,151,59.5002,-140.6925,157,59.5005,-140.6553,153,59.5,-140.65,14,1,227,10,8,8,99,7.95,498,59.5,-140.7032,287,5.4153,273,7.676,33.859,,1.8172,,
2,2022,20220031,PEN,4512,2,3A,200,Yakutat,Standard Grid,31-May-22,Y,,59.6673,-140.6155,26,59.6668,-140.6887,29,59.6672,-140.652,27,59.667,-140.65,9,13,231,93,8,8,99,7.95,480,59.6623,-140.6113,55,6.254,42,8.15,31.85,,6.5098,,
3,2022,20220032,PEN,4075,3,3A,200,Yakutat,Standard Grid,31-May-22,Y,,59.501,-140.9433,163,59.5005,-141.0195,158,59.5008,-140.9815,160,59.5,-140.983,12,6,224,41,8,8,100,8.03,747,59.5023,-140.93581,300,5.1776,285,7.626,33.886,,1.5563,,
4,2022,20220033,PEN,4081,4,3A,210,Yakutat,Standard Grid,1-Jun-22,Y,,59.6672,-141.2853,35,59.666,-141.3575,37,59.6665,-141.3215,36,59.667,-141.317,14,25,226,172,8,8,100,8.03,550,59.6725,-141.2883,60,6.5719,48,8.154,31.955,,6.4308,,
5,2022,20220034,PEN,4082,5,3A,210,Yakutat,Standard Grid,1-Jun-22,Y,,59.667,-141.593,48,59.6667,-141.6663,54,59.6668,-141.6297,50,59.667,-141.633,25,14,451,105,8,8,99,7.95,660,59.6667,-141.58369,88,6.1135,77,8.056,32.092,,6.3288,,
6,2022,20220035,PEN,4092,6,3A,210,Yakutat,Standard Grid,2-Jun-22,Y,,59.8332,-141.9472,37,59.8332,-142.0195,40,59.8332,-141.9833,38,59.833,-141.983,1,7,40,44,8,8,99,7.95,451,59.8313,-142.0313,73,6.2304,61,8.055,31.98,,6.0053,,
7,2022,20220036,PEN,4083,7,3A,210,Yakutat,Standard Grid,2-Jun-22,Y,,59.6665,-141.9405,78,59.6652,-142.0147,87,59.6658,-141.9775,82,59.667,-141.967,6,9,154,53,8,8,99,7.95,578,59.6707,-141.9467,143,5.6989,130,7.95,32.707,,5.5125,,
8,2022,20220037,PEN,4084,8,3A,210,Yakutat,Standard Grid,2-Jun-22,Y,,59.6663,-142.2627,116,59.6668,-142.3437,116,59.6665,-142.3032,118,59.667,-142.3,25,18,537,116,8,8,100,8.03,692,59.6662,-142.2542,210,5.9221,197,7.673,33.639,,2.3029,,
9,2022,20220038,PEN,4093,9,3A,210,Yakutat,Standard Grid,3-Jun-22,Y,,59.8342,-142.2617,46,59.8335,-142.334,56,59.8338,-142.2978,48,59.833,-142.3,40,29,"1,074",191,8,8,99,7.95,494,,,,,,,,,,,
10,2022,20220039,PEN,4520,10,3A,210,Yakutat,Standard Grid,3-Jun-22,Y,,60,-142.2642,26,59.9983,-142.3373,30,59.9992,-142.3008,28,60,-142.3,6,48,79,276,8,8,100,8.03,583,,,,,,,,,,,
11,2022,20220040,PEN,4094,11,3A,210,Yakutat,Standard Grid,3-Jun-22,Y,,59.834,-142.5973,69,59.8325,-142.6683,97,59.8333,-142.6328,86,59.833,-142.633,38,32,839,213,8,8,99,7.95,694,,,,,,,,,,,
12,2022,20220041,PEN,4101,12,3A,220,Yakutat,Standard Grid,4-Jun-22,Y,,60.0002,-142.9532,62,59.9997,-143.0233,65,59.9998,-142.9883,63,60,-142.983,2,5,62,28,8,8,99,7.95,431,,,,,,,,,,,
13,2022,20220042,PEN,4096,13,3A,220,Yakutat,Standard Grid,4-Jun-22,Y,,59.8332,-143.2647,93,59.8338,-143.3403,141,59.8335,-143.3025,121,59.833,-143.3,9,4,194,26,8,8,100,8.03,562,,,,,,,,,,,
14,2022,20220043,PEN,4519,14,3A,220,Yakutat,Standard Grid,4-Jun-22,Y,,59.9995,-143.3285,65,59.999,-143.2578,62,59.9992,-143.2932,62,60,-143.3,5,3,129,26,8,8,99,7.95,676,,,,,,,,,,,
15,2022,20220044,PEN,4518,15,3A,220,Yakutat,Standard Grid,5-Jun-22,Y,,59.9997,-143.5975,81,59.9993,-143.6727,56,59.9995,-143.6352,74,60,-143.633,6,11,213,68,8,8,98,7.87,482,,,,,,,,,,,
16,2022,20220045,PEN,4098,16,3A,220,Yakutat,Standard Grid,5-Jun-22,Y,,59.8335,-143.931,56,59.8333,-144.0012,49,59.8333,-143.9662,52,59.833,-143.967,17,48,225,333,8,8,99,7.95,577,,,,,,,,,,,
17,2022,20220046,PEN,4099,17,3A,220,Yakutat,Standard Grid,6-Jun-22,Y,,59.8333,-144.2592,37,59.8345,-144.3327,34,59.8338,-144.2958,35,59.833,-144.3,3,23,45,113,8,8,100,8.03,465,,,,,,,,,,,
18,2022,20220047,PEN,4090,18,3A,220,Yakutat,Standard Grid,6-Jun-22,Y,,59.6665,-144.251,89,59.6657,-144.3223,86,59.666,-144.2867,88,59.667,-144.283,4,5,129,36,8,8,100,8.03,563,,,,,,,,,,,
19,2022,20220048,PEN,4091,19,3A,220,Yakutat,Standard Grid,6-Jun-22,Y,,59.667,-144.5797,80,59.6668,-144.6477,80,59.667,-144.6137,81,59.667,-144.617,0,0,0,0,8,8,100,8.03,648,,,,,,,,,,,
20,2022,20220060,VNI,3031,1,2C,143,Ketchikan,Standard Grid,29-May-22,N,ST,55.1857,-131.0993,97,55.1515,-131.0977,94,55.1687,-131.0985,90,55.167,-131.1,0,0,0,0,8,8,100,8.03,195,,,,,,,,,,,
21,2022,20220061,VNI,3031,2,2C,143,Ketchikan,Standard Grid,30-May-22,Y,,55.1835,-131.1012,94,55.1455,-131.0962,95,55.1645,-131.0987,89,55.167,-131.1,23,16,799,124,8,8,99,7.95,482,55.1837,-131.1008,174,6.2296,165,8.024,32.963,,2.9484,,
22,2022,20220062,VNI,3027,3,2C,143,Ketchikan,Standard Grid,30-May-22,Y,,55.0157,-131.099,151,54.9758,-131.0973,124,54.9957,-131.0982,131,55,-131.1,45,18,"1,081",141,8,8,99,7.95,635,55.0167,-131.0992,278,6.012,261,7.902,33.292,,2.6508,,
23,2022,20220063,VNI,3207,4,2C,143,Ketchikan,Standard Grid,30-May-22,Y,,54.9988,-131.3648,30,54.9993,-131.4303,31,54.9992,-131.3975,30,55,-131.393,11,6,254,42,8,7,99,7.18,712,54.9987,-131.3575,57,8.4252,43,8.302,30.586,,6.3505,,
24,2022,20220064,VNI,3028,5,2C,143,Ketchikan,Standard Grid,31-May-22,Y,,54.983,-131.6823,127,55.02,-131.6835,74,55.0015,-131.6828,112,55,-131.683,31,26,530,182,8,8,99,7.95,475,55.0218,-131.6868,177,5.8072,165,7.867,33.574,,2.2507,,
25,2022,20220065,VNI,3206,6,2C,143,Ketchikan,Standard Grid,31-May-22,Y,,54.9872,-131.9578,216,55.0237,-131.9575,219,55.0053,-131.9577,212,55,-131.974,2,0,22,0,8,8,99,7.95,604,55.026,-131.9545,393,5.5354,375,7.835,33.755,,1.9433,,
26,2022,20220066,VNI,3036,7,2C,143,Ketchikan,Standard Grid,1-Jun-22,Y,,55.4847,-131.9333,110,55.4853,-131.997,226,55.485,-131.9652,140,55.483,-131.967,9,6,220,39,8,8,99,7.95,462,55.496,-131.9982,408,5.6119,394,7.86,33.717,,2.0229,,
27,2022,20220067,VNI,3037,8,2C,153,Ketchikan,Standard Grid,1-Jun-22,Y,,55.6525,-132.2352,150,55.6903,-132.2417,114,55.6713,-132.2385,159,55.667,-132.25,28,10,831,76,8,8,99,7.95,620,55.6522,-132.2355,282,5.7781,265,7.88,33.652,,2.0288,,
28,2022,20220068,VNI,3039,9,2C,153,Ketchikan,Standard Grid,2-Jun-22,Y,,55.8508,-132.2482,172,55.8112,-132.2478,75,55.831,-132.248,107,55.833,-132.25,29,4,"1,000",24,8,8,99,7.95,456,55.8103,-132.252,168,5.9357,162,7.91,33.399,,2.1639,,
29,2022,20220069,VNI,3040,10,2C,153,Ketchikan,Standard Grid,2-Jun-22,Y,,56.0003,-132.4963,81,56.0007,-132.5662,158,56.0005,-132.5313,120,56,-132.533,29,11,"1,044",86,8,8,99,7.95,591,55.997,-132.4938,110,6.3128,94,7.998,32.218,,3.6519,,
30,2022,20220070,VNI,3042,11,2C,153,Ketchikan,Standard Grid,3-Jun-22,Y,,56.1833,-132.8647,122,56.184,-132.7975,117,56.1837,-132.831,89,56.183,-132.833,32,11,902,84,8,8,99,7.95,440,56.1825,-132.858,223,5.8936,206,7.87,33.571,,1.8556,,
31,2022,20220071,VNI,3221,12,2C,152,Ketchikan,Standard Grid,3-Jun-22,Y,,56.3488,-132.502,89,56.3497,-132.5738,178,56.3492,-132.538,100,56.35,-132.533,14,21,270,162,8,8,99,7.95,560,56.3477,-132.5137,179,5.9809,162,7.991,33.412,,1.8245,,
32,2022,20220072,VNI,3223,13,2C,152,Ommaney,Standard Grid,4-Jun-22,Y,,56.6793,-133.1575,18,56.6447,-133.1177,10,56.662,-133.1375,12,56.666,-133.137,36,42,798,314,8,8,99,7.95,467,56.6785,-133.155,29,10.2489,15,8.151,29.312,,5.8663,,
33,2022,20220073,VNI,3220,14,2C,152,Ommaney,Standard Grid,4-Jun-22,Y,,56.351,-133.1625,47,56.3507,-133.107,35,56.3508,-133.1348,52,56.35,-133.134,34,9,"1,476",67,8,8,99,7.95,620,56.3548,-133.16051,135,7.3393,124,8.16,31.747,,5.263,,
