"","harv_policy","Derb.eff","MU","Above_Bmsy_now","Above_Bmsy_future","Pop_inc_future"
"1","SPM_maxABC","unbiased","EYKT",0.701333333333333,0.433,0.315
"2","SPM_maxABC","unbiased","NSEO",0.447333333333333,0.463,0.506
"3","SPM_maxABC","unbiased","CSEO",0.629666666666667,0.435666666666667,0.36
"4","SPM_maxABC","unbiased","SSEO",0.828,0.446333333333333,0.201666666666667
"5","SPM_maxABC","unbiased","SEO",0.642,0.381333333333333,0.289
"6","SPM_maxABC","biased low","EYKT",0.615,0.373333333333333,0.286
"7","SPM_maxABC","biased low","NSEO",0.334666666666667,0.371333333333333,0.494333333333333
"8","SPM_maxABC","biased low","CSEO",0.528,0.355666666666667,0.324333333333333
"9","SPM_maxABC","biased low","SSEO",0.756333333333333,0.380333333333333,0.179333333333333
"10","SPM_maxABC","biased low","SEO",0.476333333333333,0.302666666666667,0.260666666666667
"11","SPM_maxABC","biased hi","EYKT",0.743,0.470333333333333,0.324333333333333
"12","SPM_maxABC","biased hi","NSEO",0.465,0.489,0.524
"13","SPM_maxABC","biased hi","CSEO",0.686666666666667,0.467666666666667,0.374666666666667
"14","SPM_maxABC","biased hi","SSEO",0.859666666666667,0.484666666666667,0.225
"15","SPM_maxABC","biased hi","SEO",0.732333333333333,0.431666666666667,0.303333333333333
"16","SPM_redABC10","unbiased","EYKT",0.701333333333333,0.471333333333333,0.362
"17","SPM_redABC10","unbiased","NSEO",0.447333333333333,0.495333333333333,0.562333333333333
"18","SPM_redABC10","unbiased","CSEO",0.629666666666667,0.467666666666667,0.402666666666667
"19","SPM_redABC10","unbiased","SSEO",0.828,0.500333333333333,0.243666666666667
"20","SPM_redABC10","unbiased","SEO",0.642,0.421,0.337666666666667
"21","SPM_redABC10","biased low","EYKT",0.615,0.412333333333333,0.333333333333333
"22","SPM_redABC10","biased low","NSEO",0.334666666666667,0.401666666666667,0.548333333333333
"23","SPM_redABC10","biased low","CSEO",0.528,0.396,0.371333333333333
"24","SPM_redABC10","biased low","SSEO",0.756333333333333,0.425,0.216666666666667
"25","SPM_redABC10","biased low","SEO",0.476333333333333,0.334333333333333,0.302333333333333
"26","SPM_redABC10","biased hi","EYKT",0.743,0.510666666666667,0.373666666666667
"27","SPM_redABC10","biased hi","NSEO",0.465,0.524666666666667,0.586
"28","SPM_redABC10","biased hi","CSEO",0.686666666666667,0.507333333333333,0.421
"29","SPM_redABC10","biased hi","SSEO",0.859666666666667,0.537333333333333,0.262
"30","SPM_redABC10","biased hi","SEO",0.732333333333333,0.466333333333333,0.346333333333333
"31","SPM_redABC25","unbiased","EYKT",0.701333333333333,0.538666666666667,0.439666666666667
"32","SPM_redABC25","unbiased","NSEO",0.447333333333333,0.543,0.653
"33","SPM_redABC25","unbiased","CSEO",0.629666666666667,0.530666666666667,0.484
"34","SPM_redABC25","unbiased","SSEO",0.828,0.572333333333333,0.297
"35","SPM_redABC25","unbiased","SEO",0.642,0.489666666666667,0.415666666666667
"36","SPM_redABC25","biased low","EYKT",0.615,0.469333333333333,0.404333333333333
"37","SPM_redABC25","biased low","NSEO",0.334666666666667,0.445333333333333,0.622
"38","SPM_redABC25","biased low","CSEO",0.528,0.452666666666667,0.447666666666667
"39","SPM_redABC25","biased low","SSEO",0.756333333333333,0.489666666666667,0.276
"40","SPM_redABC25","biased low","SEO",0.476333333333333,0.401,0.376666666666667
"41","SPM_redABC25","biased hi","EYKT",0.743,0.564,0.441333333333333
"42","SPM_redABC25","biased hi","NSEO",0.465,0.573333333333333,0.659
"43","SPM_redABC25","biased hi","CSEO",0.686666666666667,0.571666666666667,0.497666666666667
"44","SPM_redABC25","biased hi","SSEO",0.859666666666667,0.607333333333333,0.328666666666667
"45","SPM_redABC25","biased hi","SEO",0.732333333333333,0.538666666666667,0.429
