"","Dive","Length"
"1",1,990.079715391358
"2",2,1023.20735478651
"3",3,1014.29514899093
"4",4,1099.73635439635
"5",5,1073.97906303178
"6",6,1009.1674279024
"7",7,1022.45747293968
"8",8,1018.2162031636
"9",9,1011.06438872813
"10",10,1019.39652825405
"11",11,1029.65147573229
"12",12,1024.90321281092
"13",13,1005.72519323338
"14",14,1038.73131882864
"15",15,1028.28253830467
"16",16,1018.0387865931
"17",17,1020.35600881675
"18",18,1026.57082755194
"19",19,1018.4929711163
"20",20,1033.49937821744
"21",21,1015.30686742213
"22",22,1024.70406416243
"23",23,1017.17842652093
"24",24,1021.85154567873
"25",25,1018.5315066413
"26",26,888.722327369457
"27",27,1080.62710799844
"28",28,1031.60403361812
"29",29,998.059225723761
"30",30,978.544829804186
"31",31,1007.96377608385
"32",32,1043.85995728535
"33",33,1032.16393132589
